Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000158,14.272217,[139   9] ; [6 4],[135.82278481  12.17721519] ; [9.17721519 0.82278481],1
s6,1,0.001817,9.726138,[90 59] ; [1 9],[85.27672956 63.72327044] ; [5.72327044 4.27672956],0
r2,1,0.00473,7.979927,[134  15] ; [6 4],[131.19496855  17.80503145] ; [8.80503145 1.19496855],0
r1,1,0.005571,7.684192,[107  42] ; [3 7],[103.08176101  45.91823899] ; [6.91823899 3.08176101],0
a7,1,0.032509,4.571429,[108  42] ; [4 6],[105.  45.] ; [7. 3.],0
s2,1,0.036712,4.363746,[65 84] ; [1 9],[61.8490566 87.1509434] ; [4.1509434 5.8490566],0
b1,1,0.037399,4.332169,[ 43 107] ; [6 4],[ 45.9375 104.0625] ; [3.0625 6.9375],0
n3,1,0.05577,3.658905,[35 14] ; [1 3],[33.28301887 15.71698113] ; [2.71698113 1.28301887],0
s3,1,0.078893,3.087565,[72 76] ; [2 8],[69.3164557 78.6835443] ; [4.6835443 5.3164557],0
a6,1,0.106624,2.603561,[98 52] ; [4 6],[95.625 54.375] ; [6.375 3.625],0
s8,1,0.116664,2.461538,[51 99] ; [1 9],[ 48.75 101.25] ; [3.25 6.75],0
d1,1,0.11791,2.444868,[68 82] ; [2 8],[65.625 84.375] ; [4.375 5.625],0
p5,1,0.126021,2.340849,[ 10 138] ; [2 8],[ 11.24050633 136.75949367] ; [0.75949367 9.24050633],0
n6,1,0.143388,2.141222,[107  42] ; [5 5],[104.95597484  44.04402516] ; [7.04402516 2.95597484],0
s5,1,0.144468,2.129706,[ 47 100] ; [1 9],[ 44.94267516 102.05732484] ; [3.05732484 6.94267516],0
p10,1,0.156143,2.01119,[118  31] ; [6 4],[116.20125786  32.79874214] ; [7.79874214 2.20125786],0
n2,1,0.173913,1.848888,[39 10] ; [2 2],[37.90566038 11.09433962] ; [3.09433962 0.90566038],0
p9,1,0.252405,1.309942,[126  24] ; [7 3],[124.6875  25.3125] ; [8.3125 1.6875],0
a2,1,0.320416,0.987248,[ 15 135] ; [2 8],[ 15.9375 134.0625] ; [1.0625 8.9375],0
u3,1,0.342038,0.902778,[35 25] ; [4 1],[36. 24.] ; [3. 2.],0
p12,1,0.369091,0.806723,[  6 144] ; [1 9],[  6.5625 143.4375] ; [0.4375 9.5625],0
n1,1,0.369382,0.805743,[14 35] ; [2 2],[14.79245283 34.20754717] ; [1.20754717 2.79245283],0
p1,1,0.376487,0.782142,[  6 142] ; [1 9],[  6.55696203 141.44303797] ; [0.44303797 9.55696203],0
s7,1,0.411807,0.673577,[ 46 101] ; [4 5],[47.11538462 99.88461538] ; [2.88461538 6.11538462],0
v2,1,0.485518,0.486444,[73 69] ; [4 6],[71.93421053 70.06578947] ; [5.06578947 4.93421053],0
a3,1,0.533003,0.388664,[90 60] ; [5 5],[89.0625 60.9375] ; [5.9375 4.0625],0
b4,1,0.533003,0.388664,[90 60] ; [5 5],[89.0625 60.9375] ; [5.9375 4.0625],0
d2,1,0.537538,0.380121,[ 46 104] ; [4 6],[ 46.875 103.125] ; [3.125 6.875],0
d5,1,0.569047,0.324279,[103  47] ; [6 4],[102.1875  47.8125] ; [6.8125 3.1875],0
a5,1,0.590666,0.289306,[88 62] ; [5 5],[87.1875 62.8125] ; [5.8125 4.1875],0
d4,1,0.631462,0.230083,[115  35] ; [7 3],[114.375  35.625] ; [7.625 2.375],0
d3,1,0.633316,0.227591,[101  49] ; [6 4],[100.3125  49.6875] ; [6.6875 3.3125],0
p3,1,0.671114,0.180302,[55 95] ; [3 7],[54.375 95.625] ; [3.625 6.375],0
v3,1,0.671681,0.179643,[ 37 105] ; [2 8],[ 36.43421053 105.56578947] ; [2.56578947 7.43421053],0
p7,1,0.720915,0.127618,[88 55] ; [5 4],[87.49342105 55.50657895] ; [5.50657895 3.49342105],0
p4,1,0.725378,0.123398,[66 83] ; [5 5],[66.53459119 82.46540881] ; [4.46540881 5.53459119],0
p6,1,0.772529,0.08356,[ 38 109] ; [3 7],[ 38.38853503 108.61146497] ; [2.61146497 7.38853503],0
u1,1,0.822654,0.050235,[ 12 138] ; [1 9],[ 12.1875 137.8125] ; [0.8125 9.1875],0
b3,1,0.834338,0.04374,[24 50] ; [2 5],[23.75308642 50.24691358] ; [2.24691358 4.75308642],0
b2,1,0.834338,0.04374,[24 50] ; [2 5],[23.75308642 50.24691358] ; [2.24691358 4.75308642],0
b5,1,0.836727,0.04247,[85 65] ; [6 4],[85.3125 64.6875] ; [5.6875 4.3125],0
v1,1,0.845612,0.037916,[63 83] ; [4 6],[62.70512821 83.29487179] ; [4.29487179 5.70512821],0
s4,1,0.920505,0.00996,[ 32 118] ; [2 8],[ 31.875 118.125] ; [2.125 7.875],0
a4,1,0.928127,0.008136,[ 43 107] ; [3 7],[ 43.125 106.875] ; [2.875 7.125],0
u2,1,0.942077,0.005279,[35 25] ; [3 2],[35.07692308 24.92307692] ; [2.92307692 2.07692308],0
p8,1,0.950845,0.0038,[76 73] ; [5 5],[75.90566038 73.09433962] ; [5.09433962 4.90566038],0
p2,1,0.975075,0.000976,[119  29] ; [8 2],[118.96202532  29.03797468] ; [8.03797468 1.96202532],0
n5,1,0.98663,0.000281,[60 89] ; [4 6],[59.97484277 89.02515723] ; [4.02515723 5.97484277],0
