Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001179,10.523114,[38  4] ; [9 8],[33.45762712  8.54237288] ; [13.54237288  3.45762712],0
n4,1,0.001674,9.876881,[37  6] ; [8 9],[32.25 10.75] ; [12.75  4.25],0
s4,1,0.003172,8.705627,[ 5 37] ; [8 9],[ 9.25423729 32.74576271] ; [ 3.74576271 13.25423729],0
a6,1,0.014042,6.032832,[30 13] ; [ 6 11],[25.8 17.2] ; [10.2  6.8],0
s5,1,0.04,4.217905,[10 31] ; [8 7],[13.17857143 27.82142857] ; [ 4.82142857 10.17857143],0
a7,1,0.040114,4.213053,[30 13] ; [ 7 10],[26.51666667 16.48333333] ; [10.48333333  6.51666667],0
p10,1,0.042783,4.103967,[32 11] ; [8 9],[28.66666667 14.33333333] ; [11.33333333  5.66666667],0
p11,1,0.066951,3.356233,[31 12] ; [8 9],[27.95 15.05] ; [11.05  5.95],0
d4,1,0.073327,3.206933,[28 15] ; [15  2],[30.81666667 12.18333333] ; [12.18333333  4.81666667],0
s8,1,0.101535,2.681259,[20 23] ; [ 4 13],[17.2 25.8] ; [ 6.8 10.2],0
a4,1,0.126992,2.328898,[22 21] ; [ 5 12],[19.35 23.65] ; [7.65 9.35],0
v4,1,0.144058,2.134063,[39  4] ; [13  4],[37.26666667  5.73333333] ; [14.73333333  2.26666667],0
p6,1,0.156168,2.010944,[12 31] ; [8 9],[14.33333333 28.66666667] ; [ 5.66666667 11.33333333],0
u2,1,0.178978,1.80609,[ 5 10] ; [5 3],[6.52173913 8.47826087] ; [3.47826087 4.52173913],0
s6,1,0.184258,1.762939,[25 18] ; [13  4],[27.23333333 15.76666667] ; [10.76666667  6.23333333],0
r3,1,0.214429,1.541268,[40  3] ; [14  3],[38.7  4.3] ; [15.3  1.7],0
d2,1,0.233906,1.416947,[22 20] ; [ 6 11],[19.93220339 22.06779661] ; [8.06779661 8.93220339],0
b3,1,0.279227,1.170848,[11 20] ; [5 4],[12.4 18.6] ; [3.6 5.4],0
b2,1,0.279227,1.170848,[11 20] ; [5 4],[12.4 18.6] ; [3.6 5.4],0
s3,1,0.306592,1.045302,[24 19] ; [ 7 10],[22.21666667 20.78333333] ; [8.78333333 8.21666667],0
a3,1,0.382085,0.763984,[28 15] ; [9 8],[26.51666667 16.48333333] ; [10.48333333  6.51666667],0
b1,1,0.390073,0.738714,[23 20] ; [ 7 10],[21.5 21.5] ; [8.5 8.5],0
p9,1,0.417751,0.656635,[30 13] ; [10  7],[28.66666667 14.33333333] ; [11.33333333  5.66666667],0
n3,1,0.422678,0.642857,[10  2] ; [4 2],[9.33333333 2.66666667] ; [4.66666667 1.33333333],0
a8,1,0.440202,0.595757,[ 5 34] ; [ 1 16],[ 4.17857143 34.82142857] ; [ 1.82142857 15.17857143],0
r1,1,0.451844,0.566022,[32 11] ; [11  6],[30.81666667 12.18333333] ; [12.18333333  4.81666667],0
p5,1,0.472402,0.516352,[ 5 36] ; [ 1 16],[ 4.24137931 36.75862069] ; [ 1.75862069 15.24137931],0
p8,1,0.482825,0.492476,[16 27] ; [8 9],[17.2 25.8] ; [ 6.8 10.2],0
p7,1,0.485474,0.486542,[21 22] ; [10  7],[22.21666667 20.78333333] ; [8.78333333 8.21666667],0
b4,1,0.528993,0.396326,[24 19] ; [11  6],[25.08333333 17.91666667] ; [9.91666667 7.08333333],0
d5,1,0.573663,0.316592,[31 12] ; [11  6],[30.1 12.9] ; [11.9  5.1],0
b5,1,0.594247,0.28376,[26 17] ; [9 8],[25.08333333 17.91666667] ; [9.91666667 7.08333333],0
n2,1,0.595883,0.28125,[11  1] ; [5 1],[10.66666667  1.33333333] ; [5.33333333 0.66666667],0
u3,1,0.644965,0.212308,[9 6] ; [4 4],[8.47826087 6.52173913] ; [4.52173913 3.47826087],0
d3,1,0.653366,0.201683,[20 23] ; [9 8],[20.78333333 22.21666667] ; [8.21666667 8.78333333],0
s2,1,0.653366,0.201683,[20 23] ; [9 8],[20.78333333 22.21666667] ; [8.21666667 8.78333333],0
r2,1,0.665809,0.186544,[39  4] ; [16  1],[39.41666667  3.58333333] ; [15.58333333  1.41666667],0
a1,1,0.665809,0.186544,[ 4 39] ; [ 1 16],[ 3.58333333 39.41666667] ; [ 1.41666667 15.58333333],0
p4,1,0.714243,0.134075,[25 18] ; [9 8],[24.36666667 18.63333333] ; [9.63333333 7.36666667],0
r4,1,0.718058,0.130361,[37  6] ; [14  3],[36.55  6.45] ; [14.45  2.55],0
a5,1,0.762397,0.091407,[32 11] ; [12  5],[31.53333333 11.46666667] ; [12.46666667  4.53333333],0
