Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7e-06,20.148014,[56  2] ; [2 3],[53.3968254  4.6031746] ; [4.6031746 0.3968254],1
p2,1,6.1e-05,16.058711,[55  3] ; [2 3],[52.47619048  5.52380952] ; [4.52380952 0.47619048],1
r3,1,0.000115,14.870172,[57  1] ; [3 2],[55.23809524  2.76190476] ; [4.76190476 0.23809524],1
s2,1,0.009016,6.819556,[50  8] ; [2 3],[47.87301587 10.12698413] ; [4.12698413 0.87301587],0
p8,1,0.009016,6.819556,[50  8] ; [2 3],[47.87301587 10.12698413] ; [4.12698413 0.87301587],0
p3,1,0.01508,5.907049,[49  9] ; [2 3],[46.95238095 11.04761905] ; [4.04761905 0.95238095],0
s1,1,0.032174,4.589224,[ 5 53] ; [2 3],[ 6.44444444 51.55555556] ; [0.55555556 4.44444444],0
p7,1,0.038152,4.298246,[47 10] ; [1 2],[45.6 11.4] ; [2.4 0.6],0
p6,1,0.050089,3.838483,[41 16] ; [1 3],[39.24590164 17.75409836] ; [2.75409836 1.24590164],0
n6,1,0.095407,2.78069,[56  2] ; [4 1],[55.23809524  2.76190476] ; [4.76190476 0.23809524],0
v3,1,0.102554,2.665369,[33 24] ; [1 4],[31.25806452 25.74193548] ; [2.74193548 2.25806452],0
s6,1,0.103593,2.649343,[54  2] ; [4 1],[53.24590164  2.75409836] ; [4.75409836 0.24590164],0
a4,1,0.112232,2.522512,[25 33] ; [4 1],[26.6984127 31.3015873] ; [2.3015873 2.6984127],0
v2,1,0.140147,2.176345,[31 26] ; [1 4],[29.41935484 27.58064516] ; [2.58064516 2.41935484],0
n5,1,0.192023,1.702031,[55  3] ; [4 1],[54.31746032  3.68253968] ; [4.68253968 0.31746032],0
b4,1,0.197481,1.660909,[29 29] ; [4 1],[30.38095238 27.61904762] ; [2.61904762 2.38095238],0
a2,1,0.21369,1.546247,[10 48] ; [2 3],[11.04761905 46.95238095] ; [0.95238095 4.04761905],0
d2,1,0.281752,1.158621,[32 26] ; [4 1],[33.14285714 24.85714286] ; [2.85714286 2.14285714],0
p9,1,0.298315,1.081712,[54  4] ; [4 1],[53.3968254  4.6031746] ; [4.6031746 0.3968254],0
b3,1,0.299144,1.078007,[19 24] ; [1 4],[17.91666667 25.08333333] ; [2.08333333 2.91666667],0
b2,1,0.299144,1.078007,[19 24] ; [1 4],[17.91666667 25.08333333] ; [2.08333333 2.91666667],0
s5,1,0.4111,0.675617,[37 16] ; [2 2],[36.26315789 16.73684211] ; [2.73684211 1.26315789],0
p10,1,0.455572,0.556753,[51  7] ; [3 1],[50.51612903  7.48387097] ; [3.48387097 0.51612903],0
a7,1,0.55649,0.345818,[39 19] ; [4 1],[39.58730159 18.41269841] ; [3.41269841 1.58730159],0
a5,1,0.55649,0.345818,[39 19] ; [4 1],[39.58730159 18.41269841] ; [3.41269841 1.58730159],0
v1,1,0.573098,0.317526,[41 16] ; [3 2],[40.4516129 16.5483871] ; [3.5483871 1.4516129],0
r1,1,0.609308,0.261183,[51  7] ; [4 1],[50.63492063  7.36507937] ; [4.36507937 0.63492063],0
d1,1,0.61727,0.249724,[41 17] ; [3 2],[40.50793651 17.49206349] ; [3.49206349 1.50793651],0
d4,1,0.703528,0.144828,[50  8] ; [4 1],[49.71428571  8.28571429] ; [4.28571429 0.71428571],0
d3,1,0.713856,0.134456,[42 16] ; [4 1],[42.34920635 15.65079365] ; [3.65079365 1.34920635],0
s8,1,0.834883,0.043448,[44 14] ; [4 1],[44.19047619 13.80952381] ; [3.80952381 1.19047619],0
n3,1,0.868645,0.02735,[8 5] ; [2 1],[8.125 4.875] ; [1.875 1.125],0
n1,1,0.868645,0.02735,[8 5] ; [2 1],[8.125 4.875] ; [1.875 1.125],0
a3,1,0.900865,0.015517,[45 13] ; [4 1],[45.11111111 12.88888889] ; [3.88888889 1.11111111],0
b1,1,0.952068,0.003613,[24 34] ; [2 3],[23.93650794 34.06349206] ; [2.06349206 2.93650794],0
p11,1,0.954926,0.003195,[47 11] ; [4 1],[46.95238095 11.04761905] ; [4.04761905 0.95238095],0
b5,1,0.987935,0.000229,[23 35] ; [2 3],[23.01587302 34.98412698] ; [1.98412698 3.01587302],0
