Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.7e-05,17.637972,[57  5] ; [7 8],[51.53246753 10.46753247] ; [12.46753247  2.53246753],1
p10,1,0.000346,12.803517,[53 10] ; [6 9],[47.65384615 15.34615385] ; [11.34615385  3.65384615],1
v4,1,0.002151,9.416402,[61  2] ; [11  4],[58.15384615  4.84615385] ; [13.84615385  1.15384615],0
p8,1,0.007859,7.065233,[40 22] ; [ 4 11],[35.42857143 26.57142857] ; [8.57142857 6.42857143],0
b1,1,0.01366,6.081557,[24 39] ; [11  4],[28.26923077 34.73076923] ; [6.73076923 8.26923077],0
n5,1,0.014623,5.96129,[54  9] ; [8 6],[50.72727273 12.27272727] ; [11.27272727  2.72727273],0
r1,1,0.017991,5.596989,[48 14] ; [7 8],[44.28571429 17.71428571] ; [10.71428571  4.28571429],0
n4,1,0.057394,3.611131,[52 11] ; [9 6],[49.26923077 13.73076923] ; [11.73076923  3.26923077],0
b2,1,0.08704,2.928275,[16 29] ; [ 1 10],[13.66071429 31.33928571] ; [3.33928571 7.66071429],0
b3,1,0.08704,2.928275,[16 29] ; [ 1 10],[13.66071429 31.33928571] ; [3.33928571 7.66071429],0
s5,1,0.10151,2.681653,[17 44] ; [ 1 13],[14.64 46.36] ; [ 3.36 10.64],0
s3,1,0.119872,2.418989,[27 34] ; [10  5],[29.69736842 31.30263158] ; [7.30263158 7.69736842],0
u2,1,0.121335,2.4,[14 13] ; [2 7],[12. 15.] ; [4. 5.],0
s2,1,0.148696,2.085579,[17 45] ; [7 8],[19.32467532 42.67532468] ; [ 4.67532468 10.32467532],0
a4,1,0.186726,1.743263,[19 44] ; [ 2 13],[16.96153846 46.03846154] ; [ 4.03846154 10.96153846],0
p4,1,0.224485,1.475468,[45 18] ; [13  2],[46.84615385 16.15384615] ; [11.15384615  3.84615385],0
a3,1,0.231332,1.432653,[36 27] ; [6 9],[33.92307692 29.07692308] ; [8.07692308 6.92307692],0
v3,1,0.231576,1.431158,[27 35] ; [ 4 11],[24.96103896 37.03896104] ; [6.03896104 8.96103896],0
p5,1,0.247538,1.337143,[12 51] ; [ 1 14],[10.5 52.5] ; [ 2.5 12.5],0
p1,1,0.247538,1.337143,[12 51] ; [ 1 14],[10.5 52.5] ; [ 2.5 12.5],0
u3,1,0.248213,1.333333,[12 15] ; [6 3],[13.5 13.5] ; [4.5 4.5],0
b5,1,0.249495,1.32613,[36 27] ; [11  4],[37.96153846 25.03846154] ; [9.03846154 5.96153846],0
s8,1,0.276536,1.184037,[26 36] ; [ 4 11],[24.15584416 37.84415584] ; [5.84415584 9.15584416],0
v2,1,0.355568,0.853485,[32 28] ; [6 9],[30.4 29.6] ; [7.6 7.4],0
d3,1,0.367596,0.811775,[14 49] ; [ 5 10],[15.34615385 47.65384615] ; [ 3.65384615 11.34615385],0
p7,1,0.50119,0.452417,[45 18] ; [12  3],[46.03846154 16.96153846] ; [10.96153846  4.03846154],0
r4,1,0.511027,0.431963,[58  5] ; [13  2],[57.34615385  5.65384615] ; [13.65384615  1.34615385],0
r2,1,0.511027,0.431963,[58  5] ; [13  2],[57.34615385  5.65384615] ; [13.65384615  1.34615385],0
a8,1,0.565866,0.32965,[ 5 54] ; [ 2 13],[ 5.58108108 53.41891892] ; [ 1.41891892 13.58108108],0
n6,1,0.58145,0.303896,[54  9] ; [12  3],[53.30769231  9.69230769] ; [12.69230769  2.30769231],0
p2,1,0.611081,0.258603,[50 13] ; [11  4],[49.26923077 13.73076923] ; [11.73076923  3.26923077],0
a7,1,0.619021,0.247245,[42 21] ; [11  4],[42.80769231 20.19230769] ; [10.19230769  4.80769231],0
a5,1,0.62115,0.244255,[38 25] ; [8 7],[37.15384615 25.84615385] ; [8.84615385 6.15384615],0
a2,1,0.662069,0.19102,[ 6 57] ; [ 2 13],[ 6.46153846 56.53846154] ; [ 1.53846154 13.46153846],0
d5,1,0.690684,0.158346,[30 33] ; [8 7],[30.69230769 32.30769231] ; [7.30769231 7.69230769],0
b4,1,0.690684,0.158346,[33 30] ; [7 8],[32.30769231 30.69230769] ; [7.69230769 7.30769231],0
s7,1,0.698095,0.150462,[24 34] ; [5 9],[23.36111111 34.63888889] ; [5.63888889 8.36111111],0
s4,1,0.699904,0.148571,[10 53] ; [ 3 12],[10.5 52.5] ; [ 2.5 12.5],0
d1,1,0.763736,0.090347,[ 3 60] ; [ 1 14],[ 3.23076923 59.76923077] ; [ 0.76923077 14.23076923],0
s6,1,0.808806,0.058548,[37 24] ; [8 6],[36.6 24.4] ; [8.4 5.6],0
n2,1,0.836813,0.042424,[8 3] ; [2 1],[7.85714286 3.14285714] ; [2.14285714 0.85714286],0
d2,1,0.88287,0.021707,[18 45] ; [ 4 11],[17.76923077 45.23076923] ; [ 4.23076923 10.76923077],0
a6,1,0.907547,0.013487,[41 22] ; [10  5],[41.19230769 21.80769231] ; [9.80769231 5.19230769],0
n1,1,0.92265,0.009428,[4 7] ; [1 2],[3.92857143 7.07142857] ; [1.07142857 1.92857143],0
p6,1,0.9284,0.008075,[26 37] ; [6 9],[25.84615385 37.15384615] ; [6.15384615 8.84615385],0
v1,1,0.951552,0.003692,[29 32] ; [7 8],[28.89473684 32.10526316] ; [7.10526316 7.89473684],0
r3,1,0.964017,0.002035,[59  4] ; [14  1],[58.96153846  4.03846154] ; [14.03846154  0.96153846],0
