Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,22.426361,[64 17] ; [18 30],[51.48837209 29.51162791] ; [30.51162791 17.48837209],1
d3,1,4.1e-05,16.829746,[57 24] ; [16 32],[45.8372093 35.1627907] ; [27.1627907 20.8372093],1
a2,1,0.000106,15.027809,[25 58] ; [ 1 47],[16.47328244 66.52671756] ; [ 9.52671756 38.47328244],1
u1,1,0.001449,10.142312,[22 61] ; [ 2 46],[15.20610687 67.79389313] ; [ 8.79389313 39.20610687],0
d4,1,0.002014,9.537093,[66 15] ; [27 21],[58.39534884 22.60465116] ; [34.60465116 13.39534884],0
b5,1,0.005427,7.731425,[52 31] ; [18 30],[44.35114504 38.64885496] ; [25.64885496 22.35114504],0
a5,1,0.008274,6.97316,[62 21] ; [25 23],[55.1221374 27.8778626] ; [31.8778626 16.1221374],0
p10,1,0.010017,6.631874,[54 28] ; [20 27],[47.03875969 34.96124031] ; [26.96124031 20.03875969],0
d5,1,0.010878,6.485211,[60 21] ; [25 23],[53.37209302 27.62790698] ; [31.62790698 16.37209302],0
v4,1,0.011111,6.447515,[71 12] ; [32 16],[65.25954198 17.74045802] ; [37.74045802 10.25954198],0
d1,1,0.015648,5.841985,[51 32] ; [19 29],[44.35114504 38.64885496] ; [25.64885496 22.35114504],0
r4,1,0.018292,5.567948,[66 17] ; [29 19],[60.19083969 22.80916031] ; [34.80916031 13.19083969],0
r3,1,0.018915,5.509334,[70 13] ; [32 16],[64.6259542 18.3740458] ; [37.3740458 10.6259542],0
b4,1,0.031681,4.615654,[54 29] ; [22 26],[48.15267176 34.84732824] ; [27.84732824 20.15267176],0
u2,1,0.035728,4.410037,[17 11] ; [ 6 14],[13.41666667 14.58333333] ; [ 9.58333333 10.41666667],0
p9,1,0.041058,4.173624,[56 26] ; [23 23],[50.609375 31.390625] ; [28.390625 17.609375],0
a1,1,0.066214,3.374472,[12 71] ; [ 2 46],[ 8.87022901 74.12977099] ; [ 5.12977099 42.87022901],0
v2,1,0.073665,3.199403,[43 38] ; [16 28],[38.232 42.768] ; [20.768 23.232],0
b1,1,0.080649,3.051781,[37 46] ; [29 19],[41.81679389 41.18320611] ; [24.18320611 23.81679389],0
r2,1,0.084219,2.981537,[75  6] ; [38  8],[72.07086614  8.92913386] ; [40.92913386  5.07086614],0
r1,1,0.087236,2.924658,[62 21] ; [29 19],[57.65648855 25.34351145] ; [33.34351145 14.65648855],0
s3,1,0.137423,2.206578,[41 40] ; [17 29],[36.99212598 44.00787402] ; [21.00787402 24.99212598],0
s1,1,0.171521,1.8696,[ 5 78] ; [ 6 40],[ 7.07751938 75.92248062] ; [ 3.92248062 42.07751938],0
a8,1,0.179591,1.801008,[13 63] ; [ 4 43],[10.50406504 65.49593496] ; [ 6.49593496 40.50406504],0
a3,1,0.183798,1.76664,[55 26] ; [27 21],[51.48837209 29.51162791] ; [30.51162791 17.48837209],0
s6,1,0.205451,1.603194,[47 35] ; [22 26],[43.52307692 38.47692308] ; [25.47692308 22.52307692],0
b3,1,0.214251,1.542469,[19 36] ; [18 20],[21.88172043 33.11827957] ; [15.11827957 22.88172043],0
b2,1,0.214251,1.542469,[19 36] ; [18 20],[21.88172043 33.11827957] ; [15.11827957 22.88172043],0
n1,1,0.220671,1.5,[13 14] ; [12  6],[15. 12.] ; [10.  8.],0
n6,1,0.221215,1.496474,[65 16] ; [34 14],[62.1627907 18.8372093] ; [36.8372093 11.1627907],0
s2,1,0.271903,1.207122,[36 46] ; [16 31],[33.05426357 48.94573643] ; [18.94573643 28.05426357],0
p11,1,0.274805,1.192604,[53 30] ; [26 22],[50.05343511 32.94656489] ; [28.94656489 19.05343511],0
a4,1,0.307947,1.039458,[39 43] ; [18 29],[36.23255814 45.76744186] ; [20.76744186 26.23255814],0
n3,1,0.347695,0.881851,[19  8] ; [9 7],[17.58139535  9.41860465] ; [10.41860465  5.58139535],0
n2,1,0.369507,0.805322,[22  6] ; [12  6],[20.69565217  7.30434783] ; [13.30434783  4.69565217],0
p5,1,0.376351,0.782587,[ 9 72] ; [ 3 44],[ 7.59375 73.40625] ; [ 4.40625 42.59375],0
s4,1,0.37967,0.771771,[12 69] ; [10 38],[13.81395349 67.18604651] ; [ 8.18604651 39.81395349],0
n5,1,0.395922,0.720676,[69 14] ; [37 11],[67.16030534 15.83969466] ; [38.83969466  9.16030534],0
v3,1,0.39773,0.715178,[32 46] ; [15 30],[29.80487805 48.19512195] ; [17.19512195 27.80487805],0
p7,1,0.436958,0.604259,[28 52] ; [13 33],[26.03174603 53.96825397] ; [14.96825397 31.03174603],0
u3,1,0.457807,0.55125,[15 13] ; [ 9 12],[13.71428571 14.28571429] ; [10.28571429 10.71428571],0
d2,1,0.501817,0.451091,[42 39] ; [21 25],[40.18110236 40.81889764] ; [22.81889764 23.18110236],0
s7,1,0.504647,0.445151,[34 45] ; [17 29],[32.232 46.768] ; [18.768 27.232],0
p6,1,0.613782,0.254704,[15 68] ; [10 36],[16.08527132 66.91472868] ; [ 8.91472868 37.08527132],0
s8,1,0.733558,0.11587,[30 52] ; [19 29],[30.90769231 51.09230769] ; [18.09230769 29.90769231],0
p4,1,0.750017,0.101517,[22 59] ; [14 33],[22.78125 58.21875] ; [13.21875 33.78125],0
