Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.9e-05,18.296581,[ 5 48] ; [24 27],[14.77884615 38.22115385] ; [14.22115385 36.77884615],1
d1,1,0.006898,7.29931,[18 36] ; [32 22],[25. 29.] ; [25. 29.],0
d5,1,0.012911,6.18124,[31 23] ; [43 11],[37. 17.] ; [37. 17.],0
a7,1,0.019294,5.474654,[33 21] ; [44 10],[38.5 15.5] ; [38.5 15.5],0
a5,1,0.020137,5.4,[24 30] ; [36 18],[30. 24.] ; [30. 24.],0
n6,1,0.026014,4.9551,[27 27] ; [37 15],[32.60377358 21.39622642] ; [31.39622642 20.60377358],0
s6,1,0.027852,4.837231,[36 18] ; [45  8],[40.87850467 13.12149533] ; [40.12149533 12.87850467],0
b3,1,0.035909,4.401421,[ 7 26] ; [11 12],[10.60714286 22.39285714] ; [ 7.39285714 15.60714286],0
b2,1,0.035909,4.401421,[ 7 26] ; [11 12],[10.60714286 22.39285714] ; [ 7.39285714 15.60714286],0
r1,1,0.040519,4.196021,[33 21] ; [42 11],[37.85046729 16.14953271] ; [37.14953271 15.85046729],0
r4,1,0.047509,3.927273,[40 14] ; [48  6],[44. 10.] ; [44. 10.],0
b1,1,0.06426,3.423875,[22 32] ; [13 41],[17.5 36.5] ; [17.5 36.5],0
b4,1,0.07687,3.129875,[28 26] ; [37 17],[32.5 21.5] ; [32.5 21.5],0
p10,1,0.095604,2.777395,[34 19] ; [41 11],[37.85714286 15.14285714] ; [37.14285714 14.85714286],0
p8,1,0.097552,2.745111,[20 33] ; [28 24],[24.22857143 28.77142857] ; [23.77142857 28.22857143],0
v1,1,0.114226,2.494753,[19 33] ; [27 25],[23. 29.] ; [23. 29.],0
r2,1,0.141645,2.16,[48  6] ; [52  2],[50.  4.] ; [50.  4.],0
d4,1,0.15171,2.054968,[40 14] ; [46  8],[43. 11.] ; [43. 11.],0
a2,1,0.16416,1.935484,[ 5 49] ; [10 44],[ 7.5 46.5] ; [ 7.5 46.5],0
d3,1,0.165146,1.926465,[30 24] ; [37 17],[33.5 20.5] ; [33.5 20.5],0
a8,1,0.168669,1.894737,[ 4 46] ; [ 1 49],[ 2.5 47.5] ; [ 2.5 47.5],0
u1,1,0.184218,1.763265,[ 3 51] ; [ 7 47],[ 5. 49.] ; [ 5. 49.],0
p11,1,0.226667,1.461654,[32 22] ; [38 16],[35. 19.] ; [35. 19.],0
a3,1,0.286786,1.134649,[29 24] ; [35 19],[31.70093458 21.29906542] ; [32.29906542 21.70093458],0
p5,1,0.326531,0.962607,[ 1 51] ; [ 3 51],[ 1.96226415 50.03773585] ; [ 2.03773585 51.96226415],0
s7,1,0.359846,0.838432,[19 32] ; [24 28],[21.29126214 29.70873786] ; [21.70873786 30.29126214],0
p9,1,0.380736,0.768324,[39 14] ; [42 10],[40.88571429 12.11428571] ; [40.11428571 11.88571429],0
p6,1,0.467034,0.528986,[12 41] ; [15 37],[13.62857143 39.37142857] ; [13.37142857 38.62857143],0
v4,1,0.48685,0.48348,[47  6] ; [50  4],[48.04672897  4.95327103] ; [48.95327103  5.04672897],0
p4,1,0.499122,0.456802,[25 28] ; [29 25],[26.74766355 26.25233645] ; [27.25233645 26.74766355],0
n2,1,0.522421,0.409111,[15  4] ; [14  6],[14.12820513  4.87179487] ; [14.87179487  5.12820513],0
n5,1,0.596523,0.280271,[18 35] ; [21 33],[19.31775701 33.68224299] ; [19.68224299 34.31775701],0
p7,1,0.599389,0.275919,[28 20] ; [33 19],[29.28 18.72] ; [31.72 20.28],0
p3,1,0.635255,0.225002,[19 35] ; [21 32],[20.18691589 33.81308411] ; [19.81308411 33.18691589],0
a1,1,0.646996,0.209709,[ 3 51] ; [ 2 52],[ 2.5 51.5] ; [ 2.5 51.5],0
s1,1,0.662359,0.190671,[ 3 51] ; [ 2 51],[ 2.52336449 51.47663551] ; [ 2.47663551 50.52336449],0
d2,1,0.697132,0.151473,[24 30] ; [22 32],[23. 31.] ; [23. 31.],0
s8,1,0.698535,0.15,[23 31] ; [25 29],[24. 30.] ; [24. 30.],0
u2,1,0.708487,0.139793,[14 10] ; [10  9],[13.39534884 10.60465116] ; [10.60465116  8.39534884],0
p1,1,0.727499,0.12142,[ 4 49] ; [ 5 48],[ 4.5 48.5] ; [ 4.5 48.5],0
s5,1,0.736768,0.112988,[22 32] ; [22 28],[22.84615385 31.15384615] ; [21.15384615 28.84615385],0
a4,1,0.839323,0.041112,[18 36] ; [19 35],[18.5 35.5] ; [18.5 35.5],0
a6,1,0.839323,0.041112,[35 19] ; [36 18],[35.5 18.5] ; [35.5 18.5],0
p2,1,0.867831,0.027694,[40 13] ; [40 14],[39.62616822 13.37383178] ; [40.37383178 13.62616822],0
u3,1,0.964647,0.001965,[15  9] ; [12  7],[15.06976744  8.93023256] ; [11.93023256  7.06976744],0
s4,1,1.0,0.0,[18 36] ; [18 36],[18. 36.] ; [18. 36.],0
n3,1,1.0,0.0,[14  5] ; [14  5],[14.  5.] ; [14.  5.],0
n1,1,1.0,0.0,[ 6 13] ; [ 6 13],[ 6. 13.] ; [ 6. 13.],0
b5,1,1.0,0.0,[30 24] ; [30 24],[30. 24.] ; [30. 24.],0
s2,1,1.0,0.0,[39 15] ; [39 15],[39. 15.] ; [39. 15.],0
