Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,40.670902,[54 60] ; [ 20 139],[30.9010989 83.0989011] ; [ 43.0989011 115.9010989],1
v1,1,9.6e-05,15.20928,[58 58] ; [ 43 116],[42.60363636 73.39636364] ; [ 58.39636364 100.60363636],1
r3,1,0.000641,11.653232,[109   8] ; [125  35],[98.83754513 18.16245487] ; [135.16245487  24.83754513],1
d4,1,0.000902,11.018372,[101  17] ; [110  51],[89.24014337 28.75985663] ; [121.75985663  39.24014337],1
d5,1,0.001875,9.667632,[97 22] ; [104  57],[85.425 33.575] ; [115.575  45.425],0
r1,1,0.003191,8.694956,[92 27] ; [97 63],[80.61290323 38.38709677] ; [108.38709677  51.61290323],0
a7,1,0.003658,8.446203,[88 30] ; [93 68],[76.55197133 41.44802867] ; [104.44802867  56.55197133],0
d1,1,0.004877,7.924351,[66 53] ; [62 99],[54.4 64.6] ; [73.6 87.4],0
d3,1,0.008088,7.013791,[84 35] ; [88 72],[73.36200717 45.63799283] ; [98.63799283 61.36200717],0
p2,1,0.012599,6.224561,[91 27] ; [101  59],[81.49640288 36.50359712] ; [110.50359712  49.49640288],0
n6,1,0.012815,6.194519,[95 23] ; [108  53],[85.85663082 32.14336918] ; [117.14336918  43.85663082],0
p11,1,0.016648,5.733088,[90 29] ; [100  61],[80.75 38.25] ; [109.25  51.75],0
p10,1,0.019411,5.46413,[80 37] ; [86 72],[70.62545455 46.37454545] ; [95.37454545 62.62545455],0
r4,1,0.020524,5.366804,[96 23] ; [110  51],[87.55 31.45] ; [118.45  42.55],0
b1,1,0.03199,4.599034,[34 85] ; [66 95],[42.5 76.5] ; [ 57.5 103.5],0
p9,1,0.036093,4.392685,[85 31] ; [96 61],[76.90842491 39.09157509] ; [104.09157509  52.90842491],0
a6,1,0.044813,4.025668,[82 37] ; [92 69],[73.95 45.05] ; [100.05  60.95],0
p4,1,0.056327,3.642376,[42 73] ; [ 41 118],[34.83576642 80.16423358] ; [ 48.16423358 110.83576642],0
v4,1,0.059147,3.561134,[105  13] ; [129  31],[99.32374101 18.67625899] ; [134.67625899  25.32374101],0
a3,1,0.068672,3.31449,[82 37] ; [92 66],[74.75090253 44.24909747] ; [99.24909747 58.75090253],0
r2,1,0.073899,3.194212,[103  12] ; [130  29],[97.7919708 17.2080292] ; [135.2080292  23.7919708],0
s1,1,0.086483,2.938658,[  1 114] ; [  7 152],[  3.35766423 111.64233577] ; [  4.64233577 154.35766423],0
n5,1,0.121433,2.398736,[67 49] ; [107  53],[73.13043478 42.86956522] ; [100.86956522  59.13043478],0
p7,1,0.125976,2.341402,[54 62] ; [59 99],[47.83941606 68.16058394] ; [65.16058394 92.83941606],0
n1,1,0.143716,2.137709,[10 26] ; [28 38],[13.41176471 22.58823529] ; [24.58823529 41.41176471],0
u1,1,0.152482,2.047239,[ 14 105] ; [ 11 150],[ 10.625 108.375] ; [ 14.375 146.625],0
u4,1,0.18538,1.753957,[  3 116] ; [  1 160],[  1.7 117.3] ; [  2.3 158.7],0
n3,1,0.198889,1.650511,[26 10] ; [38 26],[23.04 12.96] ; [40.96 23.04],0
p8,1,0.211555,1.560755,[43 72] ; [ 48 111],[38.19343066 76.80656934] ; [ 52.80656934 106.19343066],0
a8,1,0.271021,1.211571,[ 8 99] ; [ 18 137],[10.61832061 96.38167939] ; [ 15.38167939 139.61832061],0
s6,1,0.28035,1.165394,[48 68] ; [ 56 104],[43.71014493 72.28985507] ; [60.28985507 99.71014493],0
p1,1,0.350644,0.871124,[  5 113] ; [ 11 149],[  6.79136691 111.20863309] ; [  9.20863309 150.79136691],0
a5,1,0.365359,0.819389,[78 41] ; [97 64],[74.375 44.625] ; [100.625  60.375],0
s4,1,0.40842,0.683395,[  9 108] ; [ 17 143],[ 10.98194946 106.01805054] ; [ 15.01805054 144.98194946],0
s8,1,0.418734,0.653865,[26 92] ; [ 29 131],[23.34532374 94.65467626] ; [ 31.65467626 128.34532374],0
b3,1,0.426815,0.631474,[22 46] ; [35 56],[24.37735849 43.62264151] ; [32.62264151 58.37735849],0
b2,1,0.426815,0.631474,[22 46] ; [35 56],[24.37735849 43.62264151] ; [32.62264151 58.37735849],0
u2,1,0.45209,0.565407,[20 16] ; [33 36],[18.17142857 17.82857143] ; [34.82857143 34.17142857],0
p6,1,0.455031,0.55809,[24 93] ; [ 27 132],[21.61956522 95.38043478] ; [ 29.38043478 129.61956522],0
n4,1,0.498898,0.457279,[78 39] ; [101  60],[75.33453237 41.66546763] ; [103.66546763  57.33453237],0
b5,1,0.637015,0.222667,[75 44] ; [97 64],[73.1 45.9] ; [98.9 62.1],0
p12,1,0.658535,0.195308,[  4 113] ; [  4 155],[  3.39130435 113.60869565] ; [  4.60869565 154.39130435],0
s3,1,0.664409,0.188212,[24 90] ; [ 37 122],[25.47252747 88.52747253] ; [ 35.52747253 123.47252747],0
a1,1,0.76293,0.090984,[  5 114] ; [  8 153],[  5.525 113.475] ; [  7.475 153.525],0
a4,1,0.781566,0.076884,[44 75] ; [61 97],[45.10830325 73.89169675] ; [59.89169675 98.10830325],0
s5,1,0.802193,0.062755,[17 97] ; [ 22 137],[16.28571429 97.71428571] ; [ 22.71428571 136.28571429],0
a2,1,0.816132,0.054067,[ 18 101] ; [ 26 135],[ 18.7 100.3] ; [ 25.3 135.7],0
n2,1,0.831424,0.045316,[23 13] ; [42 26],[22.5 13.5] ; [42.5 25.5],0
d2,1,0.933766,0.006907,[50 68] ; [67 93],[49.6618705 68.3381295] ; [67.3381295 92.6618705],0
s7,1,0.953235,0.003439,[22 90] ; [ 30 125],[21.81273408 90.18726592] ; [ 30.18726592 124.81273408],0
p5,1,0.955467,0.003118,[  5 113] ; [  7 153],[  5.09352518 112.90647482] ; [  6.90647482 153.09352518],0
b4,1,0.975496,0.000943,[70 49] ; [95 66],[70.125 48.875] ; [94.875 66.125],0
u3,1,0.981434,0.000542,[16 21] ; [30 39],[16.05660377 20.94339623] ; [29.94339623 39.05660377],0
