Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,6e-06,20.621217,[ 1 16] ; [39 18],[9.18918919 7.81081081] ; [30.81081081 26.18918919],1
d2,1,0.0002,13.834123,[ 1 16] ; [32 24],[7.68493151 9.31506849] ; [25.31506849 30.68493151],1
d4,1,0.001677,9.873056,[10  7] ; [51  5],[14.20547945  2.79452055] ; [46.79452055  9.20547945],0
a3,1,0.009251,6.773693,[ 6 11] ; [40 17],[10.56756757  6.43243243] ; [35.43243243 21.56756757],0
a8,1,0.021323,5.300175,[ 4 13] ; [ 2 44],[ 1.61904762 15.38095238] ; [ 4.38095238 41.61904762],0
s3,1,0.023884,5.103069,[11  6] ; [19 37],[ 6.98630137 10.01369863] ; [23.01369863 32.98630137],0
u3,1,0.033807,4.504456,[2 9] ; [10  7],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
p6,1,0.038714,4.27339,[ 7 10] ; [ 9 44],[ 3.88571429 13.11428571] ; [12.11428571 40.88571429],0
p7,1,0.052078,3.773262,[12  5] ; [24 31],[8.5 8.5] ; [27.5 27.5],0
a5,1,0.058826,3.57019,[ 7 10] ; [38 19],[10.33783784  6.66216216] ; [34.66216216 22.33783784],0
p10,1,0.083412,2.997128,[ 2 15] ; [19 38],[ 4.82432432 12.17567568] ; [16.17567568 40.82432432],0
a6,1,0.108316,2.578618,[8 9] ; [39 18],[10.7972973  6.2027027] ; [36.2027027 20.7972973],0
s2,1,0.132415,2.263957,[9 8] ; [18 37],[ 6.375 10.625] ; [20.625 34.375],0
n1,1,0.17595,1.831502,[3 2] ; [ 4 11],[1.75 3.25] ; [5.25 9.75],0
b5,1,0.235399,1.407937,[8 9] ; [36 21],[10.10810811  6.89189189] ; [33.89189189 23.10810811],0
d3,1,0.240644,1.376816,[9 8] ; [39 18],[11.02702703  5.97297297] ; [36.97297297 20.02702703],0
p3,1,0.260651,1.265294,[8 9] ; [18 38],[ 6.05479452 10.94520548] ; [19.94520548 36.05479452],0
s5,1,0.275022,1.191524,[ 2 14] ; [14 41],[ 3.6056338 12.3943662] ; [12.3943662 42.6056338],0
b4,1,0.305491,1.050068,[10  7] ; [41 16],[11.71621622  5.28378378] ; [39.28378378 17.71621622],0
r4,1,0.321072,0.984574,[14  3] ; [40 17],[12.40540541  4.59459459] ; [41.59459459 15.40540541],0
p5,1,0.35697,0.848527,[ 1 16] ; [ 1 56],[ 0.45945946 16.54054054] ; [ 1.54054054 55.45945946],0
v4,1,0.36673,0.814716,[16  1] ; [49  8],[14.93243243  2.06756757] ; [50.06756757  6.93243243],0
u2,1,0.420113,0.65,[6 4] ; [7 9],[5. 5.] ; [8. 8.],0
n6,1,0.443362,0.587567,[13  4] ; [38 19],[11.71621622  5.28378378] ; [39.28378378 17.71621622],0
p8,1,0.448853,0.573545,[8 9] ; [21 36],[ 6.66216216 10.33783784] ; [22.33783784 34.66216216],0
b1,1,0.450971,0.56821,[11  6] ; [31 26],[9.64864865 7.35135135] ; [32.35135135 24.64864865],0
b3,1,0.465082,0.533635,[3 4] ; [11 27],[2.17777778 4.82222222] ; [11.82222222 26.17777778],0
b2,1,0.465082,0.533635,[3 4] ; [11 27],[2.17777778 4.82222222] ; [11.82222222 26.17777778],0
s4,1,0.553432,0.351204,[ 1 16] ; [ 6 50],[ 1.63013699 15.36986301] ; [ 5.36986301 50.63013699],0
r3,1,0.553432,0.351204,[16  1] ; [50  6],[15.36986301  1.63013699] ; [50.63013699  5.36986301],0
p11,1,0.564655,0.331709,[10  7] ; [29 28],[8.95945946 8.04054054] ; [30.04054054 26.95945946],0
p4,1,0.6104,0.259592,[ 7 10] ; [27 29],[7.91780822 9.08219178] ; [26.08219178 29.91780822],0
s7,1,0.626575,0.236734,[ 5 12] ; [19 34],[ 5.82857143 11.17142857] ; [18.17142857 34.82857143],0
v3,1,0.659281,0.194398,[ 7 10] ; [26 29],[7.79166667 9.20833333] ; [25.20833333 29.79166667],0
v1,1,0.686607,0.162783,[9 8] ; [27 30],[8.27027027 8.72972973] ; [27.72972973 29.27027027],0
a7,1,0.701135,0.147294,[11  6] ; [39 17],[11.64383562  5.35616438] ; [38.35616438 17.64383562],0
r2,1,0.79118,0.070108,[15  2] ; [48  8],[14.67123288  2.32876712] ; [48.32876712  7.67123288],0
r1,1,0.81746,0.053274,[13  4] ; [42 15],[12.63513514  4.36486486] ; [42.36486486 14.63513514],0
s6,1,0.831759,0.045133,[8 9] ; [28 28],[8.38356164 8.61643836] ; [27.61643836 28.38356164],0
p1,1,0.87,0.026784,[ 1 16] ; [ 4 53],[ 1.14864865 15.85135135] ; [ 3.85135135 53.14864865],0
n4,1,0.880751,0.022505,[11  6] ; [38 19],[11.25675676  5.74324324] ; [37.74324324 19.25675676],0
n5,1,0.881213,0.02233,[9 8] ; [29 28],[8.72972973 8.27027027] ; [29.27027027 27.72972973],0
a1,1,0.921067,0.009819,[ 1 16] ; [ 3 54],[ 0.91891892 16.08108108] ; [ 3.08108108 53.91891892],0
s8,1,0.946551,0.004494,[ 5 12] ; [16 40],[ 4.89041096 12.10958904] ; [16.10958904 39.89041096],0
p2,1,0.951479,0.003703,[10  7] ; [34 23],[10.10810811  6.89189189] ; [33.89189189 23.10810811],0
