Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.009087,6.805556,[2 6] ; [10  2],[4.8 3.2] ; [7.2 4.8],0
a6,1,0.009607,6.706349,[5 3] ; [ 1 11],[2.4 5.6] ; [3.6 8.4],0
p10,1,0.067889,3.333333,[2 6] ; [8 4],[4. 4.] ; [6. 6.],0
p9,1,0.067889,3.333333,[2 6] ; [8 4],[4. 4.] ; [6. 6.],0
p8,1,0.084978,2.967033,[1 7] ; [6 6],[2.8 5.2] ; [4.2 7.8],0
p4,1,0.111017,2.539683,[4 4] ; [ 2 10],[2.4 5.6] ; [3.6 8.4],0
a7,1,0.198982,1.649832,[3 5] ; [8 4],[4.4 3.6] ; [6.6 5.4],0
p3,1,0.263552,1.25,[2 6] ; [6 6],[3.2 4.8] ; [4.8 7.2],0
v3,1,0.291841,1.111111,[3 5] ; [ 2 10],[2. 6.] ; [3. 9.],0
d4,1,0.291841,1.111111,[7 1] ; [8 4],[6. 2.] ; [9. 3.],0
s6,1,0.291841,1.111111,[3 5] ; [ 2 10],[2. 6.] ; [3. 9.],0
s7,1,0.322888,0.977211,[2 5] ; [1 9],[1.23529412 5.76470588] ; [1.76470588 8.23529412],0
u3,1,0.342782,0.9,[2 2] ; [4 1],[2.66666667 1.33333333] ; [3.33333333 1.66666667],0
b1,1,0.443939,0.586081,[6 2] ; [7 5],[5.2 2.8] ; [7.8 4.2],0
d3,1,0.443939,0.586081,[6 2] ; [7 5],[5.2 2.8] ; [7.8 4.2],0
b4,1,0.443939,0.586081,[6 2] ; [7 5],[5.2 2.8] ; [7.8 4.2],0
p11,1,0.443939,0.586081,[2 6] ; [5 7],[2.8 5.2] ; [4.2 7.8],0
v1,1,0.456057,0.555556,[4 4] ; [4 8],[3.2 4.8] ; [4.8 7.2],0
d2,1,0.493563,0.46875,[1 7] ; [3 9],[1.6 6.4] ; [2.4 9.6],0
a4,1,0.550097,0.357143,[3 5] ; [3 9],[2.4 5.6] ; [3.6 8.4],0
p7,1,0.552248,0.353306,[4 4] ; [4 7],[3.36842105 4.63157895] ; [4.63157895 6.36842105],0
s3,1,0.605242,0.267161,[2 5] ; [2 9],[1.55555556 5.44444444] ; [2.44444444 8.55555556],0
u2,1,0.635256,0.225,[3 1] ; [3 2],[2.66666667 1.33333333] ; [3.33333333 1.66666667],0
s2,1,0.648077,0.208333,[2 6] ; [ 2 10],[1.6 6.4] ; [2.4 9.6],0
n2,1,0.67329,0.177778,[1 2] ; [1 4],[0.75 2.25] ; [1.25 3.75],0
n6,1,0.690328,0.15873,[2 6] ; [4 8],[2.4 5.6] ; [3.6 8.4],0
d1,1,0.690328,0.15873,[2 6] ; [4 8],[2.4 5.6] ; [3.6 8.4],0
p2,1,0.713628,0.13468,[4 4] ; [7 5],[4.4 3.6] ; [6.6 5.4],0
d5,1,0.713628,0.13468,[4 4] ; [7 5],[4.4 3.6] ; [6.6 5.4],0
a3,1,0.713628,0.13468,[4 4] ; [7 5],[4.4 3.6] ; [6.6 5.4],0
s8,1,0.760907,0.092593,[1 7] ; [ 1 11],[0.8 7.2] ; [ 1.2 10.8],0
v2,1,0.760907,0.092593,[1 7] ; [ 1 11],[0.8 7.2] ; [ 1.2 10.8],0
a2,1,0.760907,0.092593,[1 7] ; [ 1 11],[0.8 7.2] ; [ 1.2 10.8],0
s5,1,0.760907,0.092593,[1 7] ; [ 1 11],[0.8 7.2] ; [ 1.2 10.8],0
a5,1,0.84822,0.03663,[3 5] ; [4 8],[2.8 5.2] ; [4.2 7.8],0
n3,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
b5,1,0.852179,0.034722,[5 3] ; [7 5],[4.8 3.2] ; [7.2 4.8],0
r1,1,0.852179,0.034722,[3 5] ; [5 7],[3.2 4.8] ; [4.8 7.2],0
n4,1,1.0,0.0,[2 6] ; [3 9],[2. 6.] ; [3. 9.],0
b2,1,1.0,0.0,[1 4] ; [1 4],[1. 4.] ; [1. 4.],0
b3,1,1.0,0.0,[1 4] ; [1 4],[1. 4.] ; [1. 4.],0
