Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.405364,[1 3] ; [75  3],[3.70731707 0.29268293] ; [72.29268293  5.70731707],1
p10,1,0.002534,9.116206,[2 2] ; [72  5],[3.65432099 0.34567901] ; [70.34567901  6.65432099],0
n4,1,0.005415,7.735447,[2 2] ; [72  6],[3.6097561 0.3902439] ; [70.3902439  7.6097561],0
p9,1,0.020713,5.350774,[2 1] ; [75  3],[2.85185185 0.14814815] ; [74.14814815  3.85185185],0
d4,1,0.05779,3.599709,[2 2] ; [66 11],[3.35802469 0.64197531] ; [64.64197531 12.35802469],0
s5,1,0.069235,3.301056,[1 3] ; [49 22],[2.66666667 1.33333333] ; [47.33333333 23.66666667],0
n6,1,0.083351,2.998323,[2 1] ; [72  5],[2.775 0.225] ; [71.225  5.775],0
r1,1,0.092603,2.828524,[2 2] ; [65 13],[3.26829268 0.73170732] ; [63.73170732 14.26829268],0
v4,1,0.105252,2.624109,[3 1] ; [74  4],[3.75609756 0.24390244] ; [73.24390244  4.75609756],0
s1,1,0.105252,2.624109,[1 3] ; [ 4 74],[0.24390244 3.75609756] ; [ 4.75609756 73.24390244],0
s7,1,0.118097,2.44238,[1 2] ; [55 19],[2.18181818 0.81818182] ; [53.81818182 20.18181818],0
b1,1,0.146118,2.112316,[3 1] ; [30 48],[1.6097561 2.3902439] ; [31.3902439 46.6097561],0
v3,1,0.149218,2.080228,[1 3] ; [46 29],[2.37974684 1.62025316] ; [44.62025316 30.37974684],0
p4,1,0.168216,1.898766,[3 1] ; [72  5],[3.7037037 0.2962963] ; [71.2962963  5.7037037],0
a3,1,0.192246,1.700319,[2 2] ; [61 17],[3.07317073 0.92682927] ; [59.92682927 18.07317073],0
b5,1,0.218227,1.515993,[3 1] ; [34 44],[1.80487805 2.19512195] ; [35.19512195 42.80487805],0
p2,1,0.232399,1.426121,[3 1] ; [71  6],[3.65432099 0.34567901] ; [70.34567901  6.65432099],0
r2,1,0.232399,1.426121,[3 1] ; [71  6],[3.65432099 0.34567901] ; [70.34567901  6.65432099],0
p6,1,0.301142,1.069131,[2 2] ; [56 20],[2.9 1.1] ; [55.1 20.9],0
v1,1,0.443273,0.587794,[2 2] ; [52 24],[2.7 1.3] ; [51.3 24.7],0
n3,1,0.481556,0.495338,[2 2] ; [9 4],[2.58823529 1.41176471] ; [8.41176471 4.58823529],0
a4,1,0.493172,0.469598,[1 3] ; [33 45],[1.65853659 2.34146341] ; [32.34146341 45.65853659],0
d3,1,0.50566,0.443037,[2 2] ; [51 26],[2.61728395 1.38271605] ; [50.38271605 26.61728395],0
u3,1,0.553516,0.351056,[1 1] ; [12  5],[1.36842105 0.63157895] ; [11.63157895  5.36842105],0
v2,1,0.571392,0.320359,[2 2] ; [48 27],[2.53164557 1.46835443] ; [47.46835443 27.53164557],0
b2,1,0.573401,0.317025,[2 1] ; [29 29],[1.52459016 1.47540984] ; [29.47540984 28.52459016],0
b3,1,0.573401,0.317025,[2 1] ; [29 29],[1.52459016 1.47540984] ; [29.47540984 28.52459016],0
a6,1,0.581878,0.303209,[2 2] ; [49 28],[2.51851852 1.48148148] ; [48.48148148 28.51851852],0
u1,1,0.665741,0.186625,[1 3] ; [13 65],[0.68292683 3.31707317] ; [13.31707317 64.68292683],0
p3,1,0.675504,0.175231,[3 1] ; [64 13],[3.30864198 0.69135802] ; [63.69135802 13.30864198],0
n1,1,0.681777,0.168132,[2 2] ; [5 8],[1.64705882 2.35294118] ; [5.35294118 7.64705882],0
d1,1,0.683298,0.166437,[2 2] ; [47 31],[2.3902439 1.6097561] ; [46.6097561 31.3902439],0
u2,1,0.683406,0.166317,[1 1] ; [11  6],[1.26315789 0.73684211] ; [10.73684211  6.26315789],0
a2,1,0.722013,0.126572,[1 3] ; [14 64],[0.73170732 3.26829268] ; [14.26829268 63.73170732],0
a7,1,0.767553,0.087366,[3 1] ; [53 25],[2.73170732 1.26829268] ; [53.26829268 24.73170732],0
b4,1,0.801073,0.063483,[2 2] ; [44 34],[2.24390244 1.75609756] ; [43.75609756 34.24390244],0
p12,1,0.80688,0.059757,[1 3] ; [24 54],[1.2195122 2.7804878] ; [23.7804878 54.2195122],0
d5,1,0.890985,0.018785,[3 1] ; [60 17],[3.11111111 0.88888889] ; [59.88888889 17.11111111],0
n2,1,0.936802,0.006287,[3 1] ; [10  3],[3.05882353 0.94117647] ; [9.94117647 3.05882353],0
a5,1,0.976771,0.000848,[3 1] ; [59 19],[3.02439024 0.97560976] ; [58.97560976 19.02439024],0
d2,1,0.979795,0.000641,[2 2] ; [39 38],[2.02469136 1.97530864] ; [38.97530864 38.02469136],0
