Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,77.421224,[108   5] ; [11 28],[88.46710526 24.53289474] ; [30.53289474  8.46710526],1
v4,1,0.0,44.231866,[107   7] ; [18 21],[93.1372549 20.8627451] ; [31.8627451  7.1372549],1
r1,1,0.0,41.960201,[98 15] ; [13 26],[82.51973684 30.48026316] ; [28.48026316 10.51973684],1
r2,1,0.0,35.563302,[111   2] ; [23 13],[101.62416107  11.37583893] ; [32.37583893  3.62416107],1
s6,1,0.0,33.781301,[81 29] ; [ 8 31],[65.70469799 44.29530201] ; [23.29530201 15.70469799],1
p2,1,0.0,26.346667,[88 26] ; [12 26],[75. 39.] ; [25. 13.],1
p9,1,4e-06,21.359607,[81 31] ; [11 26],[69.15436242 42.84563758] ; [22.84563758 14.15436242],1
p4,1,6e-06,20.443225,[62 50] ; [ 5 33],[50.02666667 61.97333333] ; [16.97333333 21.02666667],1
n6,1,1.1e-05,19.326223,[95 19] ; [18 20],[84.75 29.25] ; [28.25  9.75],1
s8,1,1.8e-05,18.442739,[52 61] ; [ 3 36],[40.88815789 72.11184211] ; [14.11184211 24.88815789],1
p7,1,8e-05,15.560445,[63 49] ; [ 7 30],[52.61744966 59.38255034] ; [17.38255034 19.61744966],1
a1,1,0.000155,14.31163,[  4 110] ; [ 9 30],[  9.68627451 104.31372549] ; [ 3.31372549 35.68627451],1
p10,1,0.000336,12.859141,[70 42] ; [11 27],[60.48 51.52] ; [20.52 17.48],1
p8,1,0.000587,11.815422,[45 67] ; [ 4 35],[36.34437086 75.65562914] ; [12.65562914 26.34437086],1
a7,1,0.000615,11.73031,[84 30] ; [17 22],[75.25490196 38.74509804] ; [25.74509804 13.25490196],1
n3,1,0.000753,11.353748,[26  6] ; [ 7 13],[20.30769231 11.69230769] ; [12.69230769  7.30769231],1
s2,1,0.000842,11.146611,[61 52] ; [ 9 30],[52.03947368 60.96052632] ; [17.96052632 21.03947368],1
u3,1,0.001139,10.586872,[18 15] ; [ 1 15],[12.79591837 20.20408163] ; [6.20408163 9.79591837],0
p6,1,0.002032,9.520033,[45 66] ; [ 5 33],[37.24832215 73.75167785] ; [12.75167785 25.24832215],0
s5,1,0.002249,9.334013,[40 66] ; [ 4 33],[32.61538462 73.38461538] ; [11.38461538 25.61538462],0
s7,1,0.002461,9.169222,[58 47] ; [ 9 26],[50.25 54.75] ; [16.75 18.25],0
v2,1,0.006425,7.427205,[58 54] ; [10 28],[50.77333333 61.22666667] ; [17.22666667 20.77333333],0
s3,1,0.008582,6.907895,[63 49] ; [12 26],[56. 56.] ; [19. 19.],0
d3,1,0.009152,6.792947,[81 32] ; [19 20],[74.34210526 38.65789474] ; [25.65789474 13.34210526],0
n2,1,0.009855,6.660943,[29  6] ; [10 10],[24.81818182 10.18181818] ; [14.18181818  5.81818182],0
v1,1,0.010594,6.532205,[56 58] ; [10 29],[49.17647059 64.82352941] ; [16.82352941 22.17647059],0
