Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000168,14.153846,[18  5] ; [32 60],[10. 13.] ; [40. 52.],1
s2,1,0.000212,13.725302,[15  9] ; [21 70],[ 7.51304348 16.48695652] ; [28.48695652 62.51304348],1
s7,1,0.000597,11.784374,[13 10] ; [18 70],[ 6.42342342 16.57657658] ; [24.57657658 63.42342342],1
d2,1,0.005587,7.67898,[ 9 15] ; [12 80],[ 4.34482759 19.65517241] ; [16.65517241 75.34482759],0
s4,1,0.005587,7.67898,[ 9 15] ; [12 80],[ 4.34482759 19.65517241] ; [16.65517241 75.34482759],0
s3,1,0.007354,7.18434,[16  7] ; [35 56],[10.28947368 12.71052632] ; [40.71052632 50.28947368],0
n6,1,0.018772,5.522604,[21  3] ; [56 34],[16.21052632  7.78947368] ; [60.78947368 29.21052632],0
s8,1,0.02185,5.257725,[ 8 15] ; [13 79],[ 4.2 18.8] ; [16.8 75.2],0
p9,1,0.034735,4.458151,[19  4] ; [53 37],[14.65486726  8.34513274] ; [57.34513274 32.65486726],0
p7,1,0.040695,4.188673,[14 10] ; [31 57],[ 9.64285714 14.35714286] ; [35.35714286 52.64285714],0
p12,1,0.047937,3.912191,[ 2 22] ; [ 1 90],[ 0.62608696 23.37391304] ; [ 2.37391304 88.62608696],0
r4,1,0.048358,3.897513,[20  4] ; [57 35],[15.93103448  8.06896552] ; [61.06896552 30.93103448],0
v4,1,0.052474,3.760585,[23  1] ; [71 19],[19.78947368  4.21052632] ; [74.21052632 15.78947368],0
p8,1,0.056091,3.64935,[11 12] ; [25 67],[ 7.2 15.8] ; [28.8 63.2],0
p11,1,0.059279,3.557433,[20  4] ; [58 34],[16.13793103  7.86206897] ; [61.86206897 30.13793103],0
d3,1,0.087559,2.91868,[ 4 20] ; [32 60],[ 7.44827586 16.55172414] ; [28.55172414 63.44827586],0
a5,1,0.102709,2.662967,[13 11] ; [33 59],[ 9.51724138 14.48275862] ; [36.48275862 55.51724138],0
p1,1,0.114801,2.486847,[ 4 20] ; [ 6 86],[ 2.06896552 21.93103448] ; [ 7.93103448 84.06896552],0
n5,1,0.128118,2.315162,[19  5] ; [57 34],[15.86086957  8.13913043] ; [60.13913043 30.86086957],0
r2,1,0.130592,2.285452,[22  2] ; [71 20],[19.40869565  4.59130435] ; [73.59130435 17.40869565],0
p10,1,0.134389,2.241058,[17  7] ; [49 42],[13.77391304 10.22608696] ; [52.22608696 38.77391304],0
p5,1,0.140818,2.168996,[ 2 22] ; [ 2 90],[ 0.82758621 23.17241379] ; [ 3.17241379 88.82758621],0
p6,1,0.237598,1.394788,[ 6 17] ; [14 76],[ 4.07079646 18.92920354] ; [15.92920354 74.07079646],0
r1,1,0.302783,1.061895,[17  7] ; [54 37],[14.8173913  9.1826087] ; [56.1826087 34.8173913],0
p2,1,0.32116,0.984218,[16  8] ; [51 41],[13.86206897 10.13793103] ; [53.13793103 38.86206897],0
p3,1,0.324487,0.970775,[ 6 18] ; [15 77],[ 4.34482759 19.65517241] ; [16.65517241 75.34482759],0
v2,1,0.38588,0.751886,[10 13] ; [29 57],[ 8.2293578 14.7706422] ; [30.7706422 55.2293578],0
b4,1,0.45691,0.553455,[11 13] ; [50 42],[12.62068966 11.37931034] ; [48.37931034 43.62068966],0
a6,1,0.466874,0.529365,[10 14] ; [46 46],[11.5862069 12.4137931] ; [44.4137931 47.5862069],0
b1,1,0.503622,0.447295,[12 12] ; [39 53],[10.55172414 13.44827586] ; [40.44827586 51.55172414],0
v3,1,0.518401,0.417073,[ 8 16] ; [24 66],[ 6.73684211 17.26315789] ; [25.26315789 64.73684211],0
a4,1,0.553526,0.351038,[ 4 20] ; [11 80],[ 3.13043478 20.86956522] ; [11.86956522 79.13043478],0
n3,1,0.591119,0.2886,[5 2] ; [20 13],[4.375 2.625] ; [20.625 12.375],0
u3,1,0.606729,0.264965,[7 7] ; [22 30],[6.15151515 7.84848485] ; [22.84848485 29.15151515],0
a7,1,0.612264,0.256892,[13 11] ; [44 47],[11.89565217 12.10434783] ; [45.10434783 45.89565217],0
n2,1,0.613893,0.254545,[6 1] ; [27  8],[5.5 1.5] ; [27.5  7.5],0
s1,1,0.614502,0.253672,[ 2 22] ; [ 5 85],[ 1.47368421 22.52631579] ; [ 5.52631579 84.47368421],0
u2,1,0.61761,0.249241,[5 9] ; [22 29],[5.81538462 8.18461538] ; [21.18461538 29.81538462],0
d4,1,0.665504,0.186907,[12 12] ; [41 50],[11.06086957 12.93913043] ; [41.93913043 49.06086957],0
n1,1,0.665706,0.186667,[2 5] ; [13 22],[2.5 4.5] ; [12.5 22.5],0
a8,1,0.758228,0.094746,[ 2 22] ; [ 9 77],[ 2.4 21.6] ; [ 8.6 77.4],0
a1,1,0.802732,0.062407,[ 1 23] ; [ 5 87],[ 1.24137931 22.75862069] ; [ 4.75862069 87.24137931],0
n4,1,0.854026,0.03385,[15  9] ; [55 36],[14.60869565  9.39130435] ; [55.39130435 35.60869565],0
b5,1,0.924427,0.008998,[12 12] ; [45 47],[11.79310345 12.20689655] ; [45.20689655 46.79310345],0
a3,1,0.933646,0.006932,[10 13] ; [40 50],[10.17699115 12.82300885] ; [39.82300885 50.17699115],0
b2,1,0.9388,0.005895,[5 8] ; [21 32],[5.12121212 7.87878788] ; [20.87878788 32.12121212],0
b3,1,0.9388,0.005895,[5 8] ; [21 32],[5.12121212 7.87878788] ; [20.87878788 32.12121212],0
u1,1,0.968956,0.001515,[ 1 23] ; [ 4 88],[ 1.03448276 22.96551724] ; [ 3.96551724 88.03448276],0
r3,1,0.976339,0.00088,[19  5] ; [71 19],[18.94736842  5.05263158] ; [71.05263158 18.94736842],0
v1,1,0.986353,0.000293,[ 9 14] ; [35 54],[ 9.03571429 13.96428571] ; [34.96428571 54.03571429],0
