Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.007222,7.216834,[11 12] ; [41 11],[15.94666667  7.05333333] ; [36.05333333 15.94666667],0
u1,1,0.014775,5.943152,[ 4 20] ; [ 1 52],[ 1.55844156 22.44155844] ; [ 3.44155844 49.55844156],0
r2,1,0.046662,3.957521,[ 9 14] ; [32 18],[12.91780822 10.08219178] ; [28.08219178 21.91780822],0
b4,1,0.066159,3.375843,[18  6] ; [28 25],[14.33766234  9.66233766] ; [31.66233766 21.33766234],0
a5,1,0.081936,3.026075,[16  8] ; [24 29],[12.46753247 11.53246753] ; [27.53246753 25.46753247],0
d3,1,0.105335,2.622854,[10 14] ; [32 20],[13.26315789 10.73684211] ; [28.73684211 23.26315789],0
n2,1,0.11625,2.467133,[5 5] ; [20  6],[6.94444444 3.05555556] ; [18.05555556  7.94444444],0
a8,1,0.147923,2.093544,[ 3 20] ; [ 2 49],[ 1.55405405 21.44594595] ; [ 3.44594595 47.55405405],0
s1,1,0.150045,2.071796,[ 3 21] ; [ 2 51],[ 1.55844156 22.44155844] ; [ 3.44155844 49.55844156],0
r1,1,0.164779,1.929811,[ 8 16] ; [10 43],[ 5.61038961 18.38961039] ; [12.38961039 40.61038961],0
d2,1,0.181332,1.786672,[12 12] ; [18 35],[ 9.35064935 14.64935065] ; [20.64935065 32.35064935],0
a6,1,0.224315,1.476553,[10 14] ; [30 23],[12.46753247 11.53246753] ; [27.53246753 25.46753247],0
a2,1,0.224458,1.47564,[ 4 20] ; [ 4 49],[ 2.49350649 21.50649351] ; [ 5.50649351 47.49350649],0
p7,1,0.228054,1.452955,[ 8 16] ; [25 27],[10.42105263 13.57894737] ; [22.57894737 29.42105263],0
p3,1,0.293622,1.102941,[ 6 18] ; [19 32],[ 8. 16.] ; [17. 34.],0
p8,1,0.299109,1.078162,[ 6 17] ; [20 32],[ 7.97333333 15.02666667] ; [18.02666667 33.97333333],0
u3,1,0.354619,0.85686,[2 8] ; [ 8 14],[3.125 6.875] ; [ 6.875 15.125],0
s6,1,0.364121,0.82363,[10 14] ; [28 25],[11.84415584 12.15584416] ; [26.15584416 26.84415584],0
s4,1,0.384369,0.756682,[ 3 21] ; [11 42],[ 4.36363636 19.63636364] ; [ 9.63636364 43.36363636],0
v1,1,0.396214,0.719787,[ 7 16] ; [20 29],[ 8.625 14.375] ; [18.375 30.625],0
a4,1,0.421653,0.645702,[ 8 16] ; [13 40],[ 6.54545455 17.45454545] ; [14.45454545 38.54545455],0
s3,1,0.425125,0.636105,[ 9 14] ; [26 27],[10.59210526 12.40789474] ; [24.40789474 28.59210526],0
v3,1,0.441078,0.593476,[ 4 20] ; [13 40],[ 5.2987013 18.7012987] ; [11.7012987 41.2987013],0
n6,1,0.445933,0.580969,[14  9] ; [37 16],[15.43421053  7.56578947] ; [35.56578947 17.43421053],0
