Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.025409,4.995771,[ 5 11] ; [7 2],[7.68 8.32] ; [4.32 4.68],0
p3,1,0.051842,3.780864,[8 8] ; [8 1],[10.24  5.76] ; [5.76 3.24],0
v3,1,0.088376,2.903704,[ 2 13] ; [4 5],[ 3.75 11.25] ; [2.25 6.75],0
s6,1,0.125786,2.34375,[9 7] ; [7 1],[10.66666667  5.33333333] ; [5.33333333 2.66666667],0
d5,1,0.126568,2.334105,[12  4] ; [4 5],[10.24  5.76] ; [5.76 3.24],0
a4,1,0.173568,1.851852,[8 8] ; [2 7],[6.4 9.6] ; [3.6 5.4],0
a6,1,0.270948,1.211939,[7 9] ; [6 3],[8.32 7.68] ; [4.68 4.32],0
p8,1,0.285049,1.142857,[ 5 10] ; [5 4],[6.25 8.75] ; [3.75 5.25],0
p6,1,0.285049,1.142857,[ 5 10] ; [5 4],[6.25 8.75] ; [3.75 5.25],0
a8,1,0.294644,1.09828,[ 1 13] ; [2 7],[ 1.82608696 12.17391304] ; [1.17391304 7.82608696],0
d4,1,0.317113,1.000817,[12  4] ; [5 4],[10.88  5.12] ; [6.12 2.88],0
s5,1,0.317311,1.0,[ 3 13] ; [3 5],[ 4. 12.] ; [2. 6.],0
s7,1,0.362656,0.828676,[ 3 12] ; [3 5],[ 3.91304348 11.08695652] ; [2.08695652 5.91304348],0
p5,1,0.363646,0.825263,[ 4 11] ; [1 8],[ 3.125 11.875] ; [1.875 7.125],0
n6,1,0.371093,0.8,[9 6] ; [7 2],[10.  5.] ; [6. 3.],0
b1,1,0.382677,0.762085,[10  6] ; [4 5],[8.96 7.04] ; [5.04 3.96],0
r2,1,0.382677,0.762085,[10  6] ; [4 5],[8.96 7.04] ; [5.04 3.96],0
d2,1,0.382677,0.762085,[10  6] ; [4 5],[8.96 7.04] ; [5.04 3.96],0
a5,1,0.404657,0.694444,[12  4] ; [8 1],[12.8  3.2] ; [7.2 1.8],0
s4,1,0.404657,0.694444,[ 4 12] ; [1 8],[ 3.2 12.8] ; [1.8 7.2],0
s8,1,0.412494,0.671601,[ 3 13] ; [3 6],[ 3.84 12.16] ; [2.16 6.84],0
a7,1,0.420345,0.649351,[8 8] ; [3 6],[7.04 8.96] ; [3.96 5.04],0
r1,1,0.420345,0.649351,[8 8] ; [3 6],[7.04 8.96] ; [3.96 5.04],0
p2,1,0.562069,0.336134,[10  5] ; [7 2],[10.625  4.375] ; [6.375 2.625],0
p11,1,0.570632,0.321626,[9 7] ; [4 5],[8.32 7.68] ; [4.68 4.32],0
u2,1,0.598161,0.277778,[2 4] ; [2 2],[2.4 3.6] ; [1.6 2.4],0
d1,1,0.609834,0.260417,[7 9] ; [3 6],[6.4 9.6] ; [3.6 5.4],0
r4,1,0.609834,0.260417,[7 9] ; [3 6],[6.4 9.6] ; [3.6 5.4],0
v2,1,0.609834,0.260417,[9 7] ; [6 3],[9.6 6.4] ; [5.4 3.6],0
p10,1,0.609834,0.260417,[9 7] ; [6 3],[9.6 6.4] ; [5.4 3.6],0
b4,1,0.609834,0.260417,[9 7] ; [6 3],[9.6 6.4] ; [5.4 3.6],0
r3,1,0.629412,0.232859,[11  5] ; [7 2],[11.52  4.48] ; [6.48 2.52],0
p12,1,0.667167,0.184934,[ 1 15] ; [1 8],[ 1.28 14.72] ; [0.72 8.28],0
v1,1,0.733701,0.115741,[ 6 10] ; [4 5],[6.4 9.6] ; [3.6 5.4],0
a3,1,0.733701,0.115741,[10  6] ; [5 4],[9.6 6.4] ; [5.4 3.6],0
n4,1,0.834969,0.043403,[10  6] ; [6 3],[10.24  5.76] ; [5.76 3.24],0
p7,1,0.914641,0.011489,[11  5] ; [6 3],[10.88  5.12] ; [6.12 2.88],0
p9,1,0.914641,0.011489,[11  5] ; [6 3],[10.88  5.12] ; [6.12 2.88],0
n5,1,0.914641,0.011489,[11  5] ; [6 3],[10.88  5.12] ; [6.12 2.88],0
b5,1,0.914641,0.011489,[11  5] ; [6 3],[10.88  5.12] ; [6.12 2.88],0
d3,1,0.914641,0.011489,[11  5] ; [6 3],[10.88  5.12] ; [6.12 2.88],0
a2,1,0.918299,0.010522,[ 2 14] ; [1 8],[ 1.92 14.08] ; [1.08 7.92],0
b3,1,0.93758,0.006133,[2 9] ; [1 5],[1.94117647 9.05882353] ; [1.05882353 4.94117647],0
b2,1,0.93758,0.006133,[2 9] ; [1 5],[1.94117647 9.05882353] ; [1.05882353 4.94117647],0
