Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n2,1,0.004563,8.044959,[10  1] ; [1 4],[7.5625 3.4375] ; [3.4375 1.5625],0
s2,1,0.010017,6.63182,[41 19] ; [12 18],[35.33333333 24.66666667] ; [17.66666667 12.33333333],0
s1,1,0.02274,5.188235,[ 1 59] ; [ 4 26],[ 3.33333333 56.66666667] ; [ 1.66666667 28.33333333],0
u2,1,0.026134,4.947115,[11  2] ; [3 5],[8.66666667 4.33333333] ; [5.33333333 2.66666667],0
a5,1,0.034454,4.47205,[50 10] ; [19 11],[46. 14.] ; [23.  7.],0
p11,1,0.048452,3.894231,[55  5] ; [23  7],[52.  8.] ; [26.  4.],0
a1,1,0.048452,3.894231,[11 49] ; [ 1 29],[ 8. 52.] ; [ 4. 26.],0
v3,1,0.049126,3.871057,[40 20] ; [13 16],[35.73033708 24.26966292] ; [17.26966292 11.73033708],0
v2,1,0.049126,3.871057,[40 20] ; [13 16],[35.73033708 24.26966292] ; [17.26966292 11.73033708],0
b4,1,0.049785,3.848684,[39 21] ; [13 17],[34.66666667 25.33333333] ; [17.33333333 12.66666667],0
b5,1,0.0517,3.785465,[23 37] ; [18 12],[27.33333333 32.66666667] ; [13.66666667 16.33333333],0
d5,1,0.080029,3.064317,[49 10] ; [20 10],[45.74157303 13.25842697] ; [23.25842697  6.74157303],0
p8,1,0.11273,2.515528,[49 11] ; [20 10],[46. 14.] ; [23.  7.],0
s4,1,0.130384,2.287923,[ 8 51] ; [ 1 29],[ 5.96629213 53.03370787] ; [ 3.03370787 26.96629213],0
v1,1,0.176998,1.822649,[43 17] ; [16 12],[40.22727273 19.77272727] ; [18.77272727  9.22727273],0
u3,1,0.203737,1.615385,[10  3] ; [4 4],[8.66666667 4.33333333] ; [5.33333333 2.66666667],0
p7,1,0.209194,1.576992,[49  9] ; [22  8],[46.79545455 11.20454545] ; [24.20454545  5.79545455],0
n3,1,0.210075,1.570909,[8 3] ; [2 3],[6.875 4.125] ; [3.125 1.875],0
d1,1,0.225561,1.468638,[38 22] ; [15 15],[35.33333333 24.66666667] ; [17.66666667 12.33333333],0
n4,1,0.23568,1.40625,[55  5] ; [25  5],[53.33333333  6.66666667] ; [26.66666667  3.33333333],0
a7,1,0.264228,1.246467,[43 17] ; [18 12],[40.66666667 19.33333333] ; [20.33333333  9.66666667],0
s3,1,0.284503,1.145455,[39 21] ; [16 14],[36.66666667 23.33333333] ; [18.33333333 11.66666667],0
u1,1,0.289085,1.123876,[ 7 53] ; [ 6 24],[ 8.66666667 51.33333333] ; [ 4.33333333 25.66666667],0
p10,1,0.306861,1.044138,[55  4] ; [26  4],[53.69662921  5.30337079] ; [27.30337079  2.69662921],0
