Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6.8e-05,15.864747,[25 57] ; [14  3],[32.3030303 49.6969697] ; [ 6.6969697 10.3030303],1
s4,1,0.000492,12.146212,[ 7 74] ; [ 7 10],[11.57142857 69.42857143] ; [ 2.42857143 14.57142857],1
s2,1,0.001106,10.640804,[20 62] ; [11  6],[25.67676768 56.32323232] ; [ 5.32323232 11.67676768],0
p1,1,0.008336,6.959828,[ 6 76] ; [ 5 12],[ 9.11111111 72.88888889] ; [ 1.88888889 15.11111111],0
s8,1,0.015864,5.817848,[16 66] ; [8 9],[19.87878788 62.12121212] ; [ 4.12121212 12.87878788],0
r4,1,0.01648,5.75087,[47 35] ; [15  2],[51.35353535 30.64646465] ; [10.64646465  6.35353535],0
n6,1,0.018821,5.518037,[47 34] ; [15  2],[51.24489796 29.75510204] ; [10.75510204  6.24489796],0
s7,1,0.022129,5.235577,[18 57] ; [8 7],[21.66666667 53.33333333] ; [ 4.33333333 10.66666667],0
p5,1,0.027305,4.871441,[ 5 74] ; [ 4 13],[ 7.40625 71.59375] ; [ 1.59375 15.40625],0
p4,1,0.039174,4.253319,[16 65] ; [7 9],[19.20618557 61.79381443] ; [ 3.79381443 12.20618557],0
p6,1,0.045885,3.985799,[ 6 75] ; [ 4 13],[ 8.26530612 72.73469388] ; [ 1.73469388 15.26530612],0
v1,1,0.055616,3.663526,[19 60] ; [8 9],[22.21875 56.78125] ; [ 4.78125 12.21875],0
v4,1,0.067626,3.339729,[54 28] ; [15  2],[57.15151515 24.84848485] ; [11.84848485  5.15151515],0
a5,1,0.083271,2.999871,[44 38] ; [13  4],[47.21212121 34.78787879] ; [9.78787879 7.21212121],0
s3,1,0.110867,2.541823,[28 52] ; [9 7],[30.83333333 49.16666667] ; [6.16666667 9.83333333],0
r3,1,0.111176,2.537423,[51 31] ; [14  3],[53.83838384 28.16161616] ; [11.16161616  5.83838384],0
b5,1,0.132773,2.259781,[50 32] ; [ 7 10],[47.21212121 34.78787879] ; [9.78787879 7.21212121],0
s1,1,0.163084,1.94539,[ 9 73] ; [ 4 13],[10.76767677 71.23232323] ; [ 2.23232323 14.76767677],0
d2,1,0.16691,1.910482,[37 43] ; [11  6],[39.58762887 40.41237113] ; [8.41237113 8.58762887],0
r1,1,0.199965,1.642631,[44 38] ; [12  5],[46.38383838 35.61616162] ; [9.61616162 7.38383838],0
