Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.4e-05,17.839064,[58 42] ; [53  6],[69.81132075 30.18867925] ; [41.18867925 17.81132075],1
p10,1,9.6e-05,15.208279,[50 48] ; [47 10],[61.32903226 36.67096774] ; [35.67096774 21.32903226],1
s5,1,0.000198,13.847949,[12 85] ; [22 36],[21.27741935 75.72258065] ; [12.72258065 45.27741935],1
r1,1,0.00033,12.890698,[51 49] ; [47 12],[61.63522013 38.36477987] ; [36.36477987 22.63522013],1
s8,1,0.00043,12.396074,[11 89] ; [20 39],[19.49685535 80.50314465] ; [11.50314465 47.49685535],1
p9,1,0.000816,11.204799,[59 38] ; [50  8],[68.21290323 28.78709677] ; [40.78709677 17.21290323],1
p3,1,0.001307,10.33289,[26 73] ; [30 28],[35.31210191 63.68789809] ; [20.68789809 37.31210191],0
p6,1,0.002159,9.409342,[14 81] ; [21 37],[21.73202614 73.26797386] ; [13.26797386 44.73202614],0
p2,1,0.009989,6.636933,[60 38] ; [47 11],[67.21794872 30.78205128] ; [39.78205128 18.21794872],0
r3,1,0.011471,6.390857,[73 27] ; [53  6],[79.24528302 20.75471698] ; [46.75471698 12.24528302],0
a8,1,0.015205,5.892561,[ 4 89] ; [ 9 48],[ 8.06 84.94] ; [ 4.94 52.06],0
d3,1,0.015733,5.832436,[30 70] ; [29 30],[37.10691824 62.89308176] ; [21.89308176 37.10691824],0
s7,1,0.018051,5.591219,[17 75] ; [21 38],[23.15231788 68.84768212] ; [14.84768212 44.15231788],0
s4,1,0.023413,5.137633,[ 8 92] ; [12 47],[12.57861635 87.42138365] ; [ 7.42138365 51.57861635],0
v4,1,0.024618,5.050533,[76 22] ; [54  5],[81.14649682 16.85350318] ; [48.85350318 10.14649682],0
p11,1,0.027948,4.831293,[63 37] ; [47 12],[69.18238994 30.81761006] ; [40.81761006 18.18238994],0
n5,1,0.034431,4.473193,[65 34] ; [48 11],[70.80379747 28.19620253] ; [42.19620253 16.80379747],0
p4,1,0.035908,4.401453,[34 62] ; [31 28],[40.25806452 55.74193548] ; [24.74193548 34.25806452],0
s3,1,0.039343,4.246008,[20 77] ; [21 38],[25.49358974 71.50641026] ; [15.50641026 43.49358974],0
r2,1,0.04938,3.86239,[77 20] ; [53  5],[81.35483871 15.64516129] ; [48.64516129  9.35483871],0
n6,1,0.050618,3.820863,[67 33] ; [48 11],[72.32704403 27.67295597] ; [42.67295597 16.32704403],0
a5,1,0.051325,3.797644,[52 48] ; [40 19],[57.86163522 42.13836478] ; [34.13836478 24.86163522],0
n4,1,0.066472,3.368053,[66 34] ; [47 12],[71.06918239 28.93081761] ; [41.93081761 17.06918239],0
p7,1,0.081474,3.035251,[45 53] ; [35 23],[50.25641026 47.74358974] ; [29.74358974 28.25641026],0
p5,1,0.096607,2.760676,[ 6 94] ; [ 8 50],[ 8.86075949 91.13924051] ; [ 5.13924051 52.86075949],0
