Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.5e-05,16.252977,[ 2 10] ; [39 11],[7.93548387 4.06451613] ; [33.06451613 16.93548387],1
s3,1,9.4e-05,15.260455,[3 9] ; [41  9],[8.51612903 3.48387097] ; [35.48387097 14.51612903],1
r4,1,0.000213,13.70871,[7 5] ; [48  2],[10.64516129  1.35483871] ; [44.35483871  5.64516129],1
s7,1,0.000381,12.624187,[4 8] ; [41  8],[8.85245902 3.14754098] ; [36.14754098 12.85245902],1
p6,1,0.006605,7.377298,[2 9] ; [31 18],[6.05 4.95] ; [26.95 22.05],0
s8,1,0.008724,6.878555,[4 8] ; [36 13],[7.86885246 4.13114754] ; [32.13114754 16.86885246],0
n4,1,0.01643,5.756211,[9 3] ; [48  2],[11.03225806  0.96774194] ; [45.96774194  4.03225806],0
v4,1,0.033482,4.520979,[10  2] ; [49  1],[11.41935484  0.58064516] ; [47.58064516  2.41935484],0
b5,1,0.036493,4.373898,[ 2 10] ; [25 25],[5.22580645 6.77419355] ; [21.77419355 28.22580645],0
r3,1,0.045587,3.996786,[9 3] ; [47  3],[10.83870968  1.16129032] ; [45.16129032  4.83870968],0
r1,1,0.071171,3.255795,[8 4] ; [44  6],[10.06451613  1.93548387] ; [41.93548387  8.06451613],0
a3,1,0.094711,2.792416,[9 3] ; [46  4],[10.64516129  1.35483871] ; [44.35483871  5.64516129],0
u1,1,0.09887,2.723678,[ 1 11] ; [16 34],[3.29032258 8.70967742] ; [13.70967742 36.29032258],0
n1,1,0.124283,2.3625,[1 3] ; [7 3],[2.28571429 1.71428571] ; [5.71428571 4.28571429],0
d3,1,0.173559,1.851933,[9 3] ; [44  5],[10.42622951  1.57377049] ; [42.57377049  6.42622951],0
n5,1,0.222978,1.485099,[10  2] ; [47  3],[11.03225806  0.96774194] ; [45.96774194  4.03225806],0
r2,1,0.222978,1.485099,[10  2] ; [47  3],[11.03225806  0.96774194] ; [45.96774194  4.03225806],0
p8,1,0.241294,1.373019,[8 4] ; [41  9],[9.48387097 2.51612903] ; [39.51612903 10.48387097],0
p1,1,0.352486,0.864488,[ 2 10] ; [15 35],[3.29032258 8.70967742] ; [13.70967742 36.29032258],0
p12,1,0.352486,0.864488,[ 2 10] ; [15 35],[3.29032258 8.70967742] ; [13.70967742 36.29032258],0
a7,1,0.356427,0.850445,[7 5] ; [36 14],[8.32258065 3.67741935] ; [34.67741935 15.32258065],0
b3,1,0.365356,0.819398,[6 3] ; [20 20],[4.7755102 4.2244898] ; [21.2244898 18.7755102],0
b2,1,0.365356,0.819398,[6 3] ; [20 20],[4.7755102 4.2244898] ; [21.2244898 18.7755102],0
p4,1,0.375337,0.78592,[10  2] ; [45  4],[10.81967213  1.18032787] ; [44.18032787  4.81967213],0
d2,1,0.400769,0.706019,[10  2] ; [35 14],[8.85245902 3.14754098] ; [36.14754098 12.85245902],0
a5,1,0.41358,0.668487,[11  1] ; [41  9],[10.06451613  1.93548387] ; [41.93548387  8.06451613],0
s5,1,0.431834,0.617887,[7 5] ; [33 14],[8.13559322 3.86440678] ; [31.86440678 15.13559322],0
p2,1,0.440817,0.594156,[9 2] ; [45  5],[9.73770492 1.26229508] ; [44.26229508  5.73770492],0
n3,1,0.480478,0.497778,[2 2] ; [3 7],[1.42857143 2.57142857] ; [3.57142857 6.42857143],0
a2,1,0.497788,0.45965,[ 2 10] ; [13 37],[2.90322581 9.09677419] ; [12.09677419 37.90322581],0
a6,1,0.52144,0.411044,[9 3] ; [32 17],[8.06557377 3.93442623] ; [32.93442623 16.06557377],0
p9,1,0.529864,0.394652,[11  1] ; [48  2],[11.41935484  0.58064516] ; [47.58064516  2.41935484],0
v2,1,0.547685,0.361481,[8 4] ; [28 21],[7.08196721 4.91803279] ; [28.91803279 20.08196721],0
p3,1,0.60444,0.268352,[9 3] ; [40  9],[9.63934426 2.36065574] ; [39.36065574  9.63934426],0
b4,1,0.615715,0.251937,[6 6] ; [29 21],[6.77419355 5.22580645] ; [28.22580645 21.77419355],0
p11,1,0.718531,0.129905,[11  1] ; [44  6],[10.64516129  1.35483871] ; [44.35483871  5.64516129],0
p7,1,0.781204,0.077145,[9 3] ; [37 10],[9.3559322 2.6440678] ; [36.6440678 10.3559322],0
u2,1,0.80915,0.058333,[2 1] ; [3 1],[2.14285714 0.85714286] ; [2.85714286 1.14285714],0
n2,1,0.851596,0.035,[3 1] ; [7 3],[2.85714286 1.14285714] ; [7.14285714 2.85714286],0
b1,1,0.883608,0.021432,[5 7] ; [22 28],[5.22580645 6.77419355] ; [21.77419355 28.22580645],0
a4,1,0.90092,0.0155,[6 6] ; [26 24],[6.19354839 5.80645161] ; [25.80645161 24.19354839],0
n6,1,0.91987,0.01012,[10  1] ; [45  4],[10.08333333  0.91666667] ; [44.91666667  4.08333333],0
v3,1,0.957189,0.002882,[7 5] ; [29 20],[7.08196721 4.91803279] ; [28.91803279 20.08196721],0
s1,1,0.969622,0.00145,[ 1 11] ; [ 4 46],[ 0.96774194 11.03225806] ; [ 4.03225806 45.96774194],0
p10,1,0.969622,0.00145,[11  1] ; [46  4],[11.03225806  0.96774194] ; [45.96774194  4.03225806],0
v1,1,0.970656,0.001353,[9 3] ; [37 12],[9.04918033 2.95081967] ; [36.95081967 12.04918033],0
