Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.259689,[ 9 26] ; [38 11],[19.58333333 15.41666667] ; [27.41666667 21.58333333],1
b5,1,0.054829,3.687273,[21 14] ; [19 30],[16.66666667 18.33333333] ; [23.33333333 25.66666667],0
p7,1,0.068914,3.3087,[13 22] ; [ 9 38],[ 9.3902439 25.6097561] ; [12.6097561 34.3902439],0
p3,1,0.095647,2.77667,[ 5 29] ; [15 34],[ 8.19277108 25.80722892] ; [11.80722892 37.19277108],0
n6,1,0.09783,2.740571,[17 18] ; [32 16],[20.6626506 14.3373494] ; [28.3373494 19.6626506],0
u1,1,0.124844,2.355473,[ 1 34] ; [ 6 43],[ 2.91666667 32.08333333] ; [ 4.08333333 44.91666667],0
p4,1,0.126162,2.339109,[11 24] ; [ 8 39],[ 8.1097561 26.8902439] ; [10.8902439 36.1097561],0
n1,1,0.163187,1.944444,[ 4 11] ; [10 10],[6. 9.] ; [ 8. 12.],0
a8,1,0.172569,1.860484,[ 1 34] ; [ 5 41],[ 2.59259259 32.40740741] ; [ 3.40740741 42.59259259],0
p8,1,0.176979,1.822811,[ 8 26] ; [ 6 43],[ 5.73493976 28.26506024] ; [ 8.26506024 40.73493976],0
d5,1,0.180998,1.78941,[25 10] ; [28 21],[22.08333333 12.91666667] ; [30.91666667 18.08333333],0
b2,1,0.198724,1.651726,[ 4 13] ; [15 21],[ 6.09433962 10.90566038] ; [12.90566038 23.09433962],0
b3,1,0.198724,1.651726,[ 4 13] ; [15 21],[ 6.09433962 10.90566038] ; [12.90566038 23.09433962],0
d4,1,0.19979,1.643906,[28  7] ; [33 16],[25.41666667  9.58333333] ; [35.58333333 13.41666667],0
p6,1,0.203604,1.61633,[ 5 29] ; [ 3 45],[ 3.31707317 30.68292683] ; [ 4.68292683 43.31707317],0
a1,1,0.210498,1.568,[ 2 33] ; [ 7 42],[ 3.75 31.25] ; [ 5.25 43.75],0
r3,1,0.210593,1.567347,[26  9] ; [30 19],[23.33333333 11.66666667] ; [32.66666667 16.33333333],0
u3,1,0.241374,1.372549,[9 6] ; [ 8 12],[7.28571429 7.71428571] ; [ 9.71428571 10.28571429],0
s2,1,0.250153,1.322449,[11 24] ; [10 39],[ 8.75 26.25] ; [12.25 36.75],0
a4,1,0.254735,1.297147,[11 24] ; [21 27],[13.4939759 21.5060241] ; [18.5060241 29.4939759],0
s8,1,0.32149,0.982874,[ 3 31] ; [ 8 41],[ 4.5060241 29.4939759] ; [ 6.4939759 42.5060241],0
u2,1,0.336253,0.924666,[8 7] ; [ 7 12],[6.61764706 8.38235294] ; [ 8.38235294 10.61764706],0
n3,1,0.406669,0.688519,[8 7] ; [ 7 11],[6.81818182 8.18181818] ; [8.18181818 9.81818182],0
v3,1,0.417777,0.65656,[ 9 26] ; [16 31],[10.67073171 24.32926829] ; [14.32926829 32.67073171],0
v2,1,0.426694,0.631804,[14 20] ; [16 33],[12.28915663 21.71084337] ; [17.71084337 31.28915663],0
r1,1,0.447521,0.576923,[20 15] ; [32 17],[21.66666667 13.33333333] ; [30.33333333 18.66666667],0
s5,1,0.450817,0.568597,[ 7 27] ; [ 7 42],[ 5.73493976 28.26506024] ; [ 8.26506024 40.73493976],0
p1,1,0.462941,0.538776,[ 2 33] ; [ 5 44],[ 2.91666667 32.08333333] ; [ 4.08333333 44.91666667],0
b4,1,0.477229,0.50519,[22 13] ; [27 22],[20.41666667 14.58333333] ; [28.58333333 20.41666667],0
a5,1,0.480284,0.498217,[18 17] ; [29 20],[19.58333333 15.41666667] ; [27.41666667 21.58333333],0
s6,1,0.499122,0.456803,[15 19] ; [18 31],[13.51807229 20.48192771] ; [19.48192771 29.51807229],0
a6,1,0.506729,0.440816,[16 19] ; [26 23],[17.5 17.5] ; [24.5 24.5],0
s7,1,0.50805,0.438082,[ 6 27] ; [11 34],[ 7.19230769 25.80769231] ; [ 9.80769231 35.19230769],0
r2,1,0.509528,0.435037,[27  8] ; [39  8],[28.17073171  6.82926829] ; [37.82926829  9.17073171],0
b1,1,0.524809,0.404431,[19 16] ; [30 19],[20.41666667 14.58333333] ; [28.58333333 20.41666667],0
s1,1,0.527089,0.4,[ 6 29] ; [ 6 43],[ 5. 30.] ; [ 7. 42.],0
a2,1,0.527089,0.4,[ 4 31] ; [ 8 41],[ 5. 30.] ; [ 7. 42.],0
n2,1,0.602802,0.27079,[7 9] ; [11 10],[7.78378378 8.21621622] ; [10.21621622 10.78378378],0
v4,1,0.614067,0.254295,[24 11] ; [31 18],[22.91666667 12.08333333] ; [32.08333333 16.91666667],0
p11,1,0.614067,0.254295,[11 24] ; [18 31],[12.08333333 22.91666667] ; [16.91666667 32.08333333],0
a7,1,0.684848,0.164719,[17 18] ; [26 23],[17.91666667 17.08333333] ; [25.08333333 23.91666667],0
v1,1,0.701478,0.146939,[ 8 27] ; [13 36],[ 8.75 26.25] ; [12.25 36.75],0
a3,1,0.764552,0.089706,[20 15] ; [29 19],[20.6626506 14.3373494] ; [28.3373494 19.6626506],0
d1,1,0.793428,0.068571,[14 21] ; [21 28],[14.58333333 20.41666667] ; [20.41666667 28.58333333],0
r4,1,0.794827,0.067625,[19 16] ; [28 21],[19.58333333 15.41666667] ; [27.41666667 21.58333333],0
d3,1,0.852642,0.034503,[15 20] ; [22 27],[15.41666667 19.58333333] ; [21.58333333 27.41666667],0
s4,1,0.858028,0.032,[ 4 31] ; [ 5 44],[ 3.75 31.25] ; [ 5.25 43.75],0
d2,1,0.897712,0.016526,[18 17] ; [24 24],[17.71084337 17.28915663] ; [24.28915663 23.71084337],0
s3,1,0.927791,0.008213,[12 23] ; [16 32],[11.80722892 23.19277108] ; [16.19277108 31.80722892],0
p10,1,0.954376,0.003273,[ 6 29] ; [ 8 40],[ 5.90361446 29.09638554] ; [ 8.09638554 39.90361446],0
