Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.1e-05,16.846775,[43  5] ; [52 42],[32.11267606 15.88732394] ; [62.88732394 31.11267606],1
s8,1,9.5e-05,15.230838,[30 19] ; [26 68],[19.18881119 29.81118881] ; [36.81118881 57.18881119],1
s2,1,0.000279,13.208315,[36 13] ; [39 55],[25.6993007 23.3006993] ; [49.3006993 44.6993007],1
p10,1,0.000501,12.111982,[39  9] ; [47 45],[29.48571429 18.51428571] ; [56.51428571 35.48571429],1
s7,1,0.000959,10.905556,[31 14] ; [34 54],[21.9924812 23.0075188] ; [43.0075188 44.9924812],1
p9,1,0.004211,8.190346,[42  7] ; [57 34],[34.65 14.35] ; [64.35 26.65],0
d2,1,0.009052,6.812481,[30 19] ; [36 58],[22.61538462 26.38461538] ; [43.38461538 50.61538462],0
b4,1,0.018747,5.525003,[36 13] ; [50 44],[29.46853147 19.53146853] ; [56.53146853 37.46853147],0
a3,1,0.019615,5.445866,[36 12] ; [51 42],[29.61702128 18.38297872] ; [57.38297872 35.61702128],0
a8,1,0.021213,5.309233,[ 7 34] ; [ 4 81],[ 3.57936508 37.42063492] ; [ 7.42063492 77.57936508],0
a4,1,0.027928,4.832517,[26 23] ; [32 62],[19.87412587 29.12587413] ; [38.12587413 55.87412587],0
s3,1,0.030878,4.659746,[33 16] ; [45 48],[26.91549296 22.08450704] ; [51.08450704 41.91549296],0
d1,1,0.045649,3.994505,[30 19] ; [41 53],[24.32867133 24.67132867] ; [46.67132867 47.32867133],0
r2,1,0.047973,3.910926,[48  1] ; [83 11],[44.88811189  4.11188811] ; [86.11188811  7.88811189],0
v1,1,0.05009,3.838445,[29 19] ; [40 53],[23.4893617 24.5106383] ; [45.5106383 47.4893617],0
d5,1,0.050278,3.832174,[42  7] ; [66 27],[37.26760563 11.73239437] ; [70.73239437 22.26760563],0
a5,1,0.061881,3.486249,[34 15] ; [50 44],[28.78321678 20.21678322] ; [55.21678322 38.78321678],0
d4,1,0.066702,3.362366,[42  7] ; [67 26],[37.61267606 11.38732394] ; [71.38732394 21.61267606],0
s4,1,0.075002,3.170016,[14 35] ; [15 79],[ 9.93706294 39.06293706] ; [19.06293706 74.93706294],0
u1,1,0.075008,3.16987,[12 37] ; [12 82],[ 8.22377622 40.77622378] ; [15.77622378 78.22377622],0
p6,1,0.079984,3.065217,[21 28] ; [26 66],[16.33333333 32.66666667] ; [30.66666667 61.33333333],0
n4,1,0.08139,3.036923,[35 12] ; [56 38],[30.33333333 16.66666667] ; [60.66666667 33.33333333],0
p12,1,0.081665,3.031441,[ 3 46] ; [ 1 93],[ 1.37062937 47.62937063] ; [ 2.62937063 91.37062937],0
p4,1,0.092186,2.835775,[32 17] ; [47 46],[27.26056338 21.73943662] ; [51.73943662 41.26056338],0
v3,1,0.151753,2.054544,[19 30] ; [24 65],[15.26811594 33.73188406] ; [27.73188406 61.26811594],0
n1,1,0.164777,1.929828,[8 7] ; [11 23],[5.81632653 9.18367347] ; [13.18367347 20.81632653],0
