Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,178.339153,[  7 104] ; [389 137],[69.00470958 41.99529042] ; [326.99529042 199.00470958],1
d5,1,0.0,127.323367,[51 60] ; [476  50],[91.83202512 19.16797488] ; [435.16797488  90.83202512],1
d3,1,0.0,81.648942,[36 75] ; [401 125],[76.14913658 34.85086342] ; [360.85086342 165.14913658],1
d2,1,0.0,43.904951,[27 84] ; [308 215],[58.65141956 52.34858044] ; [276.34858044 246.65141956],1
a3,1,0.0,37.742268,[55 55] ; [411 113],[80.85173502 29.14826498] ; [385.14826498 138.85173502],1
a5,1,0.0,30.175206,[63 48] ; [426 100],[85.21036107 25.78963893] ; [403.78963893 122.21036107],1
a4,1,0.0,28.186745,[28 81] ; [281 243],[53.20853081 55.79146919] ; [255.79146919 268.20853081],1
u1,1,2e-06,22.415955,[  5 106] ; [130 396],[23.52433281 87.47566719] ; [111.47566719 414.52433281],1
a2,1,6e-06,20.577063,[ 10 101] ; [157 369],[29.10047096 81.89952904] ; [137.89952904 388.10047096],1
r3,1,2.8e-05,17.525194,[96 14] ; [506  17],[104.61295419   5.38704581] ; [497.38704581  25.61295419],1
s2,1,0.001825,9.717428,[42 65] ; [290 230],[56.65709729 50.34290271] ; [275.34290271 244.65709729],0
v2,1,0.002268,9.31922,[47 58] ; [310 199],[61.0504886 43.9495114] ; [295.9495114 213.0504886],0
p9,1,0.003082,8.758273,[84 24] ; [459  60],[93.53110048 14.46889952] ; [449.46889952  69.53110048],0
s8,1,0.003112,8.740334,[39 70] ; [268 254],[53.03169572 55.96830428] ; [253.96830428 268.03169572],0
r1,1,0.004559,8.046481,[79 31] ; [437  87],[89.52681388 20.47318612] ; [426.47318612  97.52681388],0
b2,1,0.00565,7.658671,[19 55] ; [146 193],[29.56416465 44.43583535] ; [135.43583535 203.56416465],0
b3,1,0.00565,7.658671,[19 55] ; [146 193],[29.56416465 44.43583535] ; [135.43583535 203.56416465],0
p10,1,0.005922,7.57391,[83 26] ; [451  70],[92.39047619 16.60952381] ; [441.60952381  79.39047619],0
s7,1,0.007347,7.186149,[43 59] ; [285 218],[55.29917355 46.70082645] ; [272.70082645 230.29917355],0
r2,1,0.007809,7.076758,[100  11] ; [496  20],[105.51196172   5.48803828] ; [490.48803828  25.51196172],0
a7,1,0.008247,6.979095,[68 43] ; [387 138],[79.41037736 31.58962264] ; [375.58962264 149.41037736],0
r4,1,0.013462,6.107356,[95 16] ; [488  38],[101.59026688   9.40973312] ; [481.40973312  44.59026688],0
u2,1,0.014256,6.00616,[21 35] ; [65 48],[28.49704142 27.50295858] ; [57.50295858 55.49704142],0
s6,1,0.016505,5.748264,[63 42] ; [369 145],[73.27948304 31.72051696] ; [358.72051696 155.27948304],0
p4,1,0.017558,5.639727,[60 50] ; [347 175],[70.83860759 39.16139241] ; [336.16139241 185.83860759],0
s5,1,0.021033,5.324048,[27 79] ; [187 315],[37.30921053 68.69078947] ; [176.69078947 325.30921053],0
s1,1,0.021106,5.318047,[ 8 99] ; [ 15 506],[  3.91878981 103.08121019] ; [ 19.08121019 501.91878981],0
a1,1,0.022114,5.23677,[  1 110] ; [ 33 493],[  5.92464678 105.07535322] ; [ 28.07535322 497.92464678],0
a6,1,0.035465,4.422645,[66 45] ; [366 159],[75.39622642 35.60377358] ; [356.60377358 168.39622642],0
p1,1,0.040116,4.212977,[17 93] ; [ 47 477],[11.10410095 98.89589905] ; [ 52.89589905 471.10410095],0
p2,1,0.048678,3.886416,[86 24] ; [449  75],[92.82334385 17.17665615] ; [442.17665615  81.82334385],0
v4,1,0.064352,3.421524,[102   9] ; [503  21],[105.75590551   5.24409449] ; [499.24409449  24.75590551],0
p8,1,0.075069,3.16856,[51 56] ; [295 222],[59.33012821 47.66987179] ; [286.66987179 230.33012821],0
a8,1,0.076551,3.136641,[10 90] ; [ 81 392],[15.88132635 84.11867365] ; [ 75.11867365 397.88132635],0
p6,1,0.098874,2.723611,[37 71] ; [222 296],[44.68370607 63.31629393] ; [214.31629393 303.68370607],0
u3,1,0.103309,2.653696,[24 32] ; [64 50],[28.98823529 27.01176471] ; [59.01176471 54.98823529],0
p11,1,0.146578,2.107503,[86 25] ; [438  88],[91.30926217 19.69073783] ; [432.69073783  93.30926217],0
v3,1,0.152878,2.0433,[41 68] ; [230 280],[47.72051696 61.27948304] ; [223.27948304 286.72051696],0
s4,1,0.156755,2.005259,[21 88] ; [ 72 444],[16.2192 92.7808] ; [ 76.7808 439.2192],0
p7,1,0.160328,1.971132,[64 44] ; [341 173],[70.32154341 37.67845659] ; [334.67845659 179.32154341],0
v1,1,0.189436,1.721997,[55 53] ; [296 216],[61.14193548 46.85806452] ; [289.85806452 222.14193548],0
p3,1,0.381508,0.765837,[55 54] ; [289 236],[59.14195584 49.85804416] ; [284.85804416 240.14195584],0
n5,1,0.488877,0.478997,[101  10] ; [465  59],[98.93858268 12.06141732] ; [467.06141732  56.93858268],0
b4,1,0.501107,0.452591,[62 49] ; [312 214],[65.1711146 45.8288854] ; [308.8288854 217.1711146],0
n2,1,0.53154,0.391446,[19  5] ; [70 26],[17.8  6.2] ; [71.2 24.8],0
n3,1,0.56463,0.33175,[19  4] ; [74 22],[17.97478992  5.02521008] ; [75.02521008 20.97478992],0
s3,1,0.602062,0.271898,[58 47] ; [301 218],[60.40865385 44.59134615] ; [298.59134615 220.40865385],0
n1,1,0.640616,0.217937,[12 12] ; [42 52],[10.98305085 13.01694915] ; [43.01694915 50.98305085],0
b1,1,0.674486,0.1764,[45 66] ; [202 324],[43.04081633 67.95918367] ; [203.95918367 322.04081633],0
p5,1,0.796426,0.066551,[15 95] ; [ 76 445],[15.8637084 94.1362916] ; [ 75.1362916 445.8637084],0
b5,1,0.809797,0.057931,[67 44] ; [311 215],[65.86813187 45.13186813] ; [312.13186813 213.86813187],0
p12,1,0.87401,0.025143,[ 10 100] ; [ 50 472],[10.44303797 99.55696203] ; [ 49.55696203 472.44303797],0
