Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.563179,[55 21] ; [ 61 100],[37.19831224 38.80168776] ; [78.80168776 82.19831224],1
s8,1,0.001252,10.411604,[36 42] ; [ 42 123],[25.03703704 52.96296296] ; [ 52.96296296 112.03703704],0
v1,1,0.006496,7.407196,[47 29] ; [70 93],[37.20502092 38.79497908] ; [79.79497908 83.20502092],0
s7,1,0.00651,7.403337,[41 33] ; [ 58 101],[31.44206009 42.55793991] ; [67.55793991 91.44206009],0
p3,1,0.021483,5.287142,[40 38] ; [ 59 106],[31.77777778 46.22222222] ; [67.22222222 97.77777778],0
p5,1,0.049718,3.850956,[12 66] ; [ 12 152],[ 7.73553719 70.26446281] ; [ 16.26446281 147.73553719],0
b2,1,0.062634,3.466236,[21 19] ; [32 59],[16.18320611 23.81679389] ; [36.81679389 54.18320611],0
b3,1,0.062634,3.466236,[21 19] ; [32 59],[16.18320611 23.81679389] ; [36.81679389 54.18320611],0
s2,1,0.078873,3.087968,[42 36] ; [69 96],[35.62962963 42.37037037] ; [75.37037037 89.62962963],0
r4,1,0.087285,2.923747,[69  9] ; [132  34],[64.25409836 13.74590164] ; [136.74590164  29.25409836],0
n5,1,0.090326,2.868555,[57 20] ; [102  60],[51.22594142 25.77405858] ; [107.77405858  54.22594142],0
r2,1,0.118125,2.442002,[72  6] ; [138  24],[68.25  9.75] ; [141.75  20.25],0
a7,1,0.118773,2.433422,[46 31] ; [116  50],[51.33333333 25.66666667] ; [110.66666667  55.33333333],0
n6,1,0.13932,2.185457,[65 13] ; [122  41],[60.52282158 17.47717842] ; [126.47717842  36.52282158],0
r3,1,0.141937,2.156829,[75  3] ; [149  15],[72.19834711  5.80165289] ; [151.80165289  12.19834711],0
p7,1,0.173279,1.854348,[51 26] ; [90 68],[46.2 30.8] ; [94.8 63.2],0
s6,1,0.194009,1.686906,[51 23] ; [98 65],[46.52320675 27.47679325] ; [102.47679325  60.52320675],0
a3,1,0.199293,1.647546,[53 25] ; [98 67],[48.4691358 29.5308642] ; [102.5308642  62.4691358],0
s4,1,0.240994,1.37477,[ 9 68] ; [ 29 136],[12.09090909 64.90909091] ; [ 25.90909091 139.09090909],0
b4,1,0.26814,1.22624,[50 28] ; [94 72],[46.03278689 31.96721311] ; [97.96721311 68.03278689],0
p9,1,0.345521,0.88984,[57 19] ; [131  32],[59.78242678 16.21757322] ; [128.21757322  34.78242678],0
b5,1,0.348641,0.878396,[43 35] ; [102  64],[46.35245902 31.64754098] ; [98.64754098 67.35245902],0
n3,1,0.407093,0.687274,[16  6] ; [23 14],[14.54237288  7.45762712] ; [24.45762712 12.54237288],0
a5,1,0.416032,0.661496,[48 30] ; [93 73],[45.07377049 32.92622951] ; [95.92622951 70.07377049],0
s3,1,0.416647,0.659752,[37 40] ; [88 76],[39.93775934 37.06224066] ; [85.06224066 78.93775934],0
p11,1,0.428033,0.628154,[56 22] ; [127  39],[58.5 19.5] ; [124.5  41.5],0
a6,1,0.444564,0.584473,[42 36] ; [98 68],[44.75409836 33.24590164] ; [95.24590164 70.75409836],0
n4,1,0.477081,0.505529,[55 22] ; [111  55],[52.60082305 24.39917695] ; [113.39917695  52.60082305],0
p4,1,0.481035,0.496516,[38 38] ; [74 90],[35.46666667 40.53333333] ; [76.53333333 87.46666667],0
u1,1,0.578065,0.309374,[ 4 74] ; [  6 160],[ 3.19672131 74.80327869] ; [  6.80327869 159.19672131],0
r1,1,0.594695,0.283072,[58 20] ; [118  48],[56.26229508 21.73770492] ; [119.73770492  46.26229508],0
a2,1,0.605827,0.266297,[ 5 73] ; [  8 158],[ 4.1557377 73.8442623] ; [  8.8442623 157.1557377],0
p6,1,0.606861,0.264772,[25 52] ; [ 47 114],[23.29411765 53.70588235] ; [ 48.70588235 112.29411765],0
p8,1,0.628836,0.233643,[38 40] ; [74 89],[36.24896266 41.75103734] ; [75.75103734 87.24896266],0
p10,1,0.637645,0.221835,[58 18] ; [119  43],[56.5210084 19.4789916] ; [120.4789916  41.5210084],0
d3,1,0.644546,0.212845,[37 41] ; [84 82],[38.68032787 39.31967213] ; [82.31967213 83.68032787],0
u2,1,0.674591,0.176278,[15  9] ; [38 28],[14.13333333  9.86666667] ; [38.86666667 27.13333333],0
s5,1,0.676916,0.173618,[25 50] ; [ 49 111],[23.61702128 51.38297872] ; [ 50.38297872 109.61702128],0
s1,1,0.698086,0.15047,[ 2 73] ; [  6 159],[ 2.5 72.5] ; [  5.5 159.5],0
n2,1,0.725268,0.123501,[17  5] ; [30  7],[17.52542373  4.47457627] ; [29.47457627  7.52542373],0
v4,1,0.735006,0.114564,[71  7] ; [147  17],[70.26446281  7.73553719] ; [147.73553719  16.26446281],0
d2,1,0.771153,0.084604,[ 9 69] ; [ 17 148],[ 8.34567901 69.65432099] ; [ 17.65432099 147.34567901],0
u3,1,0.772875,0.083299,[13 11] ; [38 28],[13.6 10.4] ; [37.4 28.6],0
n1,1,0.821641,0.050821,[ 8 13] ; [13 24],[ 7.60344828 13.39655172] ; [13.39655172 23.60344828],0
d5,1,0.826483,0.048055,[50 28] ; [104  62],[49.2295082 28.7704918] ; [104.7704918  61.2295082],0
b1,1,0.865942,0.028499,[32 46] ; [70 96],[32.60655738 45.39344262] ; [69.39344262 96.60655738],0
a8,1,0.873001,0.025551,[12 63] ; [ 24 134],[11.58798283 63.41201717] ; [ 24.41201717 133.58798283],0
p12,1,0.932367,0.007203,[ 4 73] ; [  8 154],[ 3.86610879 73.13389121] ; [  8.13389121 153.86610879],0
p1,1,0.941377,0.005408,[ 4 74] ; [  8 155],[ 3.88381743 74.11618257] ; [  8.11618257 154.88381743],0
p2,1,0.943622,0.005001,[62 16] ; [131  33],[62.20661157 15.79338843] ; [130.79338843  33.20661157],0
a1,1,0.949258,0.00405,[ 5 73] ; [ 11 155],[ 5.1147541 72.8852459] ; [ 10.8852459 155.1147541],0
a4,1,0.975751,0.000924,[21 57] ; [ 45 121],[21.09836066 56.90163934] ; [ 44.90163934 121.09836066],0
