Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.651983,[60  6] ; [14 22],[47.88235294 18.11764706] ; [26.11764706  9.88235294],1
a6,1,0.002281,9.308499,[47 19] ; [15 22],[39.72815534 26.27184466] ; [22.27184466 14.72815534],0
a4,1,0.002724,8.983671,[23 43] ; [ 3 34],[16.66019417 49.33980583] ; [ 9.33980583 27.66019417],0
a5,1,0.006074,7.528265,[40 26] ; [12 25],[33.32038835 32.67961165] ; [18.67961165 18.32038835],0
v1,1,0.029167,4.757716,[30 35] ; [ 9 28],[24.85294118 40.14705882] ; [14.14705882 22.85294118],0
a2,1,0.034067,4.491358,[11 55] ; [ 1 36],[ 7.68932039 58.31067961] ; [ 4.31067961 32.68932039],0
v3,1,0.065768,3.385597,[19 45] ; [ 5 32],[15.20792079 48.79207921] ; [ 8.79207921 28.20792079],0
r1,1,0.081628,3.032176,[42 24] ; [17 20],[37.80582524 28.19417476] ; [21.19417476 15.80582524],0
d2,1,0.084104,2.983762,[21 45] ; [ 6 31],[17.30097087 48.69902913] ; [ 9.69902913 27.30097087],0
n1,1,0.117417,2.451444,[11  9] ; [ 5 12],[ 8.64864865 11.35135135] ; [7.35135135 9.64864865],0
s8,1,0.126054,2.34044,[15 50] ; [ 4 33],[12.10784314 52.89215686] ; [ 6.89215686 30.10784314],0
b1,1,0.151042,2.061697,[26 40] ; [20 17],[29.47572816 36.52427184] ; [16.52427184 20.47572816],0
p1,1,0.194414,1.683849,[ 9 57] ; [ 2 35],[ 7.04854369 58.95145631] ; [ 3.95145631 33.04854369],0
a3,1,0.196209,1.670366,[35 30] ; [15 22],[31.8627451 33.1372549] ; [18.1372549 18.8627451],0
p3,1,0.202543,1.623941,[28 38] ; [11 26],[24.99029126 41.00970874] ; [14.00970874 22.99029126],0
p12,1,0.209911,1.572037,[ 6 59] ; [ 1 36],[ 4.46078431 60.53921569] ; [ 2.53921569 34.46078431],0
b5,1,0.223512,1.481682,[42 24] ; [19 18],[39.08737864 26.91262136] ; [21.91262136 15.08737864],0
n6,1,0.223633,1.480906,[47 19] ; [22 15],[44.21359223 21.78640777] ; [24.78640777 12.21359223],0
r3,1,0.24822,1.333294,[48 17] ; [31  6],[50.34313725 14.65686275] ; [28.65686275  8.34313725],0
s5,1,0.278032,1.176687,[12 51] ; [ 4 33],[10.08 52.92] ; [ 5.92 31.08],0
a1,1,0.311036,1.026272,[ 5 61] ; [ 1 36],[ 3.84466019 62.15533981] ; [ 2.15533981 34.84466019],0
u2,1,0.364862,0.821089,[13 18] ; [12 10],[14.62264151 16.37735849] ; [10.37735849 11.62264151],0
p4,1,0.370008,0.803639,[31 35] ; [14 23],[28.83495146 37.16504854] ; [16.16504854 20.83495146],0
n3,1,0.386671,0.749384,[12  7] ; [13  4],[13.19444444  5.80555556] ; [11.80555556  5.19444444],0
u3,1,0.413832,0.667765,[12 19] ; [11 11],[13.45283019 17.54716981] ; [ 9.54716981 12.45283019],0
s4,1,0.427699,0.629063,[ 7 58] ; [ 6 31],[ 8.28431373 56.71568627] ; [ 4.71568627 32.28431373],0
