Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,141.919977,[226  12] ; [16 42],[194.58108108  43.41891892] ; [47.41891892 10.58108108],1
p11,1,0.0,54.499687,[205  34] ; [25 36],[183.23333333  55.76666667] ; [46.76666667 14.23333333],1
p2,1,0.0,46.881017,[205  32] ; [28 33],[185.30536913  51.69463087] ; [47.69463087 13.30536913],1
r3,1,0.0,39.195231,[224  14] ; [39 21],[210.04697987  27.95302013] ; [52.95302013  7.04697987],1
p8,1,0.0,32.916087,[140  94] ; [11 49],[120.18367347 113.81632653] ; [30.81632653 29.18367347],1
p4,1,0.0,30.718511,[156  82] ; [16 45],[136.909699 101.090301] ; [35.090301 25.909699],1
v4,1,0.0,27.753327,[228  11] ; [45 16],[217.49  21.51] ; [55.51  5.49],1
v2,1,0.0,25.770455,[143  89] ; [15 45],[125.53424658 106.46575342] ; [32.46575342 27.53424658],1
r4,1,1e-06,23.633559,[209  30] ; [37 24],[195.98  43.02] ; [50.02 10.98],1
p7,1,1e-06,23.575474,[154  81] ; [19 42],[137.34797297  97.65202703] ; [35.65202703 25.34797297],1
p3,1,8e-06,20.031125,[127 111] ; [13 48],[111.43812709 126.56187291] ; [28.56187291 32.43812709],1
n6,1,8e-06,19.943738,[220  18] ; [43 17],[210.04697987  27.95302013] ; [52.95302013  7.04697987],1
v1,1,1.2e-05,19.178172,[143  92] ; [18 43],[127.82094595 107.17905405] ; [33.17905405 27.82094595],1
d4,1,0.000366,12.698792,[192  47] ; [35 25],[181.44816054  57.55183946] ; [45.55183946 14.44816054],1
s6,1,0.00069,11.514666,[118 118] ; [15 44],[106.4 129.6] ; [26.6 32.4],1
r1,1,0.00089,11.043416,[186  53] ; [34 26],[175.85284281  63.14715719] ; [44.14715719 15.85284281],1
a5,1,0.000913,10.99675,[187  52] ; [35 26],[176.86  62.14] ; [45.14 15.86],1
p6,1,0.001958,9.588744,[ 86 151] ; [ 9 50],[ 76.06418919 160.93581081] ; [18.93581081 40.06418919],0
d5,1,0.003921,8.319839,[197  42] ; [40 21],[188.81  50.19] ; [48.19 12.81],0
s7,1,0.007743,7.091872,[ 72 151] ; [ 8 48],[ 63.94265233 159.05734767] ; [16.05734767 39.94265233],0
s8,1,0.018004,5.595808,[ 68 170] ; [ 8 51],[ 60.9023569 177.0976431] ; [15.0976431 43.9023569],0
s5,1,0.022141,5.234639,[ 60 175] ; [ 7 53],[ 53.37288136 181.62711864] ; [13.62711864 46.37288136],0
p5,1,0.030204,4.697661,[ 31 207] ; [ 2 59],[ 26.26755853 211.73244147] ; [ 6.73244147 54.26755853],0
n3,1,0.037881,4.31037,[36 13] ; [14 14],[31.81818182 17.18181818] ; [18.18181818  9.81818182],0
