Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2.4e-05,17.838162,[50  5] ; [2 5],[46.12903226  8.87096774] ; [5.87096774 1.12903226],1
a3,1,0.001734,9.812228,[49  6] ; [3 4],[46.12903226  8.87096774] ; [5.87096774 1.12903226],0
p9,1,0.001891,9.65233,[54  1] ; [5 2],[52.33870968  2.66129032] ; [6.66129032 0.33870968],0
d1,1,0.00209,9.468754,[40 15] ; [1 6],[36.37096774 18.62903226] ; [4.62903226 2.37096774],0
p10,1,0.036742,4.36233,[51  3] ; [5 2],[49.57377049  4.42622951] ; [6.42622951 0.57377049],0
p1,1,0.04425,4.046979,[12 43] ; [4 3],[14.19354839 40.80645161] ; [1.80645161 5.19354839],0
d3,1,0.04425,4.046979,[43 12] ; [3 4],[40.80645161 14.19354839] ; [5.19354839 1.80645161],0
s1,1,0.125055,2.352842,[ 5 50] ; [2 5],[ 6.20967742 48.79032258] ; [0.79032258 6.20967742],0
p8,1,0.189216,1.723713,[49  6] ; [5 2],[47.90322581  7.09677419] ; [6.09677419 0.90322581],0
d2,1,0.195258,1.677489,[30 25] ; [2 5],[28.38709677 26.61290323] ; [3.61290323 3.38709677],0
u3,1,0.196706,1.666667,[4 2] ; [1 3],[3. 3.] ; [2. 2.],0
p7,1,0.284649,1.14476,[46  7] ; [5 2],[45.05  7.95] ; [5.95 1.05],0
v2,1,0.324593,0.97035,[33 20] ; [3 4],[31.8 21.2] ; [4.2 2.8],0
a7,1,0.331002,0.944972,[41 14] ; [4 3],[39.91935484 15.08064516] ; [5.08064516 1.91935484],0
p11,1,0.341963,0.903057,[47  8] ; [5 2],[46.12903226  8.87096774] ; [5.87096774 1.12903226],0
a8,1,0.34307,0.898924,[ 9 43] ; [2 4],[ 9.86206897 42.13793103] ; [1.13793103 4.86206897],0
n2,1,0.382733,0.761905,[11  3] ; [1 1],[10.5  3.5] ; [1.5 0.5],0
b5,1,0.500997,0.452824,[23 32] ; [2 5],[22.17741935 32.82258065] ; [2.82258065 4.17741935],0
p3,1,0.512265,0.429437,[45 10] ; [5 2],[44.35483871 10.64516129] ; [5.64516129 1.35483871],0
b3,1,0.549441,0.358319,[19 22] ; [2 4],[18.31914894 22.68085106] ; [2.68085106 3.31914894],0
b2,1,0.549441,0.358319,[19 22] ; [2 4],[18.31914894 22.68085106] ; [2.68085106 3.31914894],0
v1,1,0.562293,0.33575,[41 13] ; [6 1],[41.60655738 12.39344262] ; [5.39344262 1.60655738],0
s3,1,0.577327,0.310575,[42 13] ; [6 1],[42.58064516 12.41935484] ; [5.41935484 1.58064516],0
u2,1,0.598161,0.277778,[4 2] ; [2 2],[3.6 2.4] ; [2.4 1.6],0
p2,1,0.661495,0.191713,[50  5] ; [6 1],[49.67741935  5.32258065] ; [6.32258065 0.67741935],0
p4,1,0.661495,0.191713,[50  5] ; [6 1],[49.67741935  5.32258065] ; [6.32258065 0.67741935],0
a5,1,0.687324,0.161998,[43 12] ; [5 2],[42.58064516 12.41935484] ; [5.41935484 1.58064516],0
n1,1,0.69627,0.152381,[9 5] ; [1 1],[8.75 5.25] ; [1.25 0.75],0
s5,1,0.699711,0.148772,[32 18] ; [5 2],[32.45614035 17.54385965] ; [4.54385965 2.45614035],0
p6,1,0.776132,0.080863,[35 18] ; [5 2],[35.33333333 17.66666667] ; [4.66666667 2.33333333],0
r1,1,0.790335,0.07069,[49  6] ; [6 1],[48.79032258  6.20967742] ; [6.20967742 0.79032258],0
v3,1,0.793379,0.068605,[33 20] ; [4 3],[32.68333333 20.31666667] ; [4.31666667 2.68333333],0
a2,1,0.799386,0.064588,[10 45] ; [1 6],[ 9.75806452 45.24193548] ; [1.24193548 5.75806452],0
s6,1,0.804177,0.061476,[48  6] ; [6 1],[47.80327869  6.19672131] ; [6.19672131 0.80327869],0
a4,1,0.896518,0.016916,[25 30] ; [3 4],[24.83870968 30.16129032] ; [3.16129032 3.83870968],0
b4,1,0.896518,0.016916,[30 25] ; [4 3],[30.16129032 24.83870968] ; [3.83870968 3.16129032],0
s2,1,0.89945,0.015966,[38 17] ; [5 2],[38.14516129 16.85483871] ; [4.85483871 2.14516129],0
a1,1,0.907776,0.01342,[ 7 48] ; [1 6],[ 7.09677419 47.90322581] ; [0.90322581 6.09677419],0
p12,1,0.942169,0.005263,[15 40] ; [2 5],[15.08064516 39.91935484] ; [1.91935484 5.08064516],0
a6,1,0.958156,0.002753,[32 23] ; [4 3],[31.93548387 23.06451613] ; [4.06451613 2.93548387],0
b1,1,0.968761,0.001534,[24 31] ; [3 4],[23.9516129 31.0483871] ; [3.0483871 3.9516129],0
