Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.017936,5.602404,[16  6] ; [25 33],[11.275 10.725] ; [29.725 28.275],0
s8,1,0.056227,3.645307,[ 8 14] ; [10 50],[ 4.82926829 17.17073171] ; [13.17073171 46.82926829],0
v2,1,0.070295,3.276108,[10 12] ; [14 43],[ 6.6835443 15.3164557] ; [17.3164557 39.6835443],0
r1,1,0.087568,2.918526,[16  6] ; [31 29],[12.6097561  9.3902439] ; [34.3902439 25.6097561],0
r4,1,0.110985,2.540143,[18  4] ; [38 22],[15.02439024  6.97560976] ; [40.97560976 19.02439024],0
n4,1,0.110985,2.540143,[18  4] ; [38 22],[15.02439024  6.97560976] ; [40.97560976 19.02439024],0
p6,1,0.126044,2.340566,[ 4 18] ; [ 4 55],[ 2.17283951 19.82716049] ; [ 5.82716049 53.17283951],0
b4,1,0.142657,2.149058,[15  7] ; [30 30],[12.07317073  9.92682927] ; [32.92682927 27.07317073],0
a6,1,0.181811,1.782759,[15  7] ; [31 29],[12.34146341  9.65853659] ; [33.65853659 26.34146341],0
b3,1,0.218693,1.512926,[6 7] ; [ 9 24],[4.23913043 8.76086957] ; [10.76086957 22.23913043],0
b2,1,0.218693,1.512926,[6 7] ; [ 9 24],[4.23913043 8.76086957] ; [10.76086957 22.23913043],0
s6,1,0.228744,1.448657,[13  9] ; [26 33],[10.59259259 11.40740741] ; [28.40740741 30.59259259],0
a5,1,0.258038,1.279253,[13  9] ; [27 33],[10.73170732 11.26829268] ; [29.26829268 30.73170732],0
a8,1,0.276071,1.186329,[ 1 18] ; [ 8 46],[ 2.34246575 16.65753425] ; [ 6.65753425 47.34246575],0
p9,1,0.289673,1.121138,[17  5] ; [37 20],[15.03797468  6.96202532] ; [38.96202532 18.03797468],0
s4,1,0.309975,1.030783,[ 2 20] ; [11 49],[ 3.48780488 18.51219512] ; [ 9.51219512 50.48780488],0
p1,1,0.315776,1.006364,[ 4 18] ; [ 6 54],[ 2.68292683 19.31707317] ; [ 7.31707317 52.68292683],0
s1,1,0.316945,1.001512,[ 3 19] ; [ 4 56],[ 1.87804878 20.12195122] ; [ 5.12195122 54.87804878],0
v1,1,0.324253,0.971713,[11 10] ; [24 36],[ 9.07407407 11.92592593] ; [25.92592593 34.07407407],0
p2,1,0.342049,0.902737,[11 11] ; [37 23],[12.87804878  9.12195122] ; [35.12195122 24.87804878],0
s5,1,0.343949,0.895656,[ 4 18] ; [ 6 52],[ 2.75 19.25] ; [ 7.25 50.75],0
n5,1,0.350744,0.870764,[18  4] ; [43 17],[16.36585366  5.63414634] ; [44.63414634 15.36585366],0
p10,1,0.357574,0.846395,[15  7] ; [33 25],[13.2  8.8] ; [34.8 23.2],0
p3,1,0.36372,0.825008,[ 7 15] ; [13 46],[ 5.43209877 16.56790123] ; [14.56790123 44.43209877],0
p8,1,0.396315,0.719478,[ 6 16] ; [11 48],[ 4.61728395 17.38271605] ; [12.38271605 46.61728395],0
v4,1,0.398482,0.712902,[19  3] ; [46 13],[17.65432099  4.34567901] ; [47.34567901 11.65432099],0
s3,1,0.4538,0.561143,[ 9 11] ; [21 38],[ 7.59493671 12.40506329] ; [22.40506329 36.59493671],0
p12,1,0.454001,0.560644,[ 1 21] ; [ 1 59],[ 0.53658537 21.46341463] ; [ 1.46341463 58.53658537],0
d5,1,0.469803,0.522439,[10 12] ; [22 38],[ 8.58536585 13.41463415] ; [23.41463415 36.58536585],0
s7,1,0.485725,0.485982,[ 7 14] ; [15 44],[ 5.775 15.225] ; [16.225 42.775],0
p5,1,0.492754,0.470508,[ 2 20] ; [ 3 57],[ 1.34146341 20.65853659] ; [ 3.65853659 56.34146341],0
a1,1,0.492754,0.470508,[ 2 20] ; [ 3 57],[ 1.34146341 20.65853659] ; [ 3.65853659 56.34146341],0
u3,1,0.572333,0.318795,[2 4] ; [16 19],[2.63414634 3.36585366] ; [15.36585366 19.63414634],0
u2,1,0.580874,0.304823,[2 4] ; [ 8 27],[1.46341463 4.53658537] ; [ 8.53658537 26.46341463],0
b1,1,0.58734,0.294518,[ 7 15] ; [23 37],[ 8.04878049 13.95121951] ; [21.95121951 38.04878049],0
s2,1,0.588935,0.29201,[ 7 14] ; [16 43],[ 6.0375 14.9625] ; [16.9625 42.0375],0
b5,1,0.66438,0.188246,[14  8] ; [35 25],[13.14634146  8.85365854] ; [35.85365854 24.14634146],0
a2,1,0.708778,0.1395,[ 2 20] ; [ 4 56],[ 1.6097561 20.3902439] ; [ 4.3902439 55.6097561],0
d2,1,0.712832,0.135464,[ 6 16] ; [14 46],[ 5.36585366 16.63414634] ; [14.63414634 45.36585366],0
d3,1,0.730167,0.118958,[ 4 18] ; [13 47],[ 4.56097561 17.43902439] ; [12.43902439 47.56097561],0
a4,1,0.749519,0.101935,[ 4 18] ; [ 9 50],[ 3.5308642 18.4691358] ; [ 9.4691358 49.5308642],0
n1,1,0.765087,0.089286,[1 1] ; [11 17],[0.8 1.2] ; [11.2 16.8],0
r3,1,0.865875,0.028527,[16  6] ; [44 15],[16.2962963  5.7037037] ; [43.7037037 15.2962963],0
p11,1,0.870536,0.026562,[14  8] ; [37 23],[13.68292683  8.31707317] ; [37.31707317 22.68292683],0
n6,1,0.924534,0.008973,[16  6] ; [43 17],[15.82926829  6.17073171] ; [43.17073171 16.82926829],0
p4,1,0.989577,0.000171,[ 7 15] ; [19 41],[ 6.97560976 15.02439024] ; [19.02439024 40.97560976],0
a7,1,1.0,0.0,[11 11] ; [30 30],[11. 11.] ; [30. 30.],0
