Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.6e-05,16.605225,[ 2 38] ; [7 6],[ 6.79245283 33.20754717] ; [ 2.20754717 10.79245283],1
s7,1,0.000221,13.642105,[ 3 33] ; [7 5],[ 7.5 28.5] ; [2.5 9.5],1
r1,1,0.003865,8.346332,[10 30] ; [9 4],[14.33962264 25.66037736] ; [4.66037736 8.33962264],0
p9,1,0.006719,7.346671,[18 20] ; [11  1],[22.04 15.96] ; [6.96 5.04],0
u3,1,0.00982,6.667347,[ 2 18] ; [4 3],[ 4.44444444 15.55555556] ; [1.55555556 5.44444444],0
s5,1,0.010849,6.489825,[ 2 38] ; [4 9],[ 4.52830189 35.47169811] ; [ 1.47169811 11.52830189],0
s6,1,0.011993,6.311951,[12 28] ; [9 4],[15.8490566 24.1509434] ; [5.1509434 7.8490566],0
p4,1,0.018598,5.538893,[ 8 32] ; [7 6],[11.32075472 28.67924528] ; [3.67924528 9.32075472],0
b1,1,0.019546,5.451988,[27 13] ; [4 9],[23.39622642 16.60377358] ; [7.60377358 5.39622642],0
r4,1,0.019718,5.436726,[ 6 34] ; [6 7],[ 9.05660377 30.94339623] ; [ 2.94339623 10.05660377],0
p2,1,0.027773,4.842093,[20 20] ; [11  2],[23.39622642 16.60377358] ; [7.60377358 5.39622642],0
p11,1,0.039716,4.229959,[21 19] ; [11  2],[24.1509434 15.8490566] ; [7.8490566 5.1509434],0
a7,1,0.04517,4.012275,[18 22] ; [10  3],[21.13207547 18.86792453] ; [6.86792453 6.13207547],0
p8,1,0.071069,3.258145,[ 8 31] ; [6 7],[10.5 28.5] ; [3.5 9.5],0
n6,1,0.076187,3.144428,[19 20] ; [10  3],[21.75 17.25] ; [7.25 5.75],0
r3,1,0.092389,2.832244,[23 16] ; [11  2],[25.5 13.5] ; [8.5 4.5],0
d3,1,0.093959,2.805208,[17 23] ; [9 4],[19.62264151 20.37735849] ; [6.37735849 6.62264151],0
u2,1,0.097899,2.739448,[10 10] ; [6 1],[11.85185185  8.14814815] ; [4.14814815 2.85185185],0
p6,1,0.13268,2.26087,[ 3 36] ; [ 3 10],[ 4.5 34.5] ; [ 1.5 11.5],0
b4,1,0.137787,2.202504,[25 15] ; [11  2],[27.16981132 12.83018868] ; [8.83018868 4.16981132],0
n4,1,0.172715,1.859223,[19 21] ; [9 4],[21.13207547 18.86792453] ; [6.86792453 6.13207547],0
d5,1,0.232243,1.427069,[17 23] ; [8 5],[18.86792453 21.13207547] ; [6.13207547 6.86792453],0
d4,1,0.269005,1.221815,[24 16] ; [10  3],[25.66037736 14.33962264] ; [8.33962264 4.66037736],0
v1,1,0.34925,0.876181,[10 30] ; [5 8],[11.32075472 28.67924528] ; [3.67924528 9.32075472],0
u1,1,0.393386,0.72845,[ 1 39] ; [ 1 12],[ 1.50943396 38.49056604] ; [ 0.49056604 12.50943396],0
v4,1,0.469066,0.524176,[20 20] ; [8 5],[21.13207547 18.86792453] ; [6.86792453 6.13207547],0
a5,1,0.475242,0.509762,[17 23] ; [7 6],[18.11320755 21.88679245] ; [5.88679245 7.11320755],0
d1,1,0.547168,0.362415,[ 9 31] ; [4 9],[ 9.81132075 30.18867925] ; [3.18867925 9.81132075],0
n5,1,0.579444,0.307134,[25 15] ; [7 6],[24.1509434 15.8490566] ; [7.8490566 5.1509434],0
a8,1,0.614295,0.253968,[ 4 32] ; [ 2 10],[ 4.5 31.5] ; [ 1.5 10.5],0
b2,1,0.63893,0.220145,[ 6 19] ; [2 4],[ 6.4516129 18.5483871] ; [1.5483871 4.4516129],0
b3,1,0.63893,0.220145,[ 6 19] ; [2 4],[ 6.4516129 18.5483871] ; [1.5483871 4.4516129],0
n2,1,0.658387,0.195489,[ 9 10] ; [4 3],[9.5 9.5] ; [3.5 3.5],0
n1,1,0.686494,0.162907,[ 4 15] ; [2 5],[ 4.38461538 14.61538462] ; [1.61538462 5.38461538],0
p1,1,0.715158,0.133179,[ 2 38] ; [ 1 12],[ 2.26415094 37.73584906] ; [ 0.73584906 12.26415094],0
p12,1,0.715158,0.133179,[ 2 38] ; [ 1 12],[ 2.26415094 37.73584906] ; [ 0.73584906 12.26415094],0
p5,1,0.731308,0.117914,[ 2 37] ; [ 1 12],[ 2.25 36.75] ; [ 0.75 12.25],0
s3,1,0.741032,0.109222,[ 8 31] ; [3 9],[ 8.41176471 30.58823529] ; [2.58823529 9.41176471],0
a3,1,0.748774,0.102564,[20 19] ; [6 7],[19.5 19.5] ; [6.5 6.5],0
s2,1,0.797205,0.066032,[ 8 32] ; [ 2 10],[ 7.69230769 32.30769231] ; [2.30769231 9.69230769],0
b5,1,0.797393,0.065906,[23 17] ; [8 5],[23.39622642 16.60377358] ; [7.60377358 5.39622642],0
p7,1,0.821127,0.051119,[14 26] ; [5 8],[14.33962264 25.66037736] ; [4.66037736 8.33962264],0
v2,1,0.867946,0.027645,[14 25] ; [5 8],[14.25 24.75] ; [4.75 8.25],0
a4,1,0.888658,0.019601,[10 30] ; [ 3 10],[ 9.81132075 30.18867925] ; [3.18867925 9.81132075],0
a6,1,0.921516,0.009707,[16 24] ; [5 8],[15.8490566 24.1509434] ; [5.1509434 7.8490566],0
d2,1,0.958142,0.002755,[12 28] ; [4 9],[12.0754717 27.9245283] ; [3.9245283 9.0754717],0
n3,1,0.972542,0.001185,[11  8] ; [4 3],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
a2,1,0.981807,0.00052,[ 3 37] ; [ 1 12],[ 3.01886792 36.98113208] ; [ 0.98113208 12.01886792],0
s1,1,0.981807,0.00052,[ 3 37] ; [ 1 12],[ 3.01886792 36.98113208] ; [ 0.98113208 12.01886792],0
