Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5e-05,16.440761,[38 29] ; [ 75 175],[23.88328076 43.11671924] ; [ 89.11671924 160.88328076],1
s2,1,0.00013,14.638756,[32 35] ; [ 60 191],[19.3836478 47.6163522] ; [ 72.6163522 178.3836478],1
p6,1,0.000173,14.108348,[30 38] ; [ 53 194],[17.91746032 50.08253968] ; [ 65.08253968 181.91746032],1
d1,1,0.00041,12.486679,[56 12] ; [151 104],[43.57894737 24.42105263] ; [163.42105263  91.57894737],1
s6,1,0.002782,8.945466,[45 22] ; [116 133],[34.13607595 32.86392405] ; [126.86392405 122.13607595],0
p3,1,0.003224,8.676124,[40 28] ; [ 98 154],[29.325 38.675] ; [108.675 143.325],0
d2,1,0.01093,6.476696,[45 23] ; [123 129],[35.7 32.3] ; [132.3 119.7],0
r4,1,0.015028,5.913171,[65  3] ; [215  40],[58.94736842  9.05263158] ; [221.05263158  33.94736842],0
p7,1,0.016151,5.786364,[46 20] ; [133 117],[37.38607595 28.61392405] ; [141.61392405 108.38607595],0
d5,1,0.022513,5.205715,[64  4] ; [212  43],[58.10526316  9.89473684] ; [217.89473684  37.10526316],0
p11,1,0.024305,5.072756,[59  9] ; [188  67],[52. 16.] ; [195.  60.],0
p10,1,0.027195,4.878386,[59  9] ; [185  65],[52.17610063 15.82389937] ; [191.82389937  58.17610063],0
s5,1,0.029774,4.722267,[23 42] ; [ 55 192],[16.25 48.75] ; [ 61.75 185.25],0
p9,1,0.030142,4.701159,[60  8] ; [191  60],[53.50470219 14.49529781] ; [197.49529781  53.50470219],0
r1,1,0.034992,4.445577,[60  8] ; [192  59],[53.71786834 14.28213166] ; [198.28213166  52.71786834],0
p2,1,0.034992,4.445577,[60  8] ; [192  59],[53.71786834 14.28213166] ; [198.28213166  52.71786834],0
p8,1,0.051433,3.794128,[41 26] ; [119 130],[33.92405063 33.07594937] ; [126.07594937 122.92405063],0
r3,1,0.077889,3.108408,[66  2] ; [228  24],[62.475  5.525] ; [231.525  20.475],0
v3,1,0.087075,2.927634,[27 37] ; [ 75 168],[21.26384365 42.73615635] ; [ 80.73615635 162.26384365],0
a6,1,0.088273,2.905592,[46 22] ; [198  57],[51.36842105 16.63157895] ; [192.63157895  62.36842105],0
v1,1,0.129389,2.29982,[39 27] ; [121 128],[33.52380952 32.47619048] ; [126.47619048 122.52380952],0
d4,1,0.131686,2.27252,[62  6] ; [214  41],[58.10526316  9.89473684] ; [217.89473684  37.10526316],0
p4,1,0.135247,2.231225,[42 26] ; [130 122],[36.55 31.45] ; [135.45 116.55],0
b4,1,0.167438,1.905735,[46 22] ; [149 106],[41.05263158 26.94736842] ; [153.94736842 101.05263158],0
b2,1,0.18129,1.787014,[21 25] ; [46 87],[17.21787709 28.78212291] ; [49.78212291 83.21787709],0
b3,1,0.18129,1.787014,[21 25] ; [46 87],[17.21787709 28.78212291] ; [49.78212291 83.21787709],0
n3,1,0.187986,1.733333,[7 6] ; [47 18],[9. 4.] ; [45. 20.],0
v4,1,0.206623,1.594933,[65  3] ; [229  23],[62.475  5.525] ; [231.525  20.475],0
p5,1,0.275921,1.187069,[ 3 65] ; [ 21 231],[ 5.1 62.9] ; [ 18.9 233.1],0
a1,1,0.334507,0.931373,[ 2 66] ; [ 15 240],[ 3.57894737 64.42105263] ; [ 13.42105263 241.57894737],0
n4,1,0.360772,0.835205,[53 15] ; [184  70],[50.04968944 17.95031056] ; [186.95031056  67.04968944],0
r2,1,0.364302,0.82301,[64  3] ; [229  19],[62.32063492  4.67936508] ; [230.67936508  17.32063492],0
p1,1,0.401814,0.702892,[ 4 64] ; [ 23 231],[ 5.70186335 62.29813665] ; [ 21.29813665 232.70186335],0
b1,1,0.416583,0.659936,[29 39] ; [ 95 160],[26.10526316 41.89473684] ; [ 97.89473684 157.10526316],0
