Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,23.660086,[13 21] ; [42  5],[23.08641975 10.91358025] ; [31.91358025 15.08641975],1
a4,1,0.000283,13.180551,[ 5 29] ; [26 22],[12.85365854 21.14634146] ; [18.14634146 29.85365854],1
d2,1,0.000321,12.943964,[ 6 28] ; [27 20],[13.85185185 20.14814815] ; [19.14814815 27.85185185],1
d5,1,0.001453,10.137672,[16 18] ; [38  9],[22.66666667 11.33333333] ; [31.33333333 15.66666667],0
a7,1,0.002264,9.322527,[15 19] ; [37 11],[21.56097561 12.43902439] ; [30.43902439 17.56097561],0
v3,1,0.003387,8.586368,[ 3 31] ; [16 26],[ 8.5 25.5] ; [10.5 31.5],0
s4,1,0.003505,8.524039,[ 9 25] ; [ 2 46],[ 4.56097561 29.43902439] ; [ 6.43902439 41.56097561],0
d1,1,0.003972,8.296596,[ 7 27] ; [25 23],[13.26829268 20.73170732] ; [18.73170732 29.26829268],0
s8,1,0.023599,5.123889,[ 5 29] ; [18 30],[ 9.53658537 24.46341463] ; [13.46341463 34.53658537],0
a6,1,0.028074,4.823541,[19 15] ; [37 10],[23.50617284 10.49382716] ; [32.49382716 14.50617284],0
a8,1,0.046203,3.974194,[ 3 30] ; [12 32],[ 6.42857143 26.57142857] ; [ 8.57142857 35.42857143],0
r4,1,0.055273,3.673835,[17 17] ; [34 14],[21.14634146 12.85365854] ; [29.85365854 18.14634146],0
p6,1,0.095946,2.771676,[11 21] ; [ 8 37],[ 7.8961039 24.1038961] ; [11.1038961 33.8961039],0
n3,1,0.105552,2.619591,[7 8] ; [12  4],[9.19354839 5.80645161] ; [9.80645161 6.19354839],0
p4,1,0.113966,2.498341,[10 24] ; [22 25],[13.43209877 20.56790123] ; [18.56790123 28.43209877],0
r3,1,0.134775,2.236629,[22 11] ; [39  9],[24.85185185  8.14814815] ; [36.14814815 11.85185185],0
u2,1,0.173566,1.851867,[11 10] ; [5 1],[12.44444444  8.55555556] ; [3.55555556 2.44444444],0
r1,1,0.209383,1.575686,[18 16] ; [32 16],[20.73170732 13.26829268] ; [29.26829268 18.73170732],0
p3,1,0.211125,1.563694,[ 6 28] ; [14 33],[ 8.39506173 25.60493827] ; [11.60493827 35.39506173],0
d4,1,0.218159,1.516441,[18 15] ; [32 15],[20.625 12.375] ; [29.375 17.625],0
n4,1,0.219012,1.510833,[22 12] ; [37 11],[24.46341463  9.53658537] ; [34.53658537 13.46341463],0
n1,1,0.273322,1.2,[6 9] ; [9 6],[7.5 7.5] ; [7.5 7.5],0
v2,1,0.286443,1.136265,[12 19] ; [23 22],[14.27631579 16.72368421] ; [20.72368421 24.27631579],0
v1,1,0.3102,1.029823,[12 21] ; [22 24],[14.20253165 18.79746835] ; [19.79746835 26.20253165],0
r2,1,0.313409,1.016255,[26  7] ; [41  6],[27.6375  5.3625] ; [39.3625  7.6375],0
p8,1,0.330879,0.945455,[ 9 24] ; [17 28],[11. 22.] ; [15. 30.],0
v4,1,0.36131,0.833333,[24  8] ; [40  8],[25.6  6.4] ; [38.4  9.6],0
p2,1,0.367627,0.811669,[24 10] ; [28 18],[22.1 11.9] ; [29.9 16.1],0
a1,1,0.469106,0.52408,[ 2 32] ; [ 5 43],[ 2.90243902 31.09756098] ; [ 4.09756098 43.90243902],0
p1,1,0.493172,0.469598,[ 1 33] ; [ 3 45],[ 1.65853659 32.34146341] ; [ 2.34146341 45.65853659],0
b1,1,0.50015,0.454619,[18 16] ; [29 19],[19.48780488 14.51219512] ; [27.51219512 20.48780488],0
b5,1,0.50015,0.454619,[18 16] ; [29 19],[19.48780488 14.51219512] ; [27.51219512 20.48780488],0
p9,1,0.524044,0.405927,[21 11] ; [34 13],[22.27848101  9.72151899] ; [32.72151899 14.27848101],0
p7,1,0.546028,0.364481,[19 12] ; [25 21],[17.71428571 13.28571429] ; [26.28571429 19.71428571],0
s3,1,0.602484,0.271266,[19 15] ; [23 23],[17.85 16.15] ; [24.15 21.85],0
b3,1,0.620725,0.24485,[ 6 13] ; [ 7 21],[ 5.25531915 13.74468085] ; [ 7.74468085 20.25531915],0
b2,1,0.620725,0.24485,[ 6 13] ; [ 7 21],[ 5.25531915 13.74468085] ; [ 7.74468085 20.25531915],0
u1,1,0.674574,0.176299,[ 2 32] ; [ 4 44],[ 2.48780488 31.51219512] ; [ 3.51219512 44.48780488],0
d3,1,0.736919,0.112853,[17 16] ; [26 21],[17.7375 15.2625] ; [25.2625 21.7375],0
u3,1,0.756158,0.096429,[ 9 12] ; [3 3],[ 9.33333333 11.66666667] ; [2.66666667 3.33333333],0
b4,1,0.792934,0.068908,[18 16] ; [24 24],[17.41463415 16.58536585] ; [24.58536585 23.41463415],0
p11,1,0.82504,0.048871,[19 15] ; [28 20],[19.48780488 14.51219512] ; [27.51219512 20.48780488],0
n2,1,0.837944,0.04183,[11  4] ; [13  4],[11.25  3.75] ; [12.75  4.25],0
s2,1,0.849354,0.036078,[13 21] ; [17 30],[12.59259259 21.40740741] ; [17.40740741 29.59259259],0
s6,1,0.852492,0.034573,[17 17] ; [23 25],[16.58536585 17.41463415] ; [23.41463415 24.58536585],0
p5,1,0.907025,0.01364,[ 2 32] ; [ 3 43],[ 2.125 31.875] ; [ 2.875 43.125],0
s7,1,0.938837,0.005888,[10 22] ; [14 32],[ 9.84615385 22.15384615] ; [14.15384615 31.84615385],0
p10,1,0.952157,0.0036,[19 13] ; [27 19],[18.87179487 13.12820513] ; [27.12820513 18.87179487],0
s5,1,0.976257,0.000886,[ 6 28] ; [ 8 38],[ 5.95 28.05] ; [ 8.05 37.95],0
