Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,89.710012,[395  87] ; [76 96],[347.12844037 134.87155963] ; [123.87155963  48.12844037],1
a6,1,0.0,84.7854,[398  83] ; [80 92],[352.0949464 128.9050536] ; [125.9050536  46.0949464],1
a2,1,0.0,36.703276,[186 298] ; [ 23 149],[154.20121951 329.79878049] ; [ 54.79878049 117.20121951],1
u1,1,0.0,30.501979,[136 348] ; [ 13 159],[109.93292683 374.06707317] ; [ 39.06707317 132.93292683],1
b5,1,0.0,27.142136,[318 166] ; [74 98],[289.2195122 194.7804878] ; [102.7804878  69.2195122],1
r1,1,0.002523,9.12415,[420  60] ; [134  38],[407.85276074  72.14723926] ; [146.14723926  25.85276074],0
b3,1,0.003735,8.408578,[107 183] ; [61 55],[120. 170.] ; [48. 68.],0
b2,1,0.003735,8.408578,[107 183] ; [61 55],[120. 170.] ; [48. 68.],0
r4,1,0.003772,8.390251,[461  23] ; [153  19],[453.01219512  30.98780488] ; [160.98780488  11.01219512],0
u3,1,0.004974,7.888757,[67 33] ; [13 20],[60.15037594 39.84962406] ; [19.84962406 13.15037594],0
b1,1,0.005002,7.878743,[172 312] ; [82 90],[187.40243902 296.59756098] ; [ 66.59756098 105.40243902],0
p4,1,0.006991,7.275291,[315 164] ; [92 78],[300.38983051 178.61016949] ; [106.61016949  63.38983051],0
d1,1,0.012654,6.216801,[340 144] ; [103  69],[326.84756098 157.15243902] ; [116.15243902  55.84756098],0
v2,1,0.020936,5.332087,[295 168] ; [90 78],[282.49603803 180.50396197] ; [102.50396197  65.49603803],0
v4,1,0.040283,4.205929,[466  16] ; [159  12],[461.3323124  20.6676876] ; [163.6676876   7.3323124],0
s8,1,0.046122,3.977141,[218 261] ; [93 78],[229.18307692 249.81692308] ; [81.81692308 89.18307692],0
s7,1,0.047339,3.933298,[230 227] ; [99 68],[240.95032051 216.04967949] ; [88.04967949 78.95032051],0
p2,1,0.061358,3.500289,[411  70] ; [134  35],[403.3  77.7] ; [141.7  27.3],0
r2,1,0.080066,3.063558,[462  16] ; [159  11],[458.08333333  19.91666667] ; [162.91666667   7.08333333],0
p10,1,0.105567,2.619364,[404  73] ; [134  35],[397.25386997  79.74613003] ; [140.74613003  28.25386997],0
p9,1,0.135345,2.2301,[417  59] ; [142  29],[411.25811437  64.74188563] ; [147.74188563  23.25811437],0
n1,1,0.165805,1.920472,[31 67] ; [20 26],[34.70833333 63.29166667] ; [16.29166667 29.70833333],0
s5,1,0.209631,1.573975,[163 301] ; [67 98],[169.66613672 294.33386328] ; [ 60.33386328 104.66613672],0
p12,1,0.229234,1.445605,[ 46 433] ; [ 11 157],[ 42.19938176 436.80061824] ; [ 14.80061824 153.19938176],0
p3,1,0.245916,1.346359,[247 232] ; [97 74],[253.50153846 225.49846154] ; [90.49846154 80.50153846],0
a1,1,0.264794,1.243519,[ 23 461] ; [ 12 160],[ 25.82317073 458.17682927] ; [  9.17682927 162.82317073],0
b4,1,0.288793,1.12524,[287 197] ; [94 78],[281.10365854 202.89634146] ; [99.89634146 72.10365854],0
s1,1,0.298278,1.081878,[ 12 463] ; [  7 164],[ 13.97058824 461.02941176] ; [  5.02941176 165.97058824],0
a8,1,0.318905,0.993432,[ 66 362] ; [ 20 144],[ 62.17567568 365.82432432] ; [ 23.82432432 140.17567568],0
p11,1,0.334353,0.931963,[383 101] ; [142  30],[387.34756098  96.65243902] ; [137.65243902  34.34756098],0
d5,1,0.337938,0.918239,[420  62] ; [144  27],[416.30627871  65.69372129] ; [147.69372129  23.30627871],0
p8,1,0.342055,0.902713,[262 213] ; [85 82],[256.73676012 218.26323988] ; [90.26323988 76.73676012],0
n3,1,0.366707,0.814794,[73 27] ; [36  9],[75.17241379 24.82758621] ; [33.82758621 11.17241379],0
u2,1,0.379445,0.772499,[60 42] ; [16 16],[57.85074627 44.14925373] ; [18.14925373 13.85074627],0
v1,1,0.387331,0.747303,[272 199] ; [90 77],[267.24451411 203.75548589] ; [94.75548589 72.24451411],0
d4,1,0.399374,0.710209,[421  61] ; [145  26],[417.78254211  64.21745789] ; [148.21745789  22.78254211],0
n6,1,0.434171,0.611641,[411  70] ; [141  29],[407.85253456  73.14746544] ; [144.14746544  25.85253456],0
s6,1,0.442036,0.590992,[333 141] ; [112  55],[329.06396256 144.93603744] ; [115.93603744  51.06396256],0
n2,1,0.475471,0.509234,[74 27] ; [37 10],[75.75 25.25] ; [35.25 11.75],0
v3,1,0.515589,0.422707,[189 275] ; [72 93],[192.53418124 271.46581876] ; [68.46581876 96.53418124],0
n5,1,0.566548,0.328493,[360 120] ; [132  39],[362.76497696 117.23502304] ; [129.23502304  41.76497696],0
p6,1,0.581354,0.304051,[181 296] ; [ 59 107],[178.04043546 298.95956454] ; [ 61.95956454 104.04043546],0
p5,1,0.612479,0.256581,[ 52 427] ; [ 21 150],[ 53.79538462 425.20461538] ; [ 19.20461538 151.79538462],0
a3,1,0.630113,0.231908,[382 101] ; [139  33],[384.18778626  98.81221374] ; [136.81221374  35.18778626],0
