Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,60.14954,[ 40 121] ; [151  83],[77.85063291 83.14936709] ; [113.14936709 120.85063291],1
p6,1,0.0,38.549531,[ 27 135] ; [110 125],[ 55.90428212 106.09571788] ; [ 81.09571788 153.90428212],1
p4,1,0.0,25.874102,[68 95] ; [159  77],[92.73433584 70.26566416] ; [134.26566416 101.73433584],1
p3,1,4e-06,21.196639,[ 49 112] ; [127 109],[71.37531486 89.62468514] ; [104.62468514 131.37531486],1
p2,1,6e-06,20.479936,[117  46] ; [211  25],[133.99498747  29.00501253] ; [194.00501253  41.99498747],1
s6,1,3.3e-05,17.217391,[84 78] ; [169  65],[103.5  58.5] ; [149.5  84.5],1
p10,1,0.000508,12.084316,[110  52] ; [194  40],[124.36363636  37.63636364] ; [179.63636364  54.36363636],1
s8,1,0.00126,10.399728,[ 43 120] ; [ 99 136],[ 58.15577889 104.84422111] ; [ 83.84422111 151.15577889],0
p11,1,0.003154,8.715931,[106  57] ; [185  51],[118.87969925  44.12030075] ; [172.12030075  63.87969925],0
s7,1,0.005601,7.674296,[ 50 107] ; [103 121],[63.04724409 93.95275591] ; [ 89.95275591 134.04724409],0
p9,1,0.006471,7.414296,[119  42] ; [198  35],[129.53553299  31.46446701] ; [187.46446701  45.53553299],0
v4,1,0.009555,6.716069,[145  18] ; [224  10],[151.50377834  11.49622166] ; [217.49622166  16.50377834],0
a3,1,0.012829,6.192598,[99 62] ; [173  63],[110.30730479  50.69269521] ; [161.69269521  74.30730479],0
s5,1,0.01306,6.16097,[ 32 122] ; [ 75 157],[ 42.68911917 111.31088083] ; [ 64.31088083 167.68911917],0
a8,1,0.016262,5.774292,[ 14 139] ; [ 39 177],[ 21.97560976 131.02439024] ; [ 31.02439024 184.97560976],0
s2,1,0.017227,5.673122,[63 98] ; [121 115],[74.61964736 86.38035264] ; [109.38035264 126.61964736],0
n3,1,0.018189,5.577866,[35 18] ; [43  7],[40.13592233 12.86407767] ; [37.86407767 12.13592233],0
r4,1,0.018948,5.506324,[134  29] ; [213  23],[141.75689223  21.24310777] ; [205.24310777  30.75689223],0
n4,1,0.021655,5.273326,[107  56] ; [179  56],[117.13065327  45.86934673] ; [168.86934673  66.13065327],0
n6,1,0.030491,4.68138,[123  40] ; [197  37],[131.38539043  31.61460957] ; [188.61460957  45.38539043],0
