Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001517,10.057265,[17  7] ; [ 9 23],[11.14285714 12.85714286] ; [14.85714286 17.14285714],0
d5,1,0.001691,9.858333,[21  3] ; [15 17],[15.42857143  8.57142857] ; [20.57142857 11.42857143],0
a5,1,0.010445,6.557419,[18  6] ; [13 19],[13.28571429 10.71428571] ; [17.71428571 14.28571429],0
r3,1,0.014463,5.980752,[17  6] ; [13 19],[12.54545455 10.45454545] ; [17.45454545 14.54545455],0
a2,1,0.047221,3.9375,[ 6 18] ; [ 2 30],[ 3.42857143 20.57142857] ; [ 4.57142857 27.42857143],0
b4,1,0.07306,3.212897,[19  5] ; [18 14],[15.85714286  8.14285714] ; [21.14285714 10.85714286],0
u2,1,0.075752,3.15377,[3 5] ; [ 1 13],[1.45454545 6.54545455] ; [ 2.54545455 11.45454545],0
n2,1,0.083265,3.0,[6 2] ; [ 6 10],[4. 4.] ; [8. 8.],0
r4,1,0.120359,2.412642,[ 8 16] ; [ 5 27],[ 5.57142857 18.42857143] ; [ 7.42857143 24.57142857],0
v2,1,0.12138,2.39942,[11 13] ; [ 8 23],[ 8.29090909 15.70909091] ; [10.70909091 20.29090909],0
d3,1,0.121867,2.393162,[14 10] ; [12 20],[11.14285714 12.85714286] ; [14.85714286 17.14285714],0
b3,1,0.158662,1.986931,[ 3 11] ; [11 14],[5.02564103 8.97435897] ; [ 8.97435897 16.02564103],0
b2,1,0.158662,1.986931,[ 3 11] ; [11 14],[5.02564103 8.97435897] ; [ 8.97435897 16.02564103],0
b5,1,0.164645,1.931034,[15  9] ; [14 18],[12.42857143 11.57142857] ; [16.57142857 15.42857143],0
s8,1,0.212317,1.555556,[ 4 20] ; [ 2 30],[ 2.57142857 21.42857143] ; [ 3.42857143 28.57142857],0
v3,1,0.24869,1.330645,[ 6 18] ; [ 4 27],[ 4.36363636 19.63636364] ; [ 5.63636364 25.36363636],0
p1,1,0.270289,1.215278,[ 2 22] ; [ 6 26],[ 3.42857143 20.57142857] ; [ 4.57142857 27.42857143],0
a3,1,0.316063,1.005168,[16  7] ; [18 14],[14.21818182  8.78181818] ; [19.78181818 12.21818182],0
s7,1,0.377083,0.780191,[ 4 17] ; [ 9 21],[ 5.35294118 15.64705882] ; [ 7.64705882 22.35294118],0
a1,1,0.414216,0.666667,[ 4 20] ; [ 3 29],[ 3. 21.] ; [ 4. 28.],0
p11,1,0.429607,0.623886,[ 8 16] ; [14 18],[ 9.42857143 14.57142857] ; [12.57142857 19.42857143],0
p6,1,0.46862,0.525228,[ 4 20] ; [ 3 27],[ 3.11111111 20.88888889] ; [ 3.88888889 26.11111111],0
n4,1,0.532884,0.388889,[19  5] ; [23  9],[18.  6.] ; [24.  8.],0
r1,1,0.576999,0.311111,[10 14] ; [11 21],[ 9. 15.] ; [12. 20.],0
s5,1,0.646184,0.210745,[ 4 19] ; [ 4 27],[ 3.40740741 19.59259259] ; [ 4.59259259 26.40740741],0
v1,1,0.655306,0.199275,[ 7 16] ; [ 8 24],[ 6.27272727 16.72727273] ; [ 8.72727273 23.27272727],0
s6,1,0.655306,0.199275,[ 7 16] ; [ 8 24],[ 6.27272727 16.72727273] ; [ 8.72727273 23.27272727],0
p9,1,0.666643,0.185554,[11 12] ; [13 18],[10.22222222 12.77777778] ; [13.77777778 17.22222222],0
n5,1,0.67961,0.170565,[17  7] ; [21 11],[16.28571429  7.71428571] ; [21.71428571 10.28571429],0
d1,1,0.696717,0.15191,[11 13] ; [13 19],[10.28571429 13.71428571] ; [13.71428571 18.28571429],0
p7,1,0.714757,0.133572,[ 5 19] ; [ 8 24],[ 5.57142857 18.42857143] ; [ 7.42857143 24.57142857],0
a4,1,0.739136,0.110887,[ 9 15] ; [13 18],[ 9.6 14.4] ; [12.4 18.6],0
r2,1,0.758261,0.094719,[13  9] ; [17 14],[12.45283019  9.54716981] ; [17.54716981 13.45283019],0
b1,1,0.812688,0.05615,[15  9] ; [19 13],[14.57142857  9.42857143] ; [19.42857143 12.57142857],0
p10,1,0.824315,0.049283,[10 14] ; [12 19],[ 9.6 14.4] ; [12.4 18.6],0
d2,1,0.850773,0.035394,[11 13] ; [15 16],[11.34545455 12.65454545] ; [14.65454545 16.34545455],0
s3,1,0.867892,0.027668,[ 8 16] ; [11 20],[ 8.29090909 15.70909091] ; [10.70909091 20.29090909],0
d4,1,0.868788,0.02729,[16  8] ; [22 10],[16.28571429  7.71428571] ; [21.71428571 10.28571429],0
p2,1,0.877493,0.023762,[ 9 15] ; [11 20],[ 8.72727273 15.27272727] ; [11.27272727 19.72727273],0
n3,1,0.878854,0.023232,[4 4] ; [7 8],[3.82608696 4.17391304] ; [7.17391304 7.82608696],0
n6,1,0.905542,0.014081,[12 12] ; [16 15],[12.21818182 11.78181818] ; [15.78181818 15.21818182],0
u3,1,0.906537,0.013784,[1 7] ; [ 2 12],[1.09090909 6.90909091] ; [ 1.90909091 12.09090909],0
p3,1,0.925099,0.008838,[ 5 19] ; [ 7 25],[ 5.14285714 18.85714286] ; [ 6.85714286 25.14285714],0
s2,1,0.925099,0.008838,[ 5 19] ; [ 7 25],[ 5.14285714 18.85714286] ; [ 6.85714286 25.14285714],0
p4,1,1.0,0.0,[ 6 18] ; [ 8 24],[ 6. 18.] ; [ 8. 24.],0
n1,1,1.0,0.0,[4 4] ; [8 8],[4. 4.] ; [8. 8.],0
