Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.009823,6.666667,[ 2 14] ; [3 1],[ 4. 12.] ; [1. 3.],0
p8,1,0.011213,6.43125,[ 3 13] ; [4 1],[ 5.33333333 10.66666667] ; [1.66666667 3.33333333],0
r1,1,0.027067,4.886538,[ 4 12] ; [4 1],[6.0952381 9.9047619] ; [1.9047619 3.0952381],0
r4,1,0.147299,2.1,[ 4 12] ; [3 2],[ 5.33333333 10.66666667] ; [1.66666667 3.33333333],0
a3,1,0.147299,2.1,[12  4] ; [2 3],[10.66666667  5.33333333] ; [3.33333333 1.66666667],0
a6,1,0.147299,2.1,[12  4] ; [2 3],[10.66666667  5.33333333] ; [3.33333333 1.66666667],0
s6,1,0.156582,2.006932,[7 9] ; [4 1],[8.38095238 7.61904762] ; [2.61904762 2.38095238],0
v1,1,0.156582,2.006932,[9 7] ; [1 4],[7.61904762 8.38095238] ; [2.38095238 2.61904762],0
p6,1,0.196706,1.666667,[ 2 13] ; [2 3],[ 3. 12.] ; [1. 4.],0
b4,1,0.236724,1.4,[8 8] ; [4 1],[9.14285714 6.85714286] ; [2.85714286 2.14285714],0
a5,1,0.247879,1.335216,[11  5] ; [2 3],[9.9047619 6.0952381] ; [3.0952381 1.9047619],0
u2,1,0.270289,1.215278,[1 3] ; [2 1],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
u3,1,0.270289,1.215278,[1 3] ; [2 1],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
s4,1,0.360585,0.835855,[ 1 15] ; [1 4],[ 1.52380952 14.47619048] ; [0.47619048 4.52380952],0
s1,1,0.360585,0.835855,[ 1 15] ; [1 4],[ 1.52380952 14.47619048] ; [0.47619048 4.52380952],0
p12,1,0.360585,0.835855,[ 1 15] ; [1 4],[ 1.52380952 14.47619048] ; [0.47619048 4.52380952],0
p3,1,0.416793,0.659341,[6 9] ; [1 4],[5.25 9.75] ; [1.75 3.25],0
p9,1,0.435488,0.608144,[8 7] ; [3 1],[8.68421053 6.31578947] ; [2.31578947 1.68421053],0
v2,1,0.468717,0.525,[10  6] ; [4 1],[10.66666667  5.33333333] ; [3.33333333 1.66666667],0
d2,1,0.468717,0.525,[10  6] ; [4 1],[10.66666667  5.33333333] ; [3.33333333 1.66666667],0
s7,1,0.472789,0.51545,[ 2 11] ; [1 2],[ 2.4375 10.5625] ; [0.5625 2.4375],0
s2,1,0.481924,0.494505,[ 5 11] ; [2 2],[ 5.6 10.4] ; [1.4 2.6],0
n6,1,0.516937,0.42,[12  4] ; [3 2],[11.42857143  4.57142857] ; [3.57142857 1.42857143],0
b1,1,0.525392,0.403295,[9 7] ; [2 3],[8.38095238 7.61904762] ; [2.61904762 2.38095238],0
p11,1,0.626928,0.23625,[11  5] ; [4 1],[11.42857143  4.57142857] ; [3.57142857 1.42857143],0
a4,1,0.695943,0.152727,[8 8] ; [2 3],[7.61904762 8.38095238] ; [2.38095238 2.61904762],0
b5,1,0.695943,0.152727,[8 8] ; [3 2],[8.38095238 7.61904762] ; [2.61904762 2.38095238],0
p7,1,0.71714,0.13125,[ 5 11] ; [2 3],[ 5.33333333 10.66666667] ; [1.66666667 3.33333333],0
v4,1,0.71714,0.13125,[11  5] ; [3 2],[10.66666667  5.33333333] ; [3.33333333 1.66666667],0
n5,1,0.88242,0.021875,[9 7] ; [3 2],[9.14285714 6.85714286] ; [2.85714286 2.14285714],0
p4,1,0.88242,0.021875,[9 7] ; [3 2],[9.14285714 6.85714286] ; [2.85714286 2.14285714],0
a7,1,0.919964,0.010096,[10  6] ; [3 2],[9.9047619 6.0952381] ; [3.0952381 1.9047619],0
a2,1,0.950458,0.00386,[ 3 13] ; [1 4],[ 3.04761905 12.95238095] ; [0.95238095 4.04761905],0
