Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.05778,3.6,[3 7] ; [6 2],[5. 5.] ; [4. 4.],0
s7,1,0.092133,2.836706,[2 7] ; [5 3],[3.70588235 5.29411765] ; [3.29411765 4.70588235],0
p4,1,0.092133,2.836706,[2 7] ; [5 3],[3.70588235 5.29411765] ; [3.29411765 4.70588235],0
p2,1,0.114758,2.487446,[2 8] ; [4 3],[3.52941176 6.47058824] ; [2.47058824 4.52941176],0
p9,1,0.137564,2.205,[4 6] ; [6 2],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
d4,1,0.137564,2.205,[4 6] ; [6 2],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
b5,1,0.167938,1.90125,[3 7] ; [5 3],[4.44444444 5.55555556] ; [3.55555556 4.44444444],0
s2,1,0.179712,1.8,[2 8] ; [4 4],[3.33333333 6.66666667] ; [2.66666667 5.33333333],0
a5,1,0.195539,1.675385,[6 4] ; [7 1],[7.22222222 2.77777778] ; [5.77777778 2.22222222],0
r2,1,0.200441,1.639156,[8 1] ; [5 3],[6.88235294 2.11764706] ; [6.11764706 1.88235294],0
v1,1,0.279642,1.168831,[5 5] ; [6 2],[6.11111111 3.88888889] ; [4.88888889 3.11111111],0
n6,1,0.279642,1.168831,[5 5] ; [6 2],[6.11111111 3.88888889] ; [4.88888889 3.11111111],0
d3,1,0.279642,1.168831,[5 5] ; [6 2],[6.11111111 3.88888889] ; [4.88888889 3.11111111],0
b3,1,0.303052,1.060714,[4 3] ; [1 3],[3.18181818 3.81818182] ; [1.81818182 2.18181818],0
b2,1,0.303052,1.060714,[4 3] ; [1 3],[3.18181818 3.81818182] ; [1.81818182 2.18181818],0
p5,1,0.322888,0.977211,[1 9] ; [2 5],[1.76470588 8.23529412] ; [1.23529412 5.76470588],0
n2,1,0.342782,0.9,[4 1] ; [2 2],[3.33333333 1.66666667] ; [2.66666667 1.33333333],0
s1,1,0.374857,0.7875,[3 7] ; [1 7],[2.22222222 7.77777778] ; [1.77777778 6.22222222],0
p7,1,0.377026,0.780375,[2 7] ; [3 4],[2.8125 6.1875] ; [2.1875 4.8125],0
d1,1,0.387094,0.748052,[3 7] ; [4 4],[3.88888889 6.11111111] ; [3.11111111 4.88888889],0
n5,1,0.410117,0.678462,[8 2] ; [5 3],[7.22222222 2.77777778] ; [5.77777778 2.22222222],0
s8,1,0.410117,0.678462,[2 8] ; [3 5],[2.77777778 7.22222222] ; [2.22222222 5.77777778],0
r4,1,0.410117,0.678462,[2 8] ; [3 5],[2.77777778 7.22222222] ; [2.22222222 5.77777778],0
p11,1,0.410117,0.678462,[2 8] ; [3 5],[2.77777778 7.22222222] ; [2.22222222 5.77777778],0
p6,1,0.410117,0.678462,[2 8] ; [3 5],[2.77777778 7.22222222] ; [2.22222222 5.77777778],0
n3,1,0.465209,0.533333,[2 2] ; [1 3],[1.5 2.5] ; [1.5 2.5],0
b1,1,0.502335,0.45,[6 4] ; [6 2],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
v4,1,0.502335,0.45,[6 4] ; [6 2],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
d5,1,0.502335,0.45,[6 4] ; [6 2],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
p3,1,0.585106,0.298052,[3 7] ; [3 4],[3.52941176 6.47058824] ; [2.47058824 4.52941176],0
d2,1,0.595883,0.28125,[5 5] ; [5 3],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
a6,1,0.595883,0.28125,[5 5] ; [5 3],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
r1,1,0.671373,0.18,[6 4] ; [4 4],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
p8,1,0.671373,0.18,[4 6] ; [4 4],[4.44444444 5.55555556] ; [3.55555556 4.44444444],0
a4,1,0.671373,0.18,[4 6] ; [4 4],[4.44444444 5.55555556] ; [3.55555556 4.44444444],0
a1,1,0.671373,0.18,[2 8] ; [1 7],[1.66666667 8.33333333] ; [1.33333333 6.66666667],0
b4,1,0.671373,0.18,[6 4] ; [4 4],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
s3,1,0.681777,0.168132,[2 8] ; [2 5],[2.35294118 7.64705882] ; [1.64705882 5.35294118],0
n4,1,0.737316,0.1125,[7 3] ; [5 3],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
n1,1,0.764177,0.09,[3 2] ; [2 2],[2.77777778 2.22222222] ; [2.22222222 1.77777778],0
p1,1,0.799846,0.064286,[2 8] ; [2 6],[2.22222222 7.77777778] ; [1.77777778 6.22222222],0
a2,1,0.799846,0.064286,[2 8] ; [2 6],[2.22222222 7.77777778] ; [1.77777778 6.22222222],0
s4,1,0.866815,0.028125,[1 9] ; [1 7],[1.11111111 8.88888889] ; [0.88888889 7.11111111],0
u1,1,0.866815,0.028125,[1 9] ; [1 7],[1.11111111 8.88888889] ; [0.88888889 7.11111111],0
a3,1,0.866815,0.028125,[9 1] ; [7 1],[8.88888889 1.11111111] ; [7.11111111 0.88888889],0
p12,1,0.866815,0.028125,[1 9] ; [1 7],[1.11111111 8.88888889] ; [0.88888889 7.11111111],0
v2,1,0.913906,0.011688,[4 6] ; [3 5],[3.88888889 6.11111111] ; [3.11111111 4.88888889],0
a7,1,1.0,0.0,[5 5] ; [4 4],[5. 5.] ; [4. 4.],0
