Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.002869,8.888889,[ 5 10] ; [13  2],[9. 6.] ; [9. 6.],0
s6,1,0.008,7.033493,[ 2 13] ; [9 6],[5.5 9.5] ; [5.5 9.5],0
p8,1,0.027058,4.887118,[ 2 12] ; [8 7],[4.82758621 9.17241379] ; [5.17241379 9.82758621],0
p11,1,0.028108,4.821429,[ 4 11] ; [10  5],[7. 8.] ; [7. 8.],0
a7,1,0.028108,4.821429,[11  4] ; [ 5 10],[8. 7.] ; [8. 7.],0
p6,1,0.038807,4.269295,[ 1 13] ; [6 9],[ 3.37931034 10.62068966] ; [ 3.62068966 11.37931034],0
a3,1,0.095547,2.778345,[9 5] ; [ 5 10],[6.75862069 7.24137931] ; [7.24137931 7.75862069],0
s7,1,0.109315,2.564103,[ 1 12] ; [4 8],[ 2.6 10.4] ; [2.4 9.6],0
p4,1,0.121335,2.4,[ 3 12] ; [7 8],[ 5. 10.] ; [ 5. 10.],0
a4,1,0.121335,2.4,[7 8] ; [ 3 12],[ 5. 10.] ; [ 5. 10.],0
a5,1,0.143235,2.142857,[9 6] ; [ 5 10],[7. 8.] ; [7. 8.],0
b4,1,0.143235,2.142857,[9 6] ; [ 5 10],[7. 8.] ; [7. 8.],0
v4,1,0.143235,2.142857,[6 9] ; [10  5],[8. 7.] ; [8. 7.],0
u2,1,0.210075,1.570909,[3 3] ; [8 2],[4.125 1.875] ; [6.875 3.125],0
a8,1,0.315691,1.006714,[ 3 12] ; [ 1 13],[ 2.06896552 12.93103448] ; [ 1.93103448 12.06896552],0
u3,1,0.329642,0.950303,[1 5] ; [4 6],[1.875 4.125] ; [3.125 6.875],0
n1,1,0.333998,0.933333,[3 3] ; [2 6],[2.14285714 3.85714286] ; [2.85714286 5.14285714],0
p9,1,0.340405,0.908906,[5 9] ; [8 7],[6.27586207 7.72413793] ; [6.72413793 8.27586207],0
p10,1,0.340405,0.908906,[5 9] ; [8 7],[6.27586207 7.72413793] ; [6.72413793 8.27586207],0
d1,1,0.36131,0.833333,[ 4 11] ; [ 2 13],[ 3. 12.] ; [ 3. 12.],0
r4,1,0.36131,0.833333,[ 2 13] ; [ 4 11],[ 3. 12.] ; [ 3. 12.],0
d2,1,0.408961,0.681818,[ 5 10] ; [ 3 12],[ 4. 11.] ; [ 4. 11.],0
p3,1,0.410806,0.676467,[ 2 12] ; [ 4 11],[ 2.89655172 11.10344828] ; [ 3.10344828 11.89655172],0
v1,1,0.438578,0.6,[ 4 11] ; [6 9],[ 5. 10.] ; [ 5. 10.],0
d3,1,0.456057,0.555556,[ 5 10] ; [7 8],[6. 9.] ; [6. 9.],0
n4,1,0.456057,0.555556,[ 5 10] ; [7 8],[6. 9.] ; [6. 9.],0
s1,1,0.542802,0.37037,[ 2 13] ; [ 1 14],[ 1.5 13.5] ; [ 1.5 13.5],0
a1,1,0.542802,0.37037,[ 2 13] ; [ 1 14],[ 1.5 13.5] ; [ 1.5 13.5],0
v3,1,0.624206,0.24,[ 2 13] ; [ 3 12],[ 2.5 12.5] ; [ 2.5 12.5],0
s2,1,0.624206,0.24,[ 2 13] ; [ 3 12],[ 2.5 12.5] ; [ 2.5 12.5],0
n3,1,0.639994,0.21875,[3 3] ; [5 3],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
b1,1,0.665984,0.186335,[11  4] ; [12  3],[11.5  3.5] ; [11.5  3.5],0
d4,1,0.704786,0.143541,[10  5] ; [9 6],[9.5 5.5] ; [9.5 5.5],0
r1,1,0.704786,0.143541,[ 5 10] ; [6 9],[5.5 9.5] ; [5.5 9.5],0
n5,1,0.712547,0.135747,[7 8] ; [6 9],[6.5 8.5] ; [6.5 8.5],0
r3,1,0.712547,0.135747,[8 7] ; [9 6],[8.5 6.5] ; [8.5 6.5],0
a6,1,0.712547,0.135747,[7 8] ; [6 9],[6.5 8.5] ; [6.5 8.5],0
d5,1,0.715001,0.133333,[8 7] ; [7 8],[7.5 7.5] ; [7.5 7.5],0
b5,1,0.715001,0.133333,[7 8] ; [8 7],[7.5 7.5] ; [7.5 7.5],0
v2,1,0.777607,0.079772,[5 8] ; [ 5 10],[4.64285714 8.35714286] ; [5.35714286 9.64285714],0
s3,1,0.892772,0.01817,[5 9] ; [ 5 10],[4.82758621 9.17241379] ; [5.17241379 9.82758621],0
n2,1,1.0,0.0,[3 3] ; [4 4],[3. 3.] ; [4. 4.],0
