Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.5e-05,17.783792,[25  7] ; [33 61],[14.73015873 17.26984127] ; [43.26984127 50.73015873],1
n4,1,0.001574,9.990222,[29  4] ; [54 40],[21.56692913 11.43307087] ; [61.43307087 32.56692913],0
a2,1,0.007807,7.077148,[12 21] ; [14 81],[ 6.703125 26.296875] ; [19.296875 75.703125],0
v1,1,0.008385,6.949445,[19 13] ; [31 63],[12.6984127 19.3015873] ; [37.3015873 56.6984127],0
b4,1,0.01116,6.439631,[26  7] ; [51 44],[19.8515625 13.1484375] ; [57.1484375 37.8515625],0
a6,1,0.054119,3.709015,[25  8] ; [54 41],[20.3671875 12.6328125] ; [58.6328125 36.3671875],0
a4,1,0.058762,3.571989,[18 15] ; [34 61],[13.40625 19.59375] ; [38.59375 56.40625],0
s8,1,0.060307,3.528928,[13 19] ; [22 72],[ 8.88888889 23.11111111] ; [26.11111111 67.88888889],0
n3,1,0.072674,3.221565,[12  1] ; [24 12],[9.55102041 3.44897959] ; [26.44897959  9.55102041],0
b3,1,0.079997,3.064968,[ 3 19] ; [19 38],[ 6.12658228 15.87341772] ; [15.87341772 41.12658228],0
b2,1,0.079997,3.064968,[ 3 19] ; [19 38],[ 6.12658228 15.87341772] ; [15.87341772 41.12658228],0
p8,1,0.102576,2.665023,[16 15] ; [33 61],[12.152 18.848] ; [36.848 57.152],0
a7,1,0.14539,2.119964,[25  7] ; [61 34],[21.66929134 10.33070866] ; [64.33070866 30.66929134],0
n6,1,0.169242,1.889647,[26  7] ; [62 32],[22.86614173 10.13385827] ; [65.13385827 28.86614173],0
d3,1,0.191323,1.7074,[24  9] ; [57 38],[20.8828125 12.1171875] ; [60.1171875 34.8828125],0
r3,1,0.197946,1.657466,[31  1] ; [85 10],[29.22834646  2.77165354] ; [86.77165354  8.22834646],0
n2,1,0.200442,1.639154,[11  2] ; [23 12],[9.20833333 3.79166667] ; [24.79166667 10.20833333],0
d5,1,0.216101,1.530074,[26  7] ; [64 31],[23.203125  9.796875] ; [66.796875 28.203125],0
d1,1,0.216174,1.529592,[18 15] ; [40 55],[14.953125 18.046875] ; [43.046875 51.953125],0
s5,1,0.231865,1.429382,[ 9 21] ; [18 74],[ 6.63934426 23.36065574] ; [20.36065574 71.63934426],0
a8,1,0.241649,1.370951,[ 6 21] ; [11 74],[ 4.09821429 22.90178571] ; [12.90178571 72.09821429],0
r1,1,0.244376,1.35517,[26  7] ; [64 30],[23.38582677  9.61417323] ; [66.61417323 27.38582677],0
s3,1,0.268686,1.223442,[18 12] ; [46 49],[15.36 14.64] ; [48.64 46.36],0
v4,1,0.291186,1.114128,[32  1] ; [86  8],[30.66141732  2.33858268] ; [87.33858268  6.66141732],0
p4,1,0.33088,0.945451,[18 14] ; [44 51],[15.62204724 16.37795276] ; [46.37795276 48.62204724],0
r4,1,0.331439,0.943267,[28  5] ; [73 22],[26.0390625  6.9609375] ; [74.9609375 20.0390625],0
a3,1,0.352624,0.863993,[22 11] ; [54 40],[19.7480315 13.2519685] ; [56.2519685 37.7480315],0
s6,1,0.356143,0.851447,[18 14] ; [44 50],[15.74603175 16.25396825] ; [46.25396825 47.74603175],0
d2,1,0.381853,0.764729,[17 15] ; [42 53],[14.86614173 17.13385827] ; [44.13385827 50.86614173],0
b5,1,0.492706,0.470611,[25  8] ; [66 29],[23.4609375  9.5390625] ; [67.5390625 27.4609375],0
n5,1,0.527285,0.399621,[20 13] ; [51 43],[18.4488189 14.5511811] ; [52.5511811 41.4488189],0
u3,1,0.554087,0.350047,[4 7] ; [19 22],[4.86538462 6.13461538] ; [18.13461538 22.86538462],0
p7,1,0.575623,0.313364,[19 13] ; [51 44],[17.63779528 14.36220472] ; [52.36220472 42.63779528],0
p5,1,0.601119,0.273311,[ 1 32] ; [ 5 90],[ 1.546875 31.453125] ; [ 4.453125 90.546875],0
s7,1,0.615083,0.252839,[12 19] ; [30 59],[10.85 20.15] ; [31.15 57.85],0
a1,1,0.664891,0.187637,[ 2 31] ; [ 4 91],[ 1.546875 31.453125] ; [ 4.453125 90.546875],0
d4,1,0.684616,0.164975,[24  8] ; [67 27],[23.11111111  8.88888889] ; [67.88888889 26.11111111],0
p9,1,0.698596,0.149937,[13 19] ; [41 51],[13.93548387 18.06451613] ; [40.06451613 51.93548387],0
a5,1,0.706035,0.142269,[20 13] ; [54 41],[19.078125 13.921875] ; [54.921875 40.078125],0
s2,1,0.717016,0.13137,[12 19] ; [33 61],[11.16 19.84] ; [33.84 60.16],0
b1,1,0.777415,0.079913,[14 19] ; [43 52],[14.6953125 18.3046875] ; [42.3046875 52.6953125],0
p1,1,0.778721,0.078953,[ 2 31] ; [ 7 86],[ 2.35714286 30.64285714] ; [ 6.64285714 86.35714286],0
p11,1,0.7853,0.074212,[20 13] ; [55 40],[19.3359375 13.6640625] ; [55.6640625 39.3359375],0
s4,1,0.854752,0.033511,[ 5 27] ; [16 78],[ 5.33333333 26.66666667] ; [15.66666667 78.33333333],0
u2,1,0.932811,0.007108,[4 6] ; [17 24],[4.11764706 5.88235294] ; [16.88235294 24.11764706],0
u1,1,0.95397,0.003332,[ 5 28] ; [14 81],[ 4.8984375 28.1015625] ; [14.1015625 80.8984375],0
p3,1,0.960821,0.002413,[12 21] ; [35 60],[12.1171875 20.8828125] ; [34.8828125 60.1171875],0
p6,1,0.982308,0.000492,[ 9 21] ; [28 66],[ 8.9516129 21.0483871] ; [28.0483871 65.9516129],0
n1,1,0.987829,0.000233,[4 7] ; [13 23],[3.9787234 7.0212766] ; [13.0212766 22.9787234],0
