Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,30.922888,[250  69] ; [78 69],[224.53218884  94.46781116] ; [103.46781116  43.53218884],1
p3,1,0.0,28.021703,[219 100] ; [63 84],[193.04291845 125.95708155] ; [88.95708155 58.04291845],1
p11,1,4.7e-05,16.562577,[283  37] ; [108  39],[267.92291221  52.07708779] ; [123.07708779  23.92291221],1
p2,1,0.000182,14.006777,[301  18] ; [123  24],[290.24892704  28.75107296] ; [133.75107296  13.24892704],1
p5,1,0.000238,13.506893,[ 59 261] ; [  8 137],[ 46.10752688 273.89247312] ; [ 20.89247312 124.10752688],1
p6,1,0.000514,12.063252,[175 143] ; [55 91],[157.62931034 160.37068966] ; [72.37068966 73.62931034],1
p10,1,0.003412,8.572809,[288  32] ; [117  29],[278.11158798  41.88841202] ; [126.88841202  19.11158798],0
p9,1,0.006068,7.530061,[289  30] ; [120  27],[279.9806867  39.0193133] ; [129.0193133  17.9806867],0
p12,1,0.006708,7.349622,[ 35 284] ; [  5 142],[ 27.38197425 291.61802575] ; [ 12.61802575 134.38197425],0
p1,1,0.011056,6.456231,[ 36 281] ; [  6 141],[ 28.69396552 288.30603448] ; [ 13.30603448 133.69396552],0
s5,1,0.014801,5.939954,[137 173] ; [47 99],[125.0877193 184.9122807] ; [58.9122807 87.0877193],0
n5,1,0.015014,5.914796,[261  59] ; [103  41],[251.03448276  68.96551724] ; [112.96551724  31.03448276],0
n4,1,0.016817,5.715417,[267  53] ; [108  38],[257.51072961  62.48927039] ; [117.48927039  28.51072961],0
s8,1,0.035217,4.434617,[168 149] ; [62 84],[157.47300216 159.52699784] ; [72.52699784 73.47300216],0
r4,1,0.035778,4.407651,[314   6] ; [139   8],[310.40685225   9.59314775] ; [142.59314775   4.40685225],0
n2,1,0.0362,4.387659,[36  5] ; [26 12],[32.17721519  8.82278481] ; [29.82278481  8.17721519],0
v3,1,0.069284,3.299908,[144 166] ; [53 89],[135.11061947 174.88938053] ; [61.88938053 80.11061947],0
d1,1,0.077936,3.107434,[210 110] ; [84 63],[201.45610278 118.54389722] ; [92.54389722 54.45610278],0
v1,1,0.106438,2.606322,[193 121] ; [77 67],[185.10917031 128.89082969] ; [84.89082969 59.10917031],0
a2,1,0.115779,2.473515,[ 80 240] ; [ 47 100],[ 87.0235546 232.9764454] ; [ 39.9764454 107.0235546],0
u1,1,0.133006,2.257062,[ 63 257] ; [ 38 109],[ 69.20770878 250.79229122] ; [ 31.79229122 115.20770878],0
b5,1,0.18092,1.79005,[177 143] ; [91 56],[183.64025696 136.35974304] ; [84.35974304 62.64025696],0
n6,1,0.181669,1.783914,[279  38] ; [121  24],[274.45887446  42.54112554] ; [125.54112554  19.45887446],0
u4,1,0.18403,1.764774,[  8 312] ; [  1 146],[  6.16702355 313.83297645] ; [  2.83297645 144.16702355],0
n1,1,0.18636,1.746162,[15 25] ; [ 9 29],[12.30769231 27.69230769] ; [11.69230769 26.30769231],0
a5,1,0.238019,1.392288,[255  65] ; [110  37],[250.10706638  69.89293362] ; [114.89293362  32.10706638],0
s1,1,0.242022,1.368778,[  7 311] ; [  6 139],[  8.9287257 309.0712743] ; [  4.0712743 140.9287257],0
s6,1,0.244189,1.356248,[226  86] ; [98 48],[220.71615721  91.28384279] ; [103.28384279  42.71615721],0
d5,1,0.269686,1.218342,[270  48] ; [118  28],[265.9137931  52.0862069] ; [122.0862069  23.9137931],0
d3,1,0.281829,1.158248,[236  83] ; [101  45],[231.18924731  87.81075269] ; [105.81075269  40.18924731],0
