Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000167,14.171011,[74 14] ; [18 17],[65.82113821 22.17886179] ; [26.17886179  8.82113821],1
s8,1,0.000911,10.999517,[47 42] ; [ 7 28],[38.75806452 50.24193548] ; [15.24193548 19.75806452],1
p10,1,0.002646,9.036545,[67 19] ; [17 17],[60.2 25.8] ; [23.8 10.2],0
p9,1,0.020796,5.343788,[69 17] ; [21 14],[63.96694215 22.03305785] ; [26.03305785  8.96694215],0
a7,1,0.022457,5.209992,[67 22] ; [19 16],[61.72580645 27.27419355] ; [24.27419355 10.72580645],0
s7,1,0.023515,5.130074,[46 38] ; [10 22],[40.55172414 43.44827586] ; [15.44827586 16.55172414],0
a2,1,0.027908,4.833723,[20 69] ; [ 2 33],[15.79032258 73.20967742] ; [ 6.20967742 28.79032258],0
s4,1,0.03056,4.677527,[30 59] ; [ 5 30],[25.12096774 63.87903226] ; [ 9.87903226 25.12096774],0
d5,1,0.070425,3.273076,[70 19] ; [22 13],[66.03225806 22.96774194] ; [25.96774194  9.03225806],0
s5,1,0.082751,3.010022,[34 48] ; [ 8 25],[29.94782609 52.05217391] ; [12.05217391 20.94782609],0
r4,1,0.102159,2.671512,[77 12] ; [26  9],[73.92741935 15.07258065] ; [29.07258065  5.92741935],0
v4,1,0.103287,2.654042,[83  5] ; [29  5],[80.78688525  7.21311475] ; [31.21311475  2.78688525],0
d1,1,0.104647,2.633258,[50 39] ; [14 21],[45.93548387 43.06451613] ; [18.06451613 16.93548387],0
p6,1,0.161377,1.961279,[25 64] ; [ 5 27],[22.0661157 66.9338843] ; [ 7.9338843 24.0661157],0
b5,1,0.179137,1.804772,[55 34] ; [17 18],[51.67741935 37.32258065] ; [20.32258065 14.67741935],0
p2,1,0.195213,1.677827,[66 22] ; [30  5],[68.68292683 19.31707317] ; [27.31707317  7.68292683],0
b3,1,0.215847,1.531771,[12 34] ; [ 9 13],[14.20588235 31.79411765] ; [ 6.79411765 15.20588235],0
b2,1,0.215847,1.531771,[12 34] ; [ 9 13],[14.20588235 31.79411765] ; [ 6.79411765 15.20588235],0
n6,1,0.259346,1.272244,[55 33] ; [18 17],[52.22764228 35.77235772] ; [20.77235772 14.22764228],0
d4,1,0.270235,1.215551,[76 13] ; [27  8],[73.92741935 15.07258065] ; [29.07258065  5.92741935],0
p5,1,0.33797,0.918115,[ 2 85] ; [ 2 33],[ 2.85245902 84.14754098] ; [ 1.14754098 33.85245902],0
a6,1,0.340241,0.909523,[59 30] ; [20 15],[56.7016129 32.2983871] ; [22.2983871 12.7016129],0
n1,1,0.392041,0.732601,[10 15] ; [ 4 11],[ 8.75 16.25] ; [5.25 9.75],0
p4,1,0.403046,0.699219,[43 46] ; [14 21],[40.91129032 48.08870968] ; [16.08870968 18.91129032],0
p12,1,0.409042,0.681582,[ 6 82] ; [ 1 33],[ 5.04918033 82.95081967] ; [ 1.95081967 32.04918033],0
a5,1,0.434838,0.609866,[60 29] ; [21 14],[58.13709677 30.86290323] ; [22.86290323 12.13709677],0
d2,1,0.46892,0.524521,[42 47] ; [14 21],[40.19354839 48.80645161] ; [15.80645161 19.19354839],0
d3,1,0.497327,0.460635,[64 25] ; [23 12],[62.44354839 26.55645161] ; [24.55645161 10.44354839],0
