Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000253,13.388067,[15  9] ; [14 51],[ 7.82022472 16.17977528] ; [21.17977528 43.82022472],1
s6,1,0.000954,10.914179,[18  6] ; [24 43],[11.07692308 12.92307692] ; [30.92307692 36.07692308],1
s8,1,0.0015,10.078667,[10 14] ; [ 8 60],[ 4.69565217 19.30434783] ; [13.30434783 54.69565217],0
n4,1,0.008545,6.915547,[22  2] ; [43 25],[16.95652174  7.04347826] ; [48.04347826 19.95652174],0
s3,1,0.009374,6.750137,[14  9] ; [20 46],[ 8.78651685 14.21348315] ; [25.21348315 40.78651685],0
a3,1,0.010515,6.545455,[16  8] ; [24 42],[10.66666667 13.33333333] ; [29.33333333 36.66666667],0
a5,1,0.012463,6.243786,[17  7] ; [28 40],[11.73913043 12.26086957] ; [33.26086957 34.73913043],0
p1,1,0.04307,4.092647,[ 6 18] ; [ 6 62],[ 3.13043478 20.86956522] ; [ 8.86956522 59.13043478],0
v1,1,0.044382,4.041987,[13 10] ; [22 45],[ 8.94444444 14.05555556] ; [26.05555556 40.94444444],0
s1,1,0.057604,3.60507,[ 4 20] ; [ 3 63],[ 1.86666667 22.13333333] ; [ 5.13333333 60.86666667],0
p5,1,0.075753,3.153753,[ 3 21] ; [ 2 66],[ 1.30434783 22.69565217] ; [ 3.69565217 64.30434783],0
b3,1,0.091184,2.853342,[ 5 12] ; [18 15],[7.82 9.18] ; [15.18 17.82],0
b2,1,0.091184,2.853342,[ 5 12] ; [18 15],[7.82 9.18] ; [15.18 17.82],0
p2,1,0.098281,2.733214,[16  8] ; [32 36],[12.52173913 11.47826087] ; [35.47826087 32.52173913],0
b4,1,0.160512,1.969394,[12 12] ; [45 23],[14.86956522  9.13043478] ; [42.13043478 25.86956522],0
u3,1,0.165782,1.920681,[5 3] ; [16 28],[3.23076923 4.76923077] ; [17.76923077 26.23076923],0
p8,1,0.259145,1.273321,[ 9 15] ; [17 50],[ 6.85714286 17.14285714] ; [19.14285714 47.85714286],0
s5,1,0.266653,1.233885,[ 6 17] ; [10 54],[ 4.22988506 18.77011494] ; [11.77011494 52.22988506],0
d4,1,0.271001,1.211673,[13 11] ; [28 40],[10.69565217 13.30434783] ; [30.30434783 37.69565217],0
n5,1,0.347227,0.883564,[19  5] ; [47 21],[17.2173913  6.7826087] ; [48.7826087 19.2173913],0
b5,1,0.351025,0.869748,[15  9] ; [35 33],[13.04347826 10.95652174] ; [36.95652174 31.04347826],0
v2,1,0.361236,0.833592,[ 9 15] ; [17 45],[ 7.25581395 16.74418605] ; [18.74418605 43.25581395],0
v3,1,0.388446,0.743802,[ 8 16] ; [16 50],[ 6.4 17.6] ; [17.6 48.4],0
a6,1,0.396275,0.719599,[11 13] ; [38 30],[12.7826087 11.2173913] ; [36.2173913 31.7826087],0
p11,1,0.410156,0.67835,[14 10] ; [46 22],[15.65217391  8.34782609] ; [44.34782609 23.65217391],0
a8,1,0.424419,0.638047,[ 4 19] ; [ 7 57],[ 2.90804598 20.09195402] ; [ 8.09195402 55.90804598],0
s4,1,0.435001,0.609433,[ 6 18] ; [12 56],[ 4.69565217 19.30434783] ; [13.30434783 54.69565217],0
a2,1,0.466267,0.530809,[ 2 22] ; [ 3 65],[ 1.30434783 22.69565217] ; [ 3.69565217 64.30434783],0
a1,1,0.586775,0.29541,[ 1 23] ; [ 5 63],[ 1.56521739 22.43478261] ; [ 4.43478261 63.56521739],0
p4,1,0.609139,0.261431,[ 7 17] ; [16 51],[ 6.06593407 17.93406593] ; [16.93406593 50.06593407],0
p12,1,0.615658,0.252017,[ 1 22] ; [ 5 63],[ 1.51648352 21.48351648] ; [ 4.48351648 63.51648352],0
p6,1,0.617679,0.249143,[ 3 21] ; [ 6 61],[ 2.37362637 21.62637363] ; [ 6.62637363 60.37362637],0
r2,1,0.677152,0.17335,[20  4] ; [54 14],[19.30434783  4.69565217] ; [54.69565217 13.30434783],0
v4,1,0.677152,0.17335,[20  4] ; [54 14],[19.30434783  4.69565217] ; [54.69565217 13.30434783],0
p10,1,0.692316,0.15659,[16  8] ; [41 25],[15.2  8.8] ; [41.8 24.2],0
d3,1,0.745095,0.105699,[ 9 15] ; [23 45],[ 8.34782609 15.65217391] ; [23.65217391 44.34782609],0
b1,1,0.752159,0.099725,[ 9 15] ; [28 40],[ 9.65217391 14.34782609] ; [27.34782609 40.65217391],0
r1,1,0.752159,0.099725,[15  9] ; [40 28],[14.34782609  9.65217391] ; [40.65217391 27.34782609],0
n2,1,0.75415,0.098077,[8 2] ; [18  6],[7.64705882 2.35294118] ; [18.35294118  5.64705882],0
n6,1,0.760279,0.093095,[17  6] ; [48 20],[16.42857143  6.57142857] ; [48.57142857 19.42857143],0
r3,1,0.761106,0.092434,[19  5] ; [51 16],[18.46153846  5.53846154] ; [51.53846154 15.46153846],0
u2,1,0.764773,0.089532,[3 5] ; [19 25],[3.38461538 4.61538462] ; [18.61538462 25.38461538],0
a4,1,0.767907,0.087092,[ 4 20] ; [13 54],[ 4.48351648 19.51648352] ; [12.51648352 54.48351648],0
r4,1,0.772698,0.083433,[17  7] ; [46 22],[16.43478261  7.56521739] ; [46.56521739 21.43478261],0
a7,1,0.804145,0.061497,[12 12] ; [32 36],[11.47826087 12.52173913] ; [32.52173913 35.47826087],0
p9,1,0.829292,0.046488,[18  6] ; [48 18],[17.6  6.4] ; [48.4 17.6],0
n3,1,0.852603,0.034521,[6 4] ; [13 10],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
n1,1,0.852603,0.034521,[4 6] ; [10 13],[4.24242424 5.75757576] ; [ 9.75757576 13.24242424],0
p3,1,0.855462,0.03318,[ 5 19] ; [13 55],[ 4.69565217 19.30434783] ; [13.30434783 54.69565217],0
d1,1,0.959628,0.002562,[ 1 23] ; [ 3 65],[ 1.04347826 22.95652174] ; [ 2.95652174 65.04347826],0
d2,1,0.979655,0.00065,[ 5 19] ; [14 54],[ 4.95652174 19.04347826] ; [14.04347826 53.95652174],0
