Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,47.707967,[  5 103] ; [24 22],[20.33766234 87.66233766] ; [ 8.66233766 37.33766234],1
s6,1,0.0,27.121704,[33 75] ; [35 11],[47.68831169 60.31168831] ; [20.31168831 25.68831169],1
s2,1,0.0,25.517874,[21 87] ; [28 18],[34.36363636 73.63636364] ; [14.63636364 31.36363636],1
u1,1,2.9e-05,17.452752,[  5 103] ; [13 33],[12.62337662 95.37662338] ; [ 5.37662338 40.62337662],1
r1,1,4.3e-05,16.728336,[58 48] ; [41  5],[69.03947368 36.96052632] ; [29.96052632 16.03947368],1
s3,1,0.001056,10.727166,[34 71] ; [28 18],[43.11258278 61.88741722] ; [18.88741722 27.11258278],0
p9,1,0.001241,10.427585,[44 60] ; [32 13],[53.04697987 50.95302013] ; [22.95302013 22.04697987],0
n6,1,0.001578,9.984888,[59 48] ; [37  8],[67.57894737 39.42105263] ; [28.42105263 16.57894737],0
r4,1,0.001955,9.591591,[61 47] ; [38  8],[69.42857143 38.57142857] ; [29.57142857 16.42857143],0
p4,1,0.003204,8.687273,[31 75] ; [25 21],[39.05263158 66.94736842] ; [16.94736842 29.05263158],0
p6,1,0.004478,8.079225,[14 91] ; [15 30],[20.3 84.7] ; [ 8.7 36.3],0
p5,1,0.004657,8.008021,[  2 104] ; [ 6 40],[  5.57894737 100.42105263] ; [ 2.42105263 43.57894737],0
v1,1,0.005401,7.739953,[31 77] ; [24 22],[38.57142857 69.42857143] ; [16.42857143 29.57142857],0
p2,1,0.007141,7.237114,[54 53] ; [34 12],[61.54248366 45.45751634] ; [26.45751634 19.54248366],0
r3,1,0.007744,7.091701,[73 34] ; [40  5],[79.54605263 27.45394737] ; [33.45394737 11.54605263],0
n5,1,0.00872,6.879303,[59 48] ; [35 10],[66.17105263 40.82894737] ; [27.82894737 17.17105263],0
a4,1,0.014042,6.03283,[31 75] ; [23 23],[37.65789474 68.34210526] ; [16.34210526 29.65789474],0
s1,1,0.017849,5.610937,[  6 101] ; [ 8 37],[ 9.85526316 97.14473684] ; [ 4.14473684 40.85526316],0
v4,1,0.019613,5.445993,[80 27] ; [42  4],[85.32026144 21.67973856] ; [36.67973856  9.32026144],0
p8,1,0.029544,4.735622,[28 78] ; [20 25],[33.69536424 72.30463576] ; [14.30463576 30.69536424],0
a5,1,0.032727,4.560023,[55 53] ; [32 14],[61.01298701 46.98701299] ; [25.98701299 20.01298701],0
n4,1,0.042798,4.103348,[58 49] ; [33 13],[63.64052288 43.35947712] ; [27.35947712 18.64052288],0
p1,1,0.048391,3.896361,[  6 102] ; [ 7 39],[ 9.11688312 98.88311688] ; [ 3.88311688 42.11688312],0
n1,1,0.053326,3.733662,[13 28] ; [12  9],[16.53225806 24.46774194] ; [ 8.46774194 12.53225806],0
a3,1,0.060408,3.526141,[58 48] ; [32 13],[63.17880795 42.82119205] ; [26.82119205 18.17880795],0
p10,1,0.101859,2.676198,[39 67] ; [23 22],[43.52317881 62.47682119] ; [18.47682119 26.52317881],0
d1,1,0.102203,2.670823,[41 67] ; [24 22],[45.58441558 62.41558442] ; [19.41558442 26.58441558],0
r2,1,0.104612,2.633779,[84 20] ; [42  4],[87.36 16.64] ; [38.64  7.36],0
a2,1,0.132821,2.259214,[17 91] ; [12 34],[20.33766234 87.66233766] ; [ 8.66233766 37.33766234],0
d5,1,0.150427,2.067916,[68 39] ; [34 11],[71.80263158 35.19736842] ; [30.19736842 14.80263158],0
p3,1,0.190927,1.710448,[28 78] ; [17 29],[31.38157895 74.61842105] ; [13.61842105 32.38157895],0
d3,1,0.203172,1.619423,[54 52] ; [28 17],[57.56291391 48.43708609] ; [24.43708609 20.56291391],0
d2,1,0.271975,1.206759,[42 65] ; [22 23],[45.05263158 61.94736842] ; [18.94736842 26.05263158],0
n2,1,0.280087,1.166667,[22 20] ; [14  7],[24. 18.] ; [12.  9.],0
u3,1,0.305918,1.048219,[20 28] ; [8 6],[21.67741935 26.32258065] ; [6.32258065 7.67741935],0
n3,1,0.354971,0.855607,[24 16] ; [10 11],[22.29508197 17.70491803] ; [11.70491803  9.29508197],0
d4,1,0.359065,0.84116,[71 37] ; [33 12],[73.41176471 34.58823529] ; [30.58823529 14.41176471],0
a7,1,0.362707,0.828499,[68 38] ; [33 13],[70.43421053 35.56578947] ; [30.56578947 15.43421053],0
u2,1,0.393147,0.729185,[16 32] ; [6 7],[17.31147541 30.68852459] ; [4.68852459 8.31147541],0
v2,1,0.399787,0.708967,[36 67] ; [19 26],[38.27702703 64.72297297] ; [16.72297297 28.27702703],0
p7,1,0.428048,0.628115,[47 58] ; [17 28],[44.8 60.2] ; [19.2 25.8],0
b5,1,0.521853,0.41023,[67 41] ; [26 20],[65.22077922 42.77922078] ; [27.77922078 18.22077922],0
p12,1,0.531268,0.391966,[  1 107] ; [ 1 45],[  1.4025974 106.5974026] ; [ 0.5974026 45.4025974],0
b1,1,0.54909,0.35895,[53 55] ; [25 21],[54.7012987 53.2987013] ; [23.2987013 22.7012987],0
