Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.032189,4.588426,[6 2] ; [ 5 12],[3.52 4.48] ; [7.48 9.52],0
d3,1,0.054181,3.707108,[7 1] ; [8 9],[4.8 3.2] ; [10.2  6.8],0
u2,1,0.136844,2.213095,[1 3] ; [5 2],[2.18181818 1.81818182] ; [3.81818182 3.18181818],0
p7,1,0.147501,2.097902,[2 6] ; [9 7],[3.66666667 4.33333333] ; [7.33333333 8.66666667],0
s7,1,0.177895,1.815126,[2 5] ; [10  7],[3.5 3.5] ; [8.5 8.5],0
n6,1,0.178978,1.80609,[3 5] ; [10  5],[4.52173913 3.47826087] ; [8.47826087 6.52173913],0
s2,1,0.201134,1.63412,[3 5] ; [11  6],[4.48 3.52] ; [9.52 7.48],0
r2,1,0.239559,1.383185,[7 1] ; [9 5],[5.81818182 2.18181818] ; [10.18181818  3.81818182],0
d2,1,0.241567,1.371429,[6 2] ; [8 8],[4.66666667 3.33333333] ; [9.33333333 6.66666667],0
n5,1,0.303552,1.058523,[3 5] ; [9 6],[4.17391304 3.82608696] ; [7.82608696 7.17391304],0
a6,1,0.319499,0.990997,[3 5] ; [10  7],[4.16 3.84] ; [8.84 8.16],0
n2,1,0.342782,0.9,[2 2] ; [4 1],[2.66666667 1.33333333] ; [3.33333333 1.66666667],0
p10,1,0.371093,0.8,[4 4] ; [11  5],[5. 3.] ; [10.  6.],0
v1,1,0.381905,0.76456,[4 3] ; [ 6 10],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
s3,1,0.435366,0.608466,[4 4] ; [10  5],[4.86956522 3.13043478] ; [9.13043478 5.86956522],0
s8,1,0.468011,0.526669,[3 5] ; [ 4 13],[2.24 5.76] ; [ 4.76 12.24],0
b4,1,0.468011,0.526669,[5 3] ; [13  4],[5.76 2.24] ; [12.24  4.76],0
d1,1,0.470989,0.519655,[5 3] ; [8 9],[4.16 3.84] ; [8.84 8.16],0
d4,1,0.477197,0.505263,[7 1] ; [12  4],[6.33333333 1.66666667] ; [12.66666667  3.33333333],0
p6,1,0.520146,0.413603,[1 7] ; [ 4 13],[1.6 6.4] ; [ 3.4 13.6],0
a7,1,0.562343,0.335664,[5 3] ; [8 8],[4.33333333 3.66666667] ; [8.66666667 7.33333333],0
r3,1,0.590726,0.289211,[5 3] ; [11  4],[5.56521739 2.43478261] ; [10.43478261  4.56521739],0
n1,1,0.635256,0.225,[1 3] ; [2 3],[1.33333333 2.66666667] ; [1.66666667 3.33333333],0
a5,1,0.653329,0.201728,[5 3] ; [9 8],[4.48 3.52] ; [9.52 7.48],0
a4,1,0.653329,0.201728,[3 5] ; [8 9],[3.52 4.48] ; [7.48 9.52],0
b5,1,0.67844,0.171887,[4 4] ; [ 7 10],[3.52 4.48] ; [7.48 9.52],0
p4,1,0.67844,0.171887,[4 4] ; [ 7 10],[3.52 4.48] ; [7.48 9.52],0
v3,1,0.698535,0.15,[1 7] ; [ 3 13],[1.33333333 6.66666667] ; [ 2.66666667 13.33333333],0
p2,1,0.722283,0.126316,[6 2] ; [13  3],[6.33333333 1.66666667] ; [12.66666667  3.33333333],0
d5,1,0.74332,0.10723,[7 1] ; [14  3],[6.72 1.28] ; [14.28  2.72],0
s6,1,0.759463,0.09375,[5 3] ; [11  5],[5.33333333 2.66666667] ; [10.66666667  5.33333333],0
r1,1,0.769698,0.085714,[3 5] ; [7 9],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
a3,1,0.851054,0.035259,[4 3] ; [9 8],[3.79166667 3.20833333] ; [9.20833333 7.79166667],0
n4,1,0.890787,0.018854,[4 4] ; [9 8],[4.16 3.84] ; [8.84 8.16],0
v2,1,0.890787,0.018854,[4 4] ; [9 8],[4.16 3.84] ; [8.84 8.16],0
p3,1,0.914641,0.011489,[3 5] ; [ 6 11],[2.88 5.12] ; [ 6.12 10.88],0
p9,1,0.914641,0.011489,[5 3] ; [11  6],[5.12 2.88] ; [10.88  6.12],0
v4,1,0.964854,0.001942,[5 3] ; [8 5],[4.95238095 3.04761905] ; [8.04761905 4.95238095],0
u3,1,1.0,0.0,[2 2] ; [4 4],[2. 2.] ; [4. 4.],0
