Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.007776,7.084353,[23 21] ; [24  5],[28.32876712 15.67123288] ; [18.67123288 10.32876712],0
s4,1,0.013486,6.104239,[18 26] ; [ 4 25],[13.26027397 30.73972603] ; [ 8.73972603 20.26027397],0
r1,1,0.021259,5.30545,[29 15] ; [26  3],[33.15068493 10.84931507] ; [21.84931507  7.15068493],0
a6,1,0.062905,3.459086,[20 24] ; [19  9],[23.83333333 20.16666667] ; [15.16666667 12.83333333],0
a5,1,0.071939,3.238205,[26 18] ; [23  6],[29.53424658 14.46575342] ; [19.46575342  9.53424658],0
p12,1,0.076962,3.127908,[ 2 41] ; [ 5 24],[ 4.18055556 38.81944444] ; [ 2.81944444 26.18055556],0
s7,1,0.095789,2.774284,[21 20] ; [18  7],[24.22727273 16.77272727] ; [14.77272727 10.22727273],0
n2,1,0.115078,2.483069,[16  2] ; [5 3],[14.53846154  3.46153846] ; [6.46153846 1.53846154],0
a2,1,0.149581,2.076521,[ 5 39] ; [ 7 22],[ 7.23287671 36.76712329] ; [ 4.76712329 24.23287671],0
n5,1,0.176822,1.824134,[25 19] ; [21  8],[27.7260274 16.2739726] ; [18.2739726 10.7260274],0
p7,1,0.17954,1.801428,[23 20] ; [10 17],[20.27142857 22.72857143] ; [12.72857143 14.27142857],0
u2,1,0.188274,1.731069,[6 7] ; [8 3],[7.58333333 5.41666667] ; [6.41666667 4.58333333],0
r2,1,0.228249,1.45174,[39  5] ; [28  1],[40.38356164  3.61643836] ; [26.61643836  2.38356164],0
s6,1,0.237181,1.397273,[34  9] ; [26  3],[35.83333333  7.16666667] ; [24.16666667  4.83333333],0
u1,1,0.25113,1.317004,[ 6 38] ; [ 7 22],[ 7.83561644 36.16438356] ; [ 5.16438356 23.83561644],0
b4,1,0.262605,1.254974,[23 21] ; [19 10],[25.31506849 18.68493151] ; [16.68493151 12.31506849],0
n1,1,0.293622,1.102941,[8 9] ; [2 6],[ 6.8 10.2] ; [3.2 4.8],0
b5,1,0.297128,1.087038,[31 13] ; [17 12],[28.93150685 15.06849315] ; [19.06849315  9.93150685],0
v1,1,0.309913,1.031046,[23 20] ; [19 10],[25.08333333 17.91666667] ; [16.91666667 12.08333333],0
s1,1,0.317782,0.998052,[ 4 39] ; [ 5 24],[ 5.375 37.625] ; [ 3.625 25.375],0
