Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001389,10.220486,[11  5] ; [ 1 11],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
d3,1,0.027469,4.861111,[12  4] ; [4 8],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
a4,1,0.151825,2.053819,[ 5 11] ; [7 5],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
d5,1,0.160581,1.96875,[15  1] ; [9 3],[13.71428571  2.28571429] ; [10.28571429  1.71428571],0
p3,1,0.171857,1.866667,[ 4 12] ; [6 6],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
p7,1,0.171857,1.866667,[ 4 12] ; [6 6],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
a2,1,0.254478,1.298551,[ 4 12] ; [ 1 11],[ 2.85714286 13.14285714] ; [2.14285714 9.85714286],0
d4,1,0.254478,1.298551,[12  4] ; [11  1],[13.14285714  2.85714286] ; [9.85714286 2.14285714],0
b3,1,0.269004,1.221818,[2 9] ; [4 6],[3.14285714 7.85714286] ; [2.85714286 7.14285714],0
b2,1,0.269004,1.221818,[2 9] ; [4 6],[3.14285714 7.85714286] ; [2.85714286 7.14285714],0
s3,1,0.298698,1.08,[7 8] ; [8 4],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
d2,1,0.305507,1.05,[9 7] ; [9 3],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
p2,1,0.314736,1.010695,[11  5] ; [6 6],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
p9,1,0.340018,0.910364,[8 6] ; [9 3],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
a5,1,0.350045,0.873294,[12  4] ; [7 5],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
b4,1,0.377822,0.777778,[13  3] ; [8 4],[12.  4.] ; [9. 3.],0
n6,1,0.48338,0.491228,[10  6] ; [9 3],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
p11,1,0.48338,0.491228,[10  6] ; [9 3],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
p10,1,0.483522,0.490909,[8 7] ; [8 4],[8.88888889 6.11111111] ; [7.11111111 4.88888889],0
u2,1,0.490153,0.47619,[1 4] ; [2 3],[1.5 3.5] ; [1.5 3.5],0
d1,1,0.508332,0.4375,[10  6] ; [6 6],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
a3,1,0.56917,0.324074,[11  5] ; [7 5],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
v3,1,0.579639,0.306818,[ 6 10] ; [3 8],[ 5.33333333 10.66666667] ; [3.66666667 7.33333333],0
s7,1,0.618757,0.247619,[6 8] ; [4 8],[5.38461538 8.61538462] ; [4.61538462 7.38461538],0
s2,1,0.65591,0.198529,[ 5 10] ; [5 7],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
p8,1,0.706197,0.142105,[ 4 11] ; [4 8],[ 4.44444444 10.55555556] ; [3.55555556 8.44444444],0
s8,1,0.71714,0.13125,[ 5 11] ; [3 9],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
s6,1,0.721501,0.127059,[9 6] ; [8 4],[9.44444444 5.55555556] ; [7.55555556 4.44444444],0
r1,1,0.742787,0.107692,[9 7] ; [6 6],[8.57142857 7.42857143] ; [6.42857143 5.57142857],0
s4,1,0.755189,0.097222,[ 2 14] ; [ 2 10],[ 2.28571429 13.71428571] ; [ 1.71428571 10.28571429],0
v1,1,0.795012,0.0675,[7 8] ; [5 7],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
p6,1,0.819872,0.051852,[ 6 10] ; [4 8],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
p12,1,0.83224,0.044872,[ 1 15] ; [ 1 11],[ 1.14285714 14.85714286] ; [ 0.85714286 11.14285714],0
n2,1,0.857714,0.032143,[4 1] ; [3 1],[3.88888889 1.11111111] ; [3.11111111 0.88888889],0
p4,1,0.912219,0.012153,[9 7] ; [7 5],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
n5,1,0.912219,0.012153,[9 7] ; [7 5],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
b5,1,0.912219,0.012153,[9 7] ; [7 5],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
s5,1,0.972542,0.001185,[ 4 11] ; [3 8],[ 4.03846154 10.96153846] ; [2.96153846 8.03846154],0
n4,1,1.0,0.0,[12  4] ; [9 3],[12.  4.] ; [9. 3.],0
r4,1,1.0,0.0,[8 8] ; [6 6],[8. 8.] ; [6. 6.],0
r2,1,1.0,0.0,[10  5] ; [8 4],[10.  5.] ; [8. 4.],0
b1,1,1.0,0.0,[8 8] ; [6 6],[8. 8.] ; [6. 6.],0
