Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,50.241312,[ 88 147] ; [164  70],[126.26865672 108.73134328] ; [125.73134328 108.26865672],1
v3,1,0.0,29.675756,[ 62 179] ; [116 116],[ 90.69344609 150.30655391] ; [ 87.30655391 144.69344609],1
p4,1,2.9e-05,17.470117,[111 130] ; [156  84],[133.77754678 107.22245322] ; [133.22245322 106.77754678],1
n5,1,0.000183,14.00196,[172  69] ; [205  35],[188.89189189  52.10810811] ; [188.10810811  51.89189189],1
p3,1,0.000186,13.967279,[ 88 155] ; [127 112],[108.39211618 134.60788382] ; [106.60788382 132.39211618],1
r1,1,0.000958,10.907475,[171  73] ; [198  41],[186.40993789  57.59006211] ; [182.59006211  56.40993789],1
p7,1,0.001605,9.953961,[126 115] ; [155  78],[142.87130802  98.12869198] ; [138.12869198  94.87130802],0
p9,1,0.002072,9.484724,[181  59] ; [205  32],[194.21383648  45.78616352] ; [191.78616352  45.21383648],0
r4,1,0.002391,9.22188,[201  43] ; [220  20],[212.23966942  31.76033058] ; [208.76033058  31.23966942],0
p2,1,0.003318,8.623694,[187  57] ; [207  31],[199.45228216  44.54771784] ; [194.54771784  43.45228216],0
p10,1,0.003903,8.328198,[175  66] ; [198  39],[188.06066946  52.93933054] ; [184.93933054  52.06066946],0
r2,1,0.003937,8.312792,[213  27] ; [228  10],[221.42259414  18.57740586] ; [219.57740586  18.42259414],0
p6,1,0.00542,7.733721,[ 62 179] ; [ 89 148],[ 76.13179916 164.86820084] ; [ 74.86820084 162.13179916],0
s6,1,0.005543,7.693207,[121 120] ; [150  89],[136.06458333 104.93541667] ; [134.93541667 104.06458333],0
p11,1,0.006869,7.306996,[181  63] ; [202  38],[193.08264463  50.91735537] ; [189.91735537  50.08264463],0
a5,1,0.011869,6.330268,[154  90] ; [177  63],[166.8677686  77.1322314] ; [164.1322314  75.8677686],0
r3,1,0.014992,5.91743,[223  21] ; [231   8],[229.34989648  14.65010352] ; [224.65010352  14.34989648],0
u4,1,0.017292,5.66651,[  1 243] ; [  8 232],[  4.53719008 239.46280992] ; [  4.46280992 235.53719008],0
p8,1,0.01741,5.654528,[106 136] ; [128 106],[118.96638655 123.03361345] ; [115.03361345 118.96638655],0
n4,1,0.022638,5.196071,[182  61] ; [200  40],[192.1863354  50.8136646] ; [189.8136646  50.1863354],0
b5,1,0.027683,4.84769,[140 104] ; [161  79],[151.74380165  92.25619835] ; [149.25619835  90.74380165],0
a6,1,0.055737,3.659901,[155  89] ; [172  68],[164.85123967  79.14876033] ; [162.14876033  77.85123967],0
s7,1,0.071459,3.249195,[ 87 150] ; [102 125],[ 96.53663793 140.46336207] ; [ 92.46336207 134.53663793],0
u1,1,0.087105,2.927077,[ 31 213] ; [ 44 196],[ 37.80991736 206.19008264] ; [ 37.19008264 202.80991736],0
a4,1,0.105007,2.627799,[ 89 154] ; [104 133],[ 97.70625 145.29375] ; [ 95.29375 141.70625],0
b2,1,0.107519,2.590311,[40 91] ; [63 96],[46.52758621 84.47241379] ; [ 56.47241379 102.52758621],0
b3,1,0.107519,2.590311,[40 91] ; [63 96],[46.52758621 84.47241379] ; [ 56.47241379 102.52758621],0
u3,1,0.112932,2.512701,[34 47] ; [41 34],[38.94230769 42.05769231] ; [36.05769231 38.94230769],0
v4,1,0.130386,2.2879,[226  18] ; [230  10],[229.88429752  14.11570248] ; [226.11570248  13.88429752],0
a2,1,0.149853,2.07375,[ 44 200] ; [ 56 184],[ 50.41322314 193.58677686] ; [ 49.58677686 190.41322314],0
s8,1,0.160861,1.966113,[ 81 163] ; [ 94 145],[ 88.4057971 155.5942029] ; [ 86.5942029 152.4057971],0
a7,1,0.187458,1.737487,[170  73] ; [180  59],[176.45228216  66.54771784] ; [173.54771784  65.45228216],0
s4,1,0.223624,1.480963,[ 34 207] ; [ 25 214],[ 29.62291667 211.37708333] ; [ 29.37708333 209.62291667],0
d3,1,0.242742,1.364601,[158  85] ; [168  72],[164.01242236  78.98757764] ; [161.98757764  78.01242236],0
p5,1,0.290491,1.117344,[ 11 233] ; [ 16 222],[ 13.66804979 230.33195021] ; [ 13.33195021 224.66804979],0
p12,1,0.295513,1.094333,[ 11 232] ; [ 16 222],[ 13.64033264 229.35966736] ; [ 13.35966736 224.64033264],0
b1,1,0.317057,1.001048,[ 93 151] ; [ 81 159],[ 87.71900826 156.28099174] ; [ 86.28099174 153.71900826],0
u2,1,0.336032,0.925511,[38 44] ; [40 34],[41. 41.] ; [37. 37.],0
n2,1,0.391802,0.733344,[52 27] ; [28 10],[54.01709402 24.98290598] ; [25.98290598 12.01709402],0
d2,1,0.392373,0.731576,[105 138] ; [113 127],[109.67701863 133.32298137] ; [108.32298137 131.67701863],0
n1,1,0.403183,0.698812,[25 54] ; [15 23],[27.00854701 51.99145299] ; [12.99145299 25.00854701],0
a3,1,0.43272,0.615512,[161  83] ; [165  73],[165.02904564  78.97095436] ; [160.97095436  77.02904564],0
d1,1,0.453844,0.561034,[130 114] ; [136 104],[134.09917355 109.90082645] ; [131.90082645 108.09917355],0
d4,1,0.498848,0.457387,[188  56] ; [191  49],[191.0661157  52.9338843] ; [187.9338843  52.0661157],0
a8,1,0.548852,0.359378,[ 29 200] ; [ 31 181],[ 31.15646259 197.84353741] ; [ 28.84353741 183.15646259],0
b4,1,0.62548,0.238241,[138 106] ; [141  99],[140.65289256 103.34710744] ; [138.34710744 101.65289256],0
d5,1,0.631485,0.230053,[188  55] ; [190  50],[190.17391304  52.82608696] ; [187.82608696  52.17391304],0
p1,1,0.663115,0.189762,[ 14 230] ; [ 16 223],[ 15.1552795 228.8447205] ; [ 14.8447205 224.1552795],0
n3,1,0.665882,0.186456,[53 26] ; [27 11],[54.01709402 24.98290598] ; [25.98290598 12.01709402],0
s3,1,0.841628,0.039924,[111 130] ; [107 130],[109.91213389 131.08786611] ; [108.08786611 128.91213389],0
