Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.009908,6.651312,[ 1 12] ; [8 7],[4.17857143 8.82142857] ; [ 4.82142857 10.17857143],0
v2,1,0.031308,4.635989,[3 9] ; [10  5],[5.77777778 6.22222222] ; [7.22222222 7.77777778],0
b5,1,0.048954,3.876923,[10  3] ; [6 9],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
d1,1,0.048954,3.876923,[ 1 12] ; [6 9],[3.25 9.75] ; [ 3.75 11.25],0
d5,1,0.062942,3.45812,[5 8] ; [11  4],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
p2,1,0.096759,2.758172,[9 4] ; [14  1],[10.67857143  2.32142857] ; [12.32142857  2.67857143],0
s8,1,0.102069,2.672919,[ 3 10] ; [8 7],[5.10714286 7.89285714] ; [5.89285714 9.10714286],0
s4,1,0.150449,2.067692,[ 2 11] ; [6 9],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
u2,1,0.184708,1.759334,[7 1] ; [4 3],[5.86666667 2.13333333] ; [5.13333333 1.86666667],0
r3,1,0.215869,1.531624,[10  3] ; [14  1],[11.14285714  1.85714286] ; [12.85714286  2.14285714],0
a6,1,0.228871,1.447863,[9 4] ; [7 8],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
a7,1,0.255623,1.292308,[8 5] ; [6 9],[6.5 6.5] ; [7.5 7.5],0
s3,1,0.275973,1.186813,[ 3 10] ; [6 8],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
n6,1,0.28315,1.151909,[7 6] ; [11  4],[8.35714286 4.64285714] ; [9.64285714 5.35714286],0
p9,1,0.303294,1.059655,[9 4] ; [12  2],[10.11111111  2.88888889] ; [10.88888889  3.11111111],0
b1,1,0.338939,0.91444,[10  3] ; [9 6],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
v3,1,0.338939,0.91444,[ 3 10] ; [6 9],[4.17857143 8.82142857] ; [ 4.82142857 10.17857143],0
v1,1,0.39033,0.737913,[4 9] ; [7 8],[5.10714286 7.89285714] ; [5.89285714 9.10714286],0
d3,1,0.431316,0.619277,[8 5] ; [7 8],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
a3,1,0.431316,0.619277,[5 8] ; [8 7],[6.03571429 6.96428571] ; [6.96428571 8.03571429],0
s5,1,0.468084,0.526496,[ 2 11] ; [ 4 11],[ 2.78571429 10.21428571] ; [ 3.21428571 11.78571429],0
p6,1,0.488462,0.479912,[6 7] ; [ 5 10],[5.10714286 7.89285714] ; [5.89285714 9.10714286],0
d4,1,0.5051,0.444205,[8 5] ; [11  4],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
p4,1,0.5051,0.444205,[8 5] ; [11  4],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
a4,1,0.549076,0.358974,[ 3 10] ; [ 5 10],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
v4,1,0.549076,0.358974,[10  3] ; [10  5],[9.28571429 3.71428571] ; [10.71428571  4.28571429],0
s2,1,0.585957,0.296703,[5 8] ; [ 4 10],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
n1,1,0.635256,0.225,[1 3] ; [2 3],[1.33333333 2.66666667] ; [1.66666667 3.33333333],0
b4,1,0.66171,0.191453,[5 8] ; [7 8],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
p3,1,0.704738,0.14359,[6 7] ; [8 7],[6.5 6.5] ; [7.5 7.5],0
r1,1,0.742787,0.107692,[6 7] ; [6 9],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
r4,1,0.742787,0.107692,[6 7] ; [6 9],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
p12,1,0.750469,0.101137,[ 2 11] ; [ 3 12],[ 2.32142857 10.67857143] ; [ 2.67857143 12.32142857],0
n5,1,0.777607,0.079772,[8 5] ; [10  5],[8.35714286 4.64285714] ; [9.64285714 5.35714286],0
s7,1,0.789561,0.071225,[4 8] ; [5 8],[4.32 7.68] ; [4.68 8.32],0
p7,1,0.826824,0.047863,[10  3] ; [11  4],[9.75 3.25] ; [11.25  3.75],0
u3,1,0.832662,0.044643,[3 5] ; [3 4],[3.2 4.8] ; [2.8 4.2],0
p5,1,0.84313,0.039161,[ 3 10] ; [ 3 12],[ 2.78571429 10.21428571] ; [ 3.21428571 11.78571429],0
n2,1,0.857714,0.032143,[3 1] ; [4 1],[3.11111111 0.88888889] ; [3.88888889 1.11111111],0
p11,1,0.877059,0.023932,[11  2] ; [13  2],[11.14285714  1.85714286] ; [12.85714286  2.14285714],0
a2,1,0.916299,0.011045,[ 1 12] ; [ 1 14],[ 0.92857143 12.07142857] ; [ 1.07142857 13.92857143],0
a1,1,0.916299,0.011045,[ 1 12] ; [ 1 14],[ 0.92857143 12.07142857] ; [ 1.07142857 13.92857143],0
p10,1,0.918011,0.010597,[10  3] ; [11  3],[10.11111111  2.88888889] ; [10.88888889  3.11111111],0
b2,1,0.929859,0.007748,[1 3] ; [3 8],[1.06666667 2.93333333] ; [2.93333333 8.06666667],0
b3,1,0.929859,0.007748,[1 3] ; [3 8],[1.06666667 2.93333333] ; [2.93333333 8.06666667],0
a5,1,0.933748,0.006911,[8 5] ; [9 6],[7.89285714 5.10714286] ; [9.10714286 5.89285714],0
s6,1,0.978351,0.000736,[7 6] ; [8 7],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
a8,1,1.0,0.0,[ 2 11] ; [ 2 11],[ 2. 11.] ; [ 2. 11.],0
