Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3.9e-05,16.91508,[ 5 22] ; [17  5],[12.12244898 14.87755102] ; [ 9.87755102 12.12244898],1
r3,1,0.001021,10.789211,[ 9 18] ; [17  4],[14.625 12.375] ; [11.375  9.625],0
s6,1,0.009402,6.744862,[ 2 25] ; [ 8 13],[ 5.625 21.375] ; [ 4.375 16.625],0
p10,1,0.010803,6.497366,[ 5 21] ; [12 10],[ 9.20833333 16.79166667] ; [ 7.79166667 14.20833333],0
r4,1,0.015839,5.820673,[ 3 24] ; [ 9 13],[ 6.6122449 20.3877551] ; [ 5.3877551 16.6122449],0
s7,1,0.038757,4.271485,[ 3 22] ; [ 8 13],[ 5.97826087 19.02173913] ; [ 5.02173913 15.97826087],0
s3,1,0.051981,3.776383,[ 6 20] ; [11 11],[ 9.20833333 16.79166667] ; [ 7.79166667 14.20833333],0
n3,1,0.07626,3.142857,[5 9] ; [6 2],[7. 7.] ; [4. 4.],0
n5,1,0.081652,3.031708,[13 14] ; [16  6],[15.97959184 11.02040816] ; [13.02040816  8.97959184],0
b4,1,0.112167,2.523424,[15 12] ; [17  5],[17.63265306  9.36734694] ; [14.36734694  7.63265306],0
p9,1,0.133357,2.252981,[ 8 18] ; [11 10],[10.5106383 15.4893617] ; [ 8.4893617 12.5106383],0
d5,1,0.135771,2.225247,[14 13] ; [16  6],[16.53061224 10.46938776] ; [13.46938776  8.53061224],0
s2,1,0.146169,2.111785,[ 3 24] ; [ 6 16],[ 4.95918367 22.04081633] ; [ 4.04081633 17.95918367],0
d4,1,0.181082,1.788724,[16 11] ; [17  5],[18.18367347  8.81632653] ; [14.81632653  7.18367347],0
v1,1,0.209576,1.574354,[ 8 19] ; [ 3 18],[ 6.1875 20.8125] ; [ 4.8125 16.1875],0
a2,1,0.237523,1.395233,[ 4 23] ; [ 1 21],[ 2.75510204 24.24489796] ; [ 2.24489796 19.75510204],0
a8,1,0.273845,1.197385,[ 3 24] ; [ 5 17],[ 4.40816327 22.59183673] ; [ 3.59183673 18.40816327],0
p2,1,0.275758,1.187879,[ 6 21] ; [ 8 14],[ 7.71428571 19.28571429] ; [ 6.28571429 15.71428571],0
v2,1,0.315624,1.006993,[ 5 21] ; [ 7 15],[ 6.5 19.5] ; [ 5.5 16.5],0
a4,1,0.326683,0.962001,[10 17] ; [ 5 16],[ 8.4375 18.5625] ; [ 6.5625 14.4375],0
b5,1,0.361755,0.83179,[10 17] ; [11 11],[11.57142857 15.42857143] ; [ 9.42857143 12.57142857],0
d1,1,0.3864,0.750239,[ 9 18] ; [10 12],[10.46938776 16.53061224] ; [ 8.53061224 13.46938776],0
s1,1,0.403775,0.697054,[ 3 24] ; [ 1 21],[ 2.20408163 24.79591837] ; [ 1.79591837 20.20408163],0
s5,1,0.439605,0.597312,[ 3 24] ; [ 4 17],[ 3.9375 23.0625] ; [ 3.0625 17.9375],0
n4,1,0.468475,0.525571,[17 10] ; [16  6],[18.18367347  8.81632653] ; [14.81632653  7.18367347],0
p7,1,0.476798,0.506178,[ 4 23] ; [ 5 17],[ 4.95918367 22.04081633] ; [ 4.04081633 17.95918367],0
a7,1,0.481728,0.494949,[15 12] ; [10 12],[13.7755102 13.2244898] ; [11.2244898 10.7755102],0
a5,1,0.516889,0.420096,[11 16] ; [11 11],[12.12244898 14.87755102] ; [ 9.87755102 12.12244898],0
s4,1,0.543215,0.369613,[ 4 23] ; [ 2 20],[ 3.30612245 23.69387755] ; [ 2.69387755 19.30612245],0
a6,1,0.612341,0.256779,[13 14] ; [ 9 13],[12.12244898 14.87755102] ; [ 9.87755102 12.12244898],0
u2,1,0.648077,0.208333,[ 2 10] ; [2 6],[2.4 9.6] ; [1.6 6.4],0
a3,1,0.674785,0.176056,[15 11] ; [14  8],[15.70833333 10.29166667] ; [13.29166667  8.70833333],0
b1,1,0.698322,0.150223,[15 12] ; [11 11],[14.32653061 12.67346939] ; [11.67346939 10.32653061],0
r1,1,0.782017,0.076558,[10 17] ; [ 9 13],[10.46938776 16.53061224] ; [ 8.53061224 13.46938776],0
p3,1,0.788532,0.07194,[ 3 24] ; [ 3 19],[ 3.30612245 23.69387755] ; [ 2.69387755 19.30612245],0
p6,1,0.792411,0.069264,[ 2 25] ; [ 2 19],[ 2.25 24.75] ; [ 1.75 19.25],0
n2,1,0.794625,0.067761,[7 7] ; [4 5],[6.69565217 7.30434783] ; [4.30434783 4.69565217],0
n1,1,0.794625,0.067761,[7 7] ; [4 5],[6.69565217 7.30434783] ; [4.30434783 4.69565217],0
b2,1,0.797004,0.066165,[ 9 10] ; [6 8],[ 8.63636364 10.36363636] ; [6.36363636 7.63636364],0
b3,1,0.797004,0.066165,[ 9 10] ; [6 8],[ 8.63636364 10.36363636] ; [6.36363636 7.63636364],0
d2,1,0.826666,0.047952,[12 15] ; [10 11],[12.375 14.625] ; [ 9.625 11.375],0
p8,1,0.864228,0.029239,[ 4 22] ; [ 3 19],[ 3.79166667 22.20833333] ; [ 3.20833333 18.79166667],0
r2,1,0.874788,0.024831,[15 11] ; [12  8],[15.26086957 10.73913043] ; [11.73913043  8.26086957],0
p1,1,0.906658,0.013749,[ 4 23] ; [ 3 19],[ 3.85714286 23.14285714] ; [ 3.14285714 18.85714286],0
d3,1,0.96121,0.002365,[10 17] ; [ 8 14],[ 9.91836735 17.08163265] ; [ 8.08163265 13.91836735],0
v3,1,0.975848,0.000917,[ 5 22] ; [ 4 18],[ 4.95918367 22.04081633] ; [ 4.04081633 17.95918367],0
