Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,49.878648,[ 30 150] ; [29 12],[ 48.05429864 131.94570136] ; [10.94570136 30.05429864],1
s8,1,0.000428,12.407618,[ 30 151] ; [17 24],[ 38.31981982 142.68018018] ; [ 8.68018018 32.31981982],1
s7,1,0.001841,9.701966,[ 34 132] ; [17 21],[ 41.5 124.5] ; [ 9.5 28.5],0
p12,1,0.018447,5.553226,[  4 174] ; [ 4 36],[  6.53211009 171.46788991] ; [ 1.46788991 38.53211009],0
v3,1,0.035476,4.422135,[ 58 116] ; [20 19],[ 63.71830986 110.28169014] ; [14.28169014 24.71830986],0
s5,1,0.036387,4.378865,[ 19 159] ; [ 9 30],[ 22.96774194 155.03225806] ; [ 5.03225806 33.96774194],0
s4,1,0.041694,4.147599,[ 10 171] ; [ 6 35],[ 13.04504505 167.95495495] ; [ 2.95495495 38.04504505],0
p2,1,0.078728,3.090975,[128  51] ; [34  6],[132.4109589  46.5890411] ; [29.5890411 10.4109589],0
p10,1,0.084985,2.966895,[124  56] ; [33  7],[128.45454545  51.54545455] ; [28.54545455 11.45454545],0
n4,1,0.088378,2.903677,[136  44] ; [36  5],[140.09049774  39.90950226] ; [31.90950226  9.09049774],0
p6,1,0.110123,2.552458,[ 40 135] ; [14 26],[ 43.95348837 131.04651163] ; [10.04651163 29.95348837],0
b3,1,0.139701,2.181253,[47 65] ; [13  9],[50.14925373 61.85074627] ; [ 9.85074627 12.14925373],0
b2,1,0.139701,2.181253,[47 65] ; [13  9],[50.14925373 61.85074627] ; [ 9.85074627 12.14925373],0
s1,1,0.16539,1.924242,[  5 173] ; [ 3 38],[  6.50228311 171.49771689] ; [ 1.49771689 39.50228311],0
a1,1,0.172443,1.861574,[  8 173] ; [ 4 37],[  9.78378378 171.21621622] ; [ 2.21621622 38.78378378],0
v2,1,0.173532,1.85216,[93 82] ; [26 14],[96.86046512 78.13953488] ; [22.13953488 17.86046512],0
r4,1,0.174991,1.839657,[142  39] ; [36  5],[145.12612613  35.87387387] ; [32.87387387  8.12612613],0
u1,1,0.191327,1.70737,[ 25 156] ; [ 9 32],[ 27.72072072 153.27927928] ; [ 6.27927928 34.72072072],0
p3,1,0.194715,1.681574,[ 76 103] ; [21 18],[79.64678899 99.35321101] ; [17.35321101 21.64678899],0
a6,1,0.195462,1.675963,[137  44] ; [27 14],[133.71171171  47.28828829] ; [30.28828829 10.71171171],0
p5,1,0.230971,1.434869,[ 14 166] ; [ 1 39],[ 12.27272727 167.72727273] ; [ 2.72727273 37.27272727],0
b1,1,0.253569,1.303533,[ 75 106] ; [21 20],[ 78.27027027 102.72972973] ; [17.72972973 23.27027027],0
a8,1,0.261554,1.260511,[ 15 147] ; [ 6 33],[ 16.92537313 145.07462687] ; [ 4.07462687 34.92537313],0
