Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.001695,9.853104,[12 14] ; [10 56],[ 6.2173913 19.7826087] ; [15.7826087 50.2173913],0
p10,1,0.006126,7.5129,[22  4] ; [35 30],[16.28571429  9.71428571] ; [40.71428571 24.28571429],0
p9,1,0.007506,7.147636,[24  2] ; [42 23],[18.85714286  7.14285714] ; [47.14285714 17.85714286],0
p2,1,0.009874,6.65757,[19  7] ; [29 38],[13.41935484 12.58064516] ; [34.58064516 32.41935484],0
s4,1,0.018363,5.561137,[ 1 25] ; [17 50],[ 5.03225806 20.96774194] ; [12.96774194 54.03225806],0
n6,1,0.018546,5.543865,[23  3] ; [42 24],[18.36956522  7.63043478] ; [46.63043478 19.36956522],0
p3,1,0.020315,5.384604,[ 9 17] ; [ 9 58],[ 5.03225806 20.96774194] ; [12.96774194 54.03225806],0
v2,1,0.029855,4.717645,[12 13] ; [15 47],[ 7.75862069 17.24137931] ; [19.24137931 42.75862069],0
v4,1,0.076167,3.144845,[24  2] ; [51 16],[20.96774194  5.03225806] ; [54.03225806 12.96774194],0
s6,1,0.091472,2.848273,[15 10] ; [27 40],[11.41304348 13.58695652] ; [30.58695652 36.41304348],0
p5,1,0.100743,2.693734,[ 3 23] ; [ 2 65],[ 1.39784946 24.60215054] ; [ 3.60215054 63.39784946],0
v3,1,0.108392,2.577515,[10 15] ; [15 50],[ 6.94444444 18.05555556] ; [18.05555556 46.94444444],0
a4,1,0.113698,2.502055,[ 2 23] ; [15 52],[ 4.61956522 20.38043478] ; [12.38043478 54.61956522],0
r4,1,0.121146,2.40244,[21  5] ; [43 24],[17.89247312  8.10752688] ; [46.10752688 20.89247312],0
a8,1,0.168974,1.892021,[ 1 22] ; [10 55],[ 2.875 20.125] ; [ 8.125 56.875],0
u2,1,0.174884,1.840572,[9 7] ; [13 23],[6.76923077 9.23076923] ; [15.23076923 20.76923077],0
b4,1,0.184106,1.764161,[19  7] ; [39 28],[16.21505376  9.78494624] ; [41.78494624 25.21505376],0
p12,1,0.193612,1.689913,[ 3 22] ; [ 3 64],[ 1.63043478 23.36956522] ; [ 4.36956522 62.63043478],0
v1,1,0.196713,1.666612,[12 13] ; [22 44],[ 9.34065934 15.65934066] ; [24.65934066 41.34065934],0
