Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.848027,[68  2] ; [6 5],[63.95061728  6.04938272] ; [10.04938272  0.95061728],1
r4,1,6e-06,20.547891,[61  9] ; [3 8],[55.30864198 14.69135802] ; [8.69135802 2.30864198],1
r1,1,0.000717,11.44498,[58 12] ; [4 7],[53.58024691 16.41975309] ; [8.41975309 2.58024691],1
v4,1,0.009192,6.785213,[64  6] ; [7 4],[61.35802469  8.64197531] ; [9.64197531 1.35802469],0
a7,1,0.021824,5.25974,[50 20] ; [4 7],[46.66666667 23.33333333] ; [7.33333333 3.66666667],0
a5,1,0.033513,4.519391,[43 27] ; [3 8],[39.75308642 30.24691358] ; [6.24691358 4.75308642],0
s8,1,0.038954,4.262865,[29 41] ; [ 1 10],[25.92592593 44.07407407] ; [4.07407407 6.92592593],0
p2,1,0.096422,2.763754,[44 26] ; [4 7],[41.48148148 28.51851852] ; [6.51851852 4.48148148],0
s4,1,0.097799,2.741067,[15 53] ; [5 6],[17.21518987 50.78481013] ; [2.78481013 8.21518987],0
n6,1,0.111865,2.527681,[54 16] ; [6 5],[51.85185185 18.14814815] ; [8.14814815 2.85185185],0
b4,1,0.163075,1.945476,[47 23] ; [5 6],[44.9382716 25.0617284] ; [7.0617284 3.9382716],0
u2,1,0.243839,1.35826,[14 13] ; [4 1],[15.1875 11.8125] ; [2.8125 2.1875],0
n3,1,0.294644,1.09828,[13  7] ; [1 2],[12.17391304  7.82608696] ; [1.82608696 1.17391304],0
a4,1,0.314,1.013774,[23 46] ; [2 9],[21.5625 47.4375] ; [3.4375 7.5625],0
d5,1,0.334185,0.932612,[54 16] ; [7 4],[52.71604938 17.28395062] ; [8.28395062 2.71604938],0
a8,1,0.335115,0.929032,[ 6 56] ; [2 8],[ 6.88888889 55.11111111] ; [1.11111111 8.88888889],0
d1,1,0.35287,0.863111,[36 34] ; [4 7],[34.56790123 35.43209877] ; [5.43209877 5.56790123],0
n4,1,0.358951,0.841558,[48 22] ; [6 5],[46.66666667 23.33333333] ; [7.33333333 3.66666667],0
s7,1,0.378445,0.775746,[30 37] ; [3 7],[28.71428571 38.28571429] ; [4.28571429 5.71428571],0
a2,1,0.386555,0.749752,[14 56] ; [ 1 10],[12.96296296 57.03703704] ; [2.03703704 8.96296296],0
s5,1,0.404346,0.695363,[21 48] ; [2 9],[19.8375 49.1625] ; [3.1625 7.8375],0
b3,1,0.406753,0.68827,[12 34] ; [1 7],[11.07407407 34.92592593] ; [1.92592593 6.07407407],0
b2,1,0.406753,0.68827,[12 34] ; [1 7],[11.07407407 34.92592593] ; [1.92592593 6.07407407],0
b1,1,0.41947,0.651801,[42 28] ; [8 3],[43.20987654 26.79012346] ; [6.79012346 4.20987654],0
n5,1,0.472583,0.515929,[46 24] ; [6 5],[44.9382716 25.0617284] ; [7.0617284 3.9382716],0
s3,1,0.494106,0.467574,[45 24] ; [6 5],[43.9875 25.0125] ; [7.0125 3.9875],0
p10,1,0.49665,0.462087,[19 49] ; [2 9],[18.07594937 49.92405063] ; [2.92405063 8.07594937],0
v2,1,0.519397,0.415091,[30 38] ; [6 5],[30.98734177 37.01265823] ; [5.01265823 5.98734177],0
a6,1,0.525406,0.403268,[39 31] ; [5 6],[38.02469136 31.97530864] ; [5.97530864 5.02469136],0
d3,1,0.534015,0.386746,[45 25] ; [6 5],[44.07407407 25.92592593] ; [6.92592593 4.07407407],0
p4,1,0.552397,0.35304,[38 31] ; [5 6],[37.0875 31.9125] ; [5.9125 5.0875],0
d4,1,0.581878,0.303209,[56 14] ; [8 3],[55.30864198 14.69135802] ; [8.69135802 2.30864198],0
u3,1,0.586287,0.29618,[19  9] ; [4 1],[19.51515152  8.48484848] ; [3.48484848 1.51515152],0
s2,1,0.594908,0.282745,[38 31] ; [7 4],[38.8125 30.1875] ; [6.1875 4.8125],0
v1,1,0.732148,0.117149,[28 42] ; [5 6],[28.51851852 41.48148148] ; [4.48148148 6.51851852],0
a3,1,0.732148,0.117149,[42 28] ; [6 5],[41.48148148 28.51851852] ; [6.51851852 4.48148148],0
p8,1,0.75062,0.101011,[29 41] ; [4 7],[28.51851852 41.48148148] ; [4.48148148 6.51851852],0
