Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7e-06,20.306795,[220  26] ; [75 32],[205.58073654  40.41926346] ; [89.41926346 17.58073654],1
v1,1,2.9e-05,17.497534,[158  83] ; [45 63],[140.18051576 100.81948424] ; [62.81948424 45.18051576],1
n6,1,0.000999,10.830338,[236  13] ; [91 17],[228.07563025  20.92436975] ; [98.92436975  9.07563025],1
s3,1,0.001031,10.771582,[200  47] ; [70 38],[187.85915493  59.14084507] ; [82.14084507 25.85915493],0
v3,1,0.001051,10.735565,[131 111] ; [38 70],[116.85142857 125.14857143] ; [52.14857143 55.85142857],0
s2,1,0.001085,10.6767,[197  52] ; [69 41],[184.49582173  64.50417827] ; [81.50417827 28.49582173],0
p9,1,0.003166,8.708981,[231  18] ; [89 19],[223.19327731  25.80672269] ; [96.80672269 11.19327731],0
p10,1,0.006332,7.453245,[221  27] ; [86 24],[212.67039106  35.32960894] ; [94.32960894 15.67039106],0
d1,1,0.011972,6.31508,[175  75] ; [62 48],[164.58333333  85.41666667] ; [72.41666667 37.58333333],0
n5,1,0.014671,5.955612,[226  23] ; [89 20],[219.09217877  29.90782123] ; [95.90782123 13.09217877],0
v2,1,0.016175,5.783788,[159  86] ; [56 53],[148.79943503  96.20056497] ; [66.20056497 42.79943503],0
d5,1,0.016402,5.759243,[217  32] ; [84 25],[209.3547486  39.6452514] ; [91.6452514 17.3547486],0
a3,1,0.017433,5.652256,[215  34] ; [83 26],[207.26815642  41.73184358] ; [90.73184358 18.26815642],0
p12,1,0.02953,4.736434,[ 33 215] ; [  6 103],[ 27.09243697 220.90756303] ; [11.90756303 97.09243697],0
p6,1,0.039014,4.260269,[127 118] ; [44 66],[118.01408451 126.98591549] ; [52.98591549 57.01408451],0
p5,1,0.042996,4.095567,[ 51 195] ; [13 97],[ 44.2247191 201.7752809] ; [19.7752809 90.2247191],0
s5,1,0.043104,4.091304,[115 121] ; [40 68],[106.3372093 129.6627907] ; [48.6627907 59.3372093],0
u4,1,0.068338,3.322497,[ 12 238] ; [  1 109],[  9.02777778 240.97222222] ; [  3.97222222 106.02777778],0
p8,1,0.078271,3.100452,[146  99] ; [54 55],[138.4180791 106.5819209] ; [61.5819209 47.4180791],0
u2,1,0.078311,3.099604,[24 11] ; [12 14],[20.6557377 14.3442623] ; [15.3442623 10.6557377],0
r4,1,0.089597,2.881596,[232  18] ; [96 14],[227.77777778  22.22222222] ; [100.22222222   9.77777778],0
p7,1,0.095581,2.777778,[176  66] ; [69 39],[169.4  72.6] ; [75.6 32.4],0
a5,1,0.104152,2.640788,[209  41] ; [84 26],[203.47222222  46.52777778] ; [89.52777778 20.47222222],0
p11,1,0.104152,2.640788,[209  41] ; [84 26],[203.47222222  46.52777778] ; [89.52777778 20.47222222],0
a7,1,0.160134,1.97296,[163  87] ; [80 30],[168.75  81.25] ; [74.25 35.75],0
p4,1,0.181603,1.784461,[174  75] ; [69 41],[168.54317549  80.45682451] ; [74.45682451 35.54317549],0
u3,1,0.209495,1.574916,[26  9] ; [16 11],[23.70967742 11.29032258] ; [18.29032258  8.70967742],0
d4,1,0.210842,1.565633,[218  31] ; [90 19],[214.22346369  34.77653631] ; [93.77653631 15.22346369],0
r1,1,0.224889,1.472898,[216  33] ; [90 20],[212.23955432  36.76044568] ; [93.76044568 16.23955432],0
b2,1,0.252018,1.312084,[ 82 107] ; [26 47],[ 77.90839695 111.09160305] ; [30.09160305 42.90839695],0
b3,1,0.252018,1.312084,[ 82 107] ; [26 47],[ 77.90839695 111.09160305] ; [30.09160305 42.90839695],0
v4,1,0.267902,1.227457,[242   6] ; [103   5],[240.33707865   7.66292135] ; [104.66292135   3.33707865],0
s1,1,0.275279,1.190249,[ 13 235] ; [  9 100],[ 15.28291317 232.71708683] ; [  6.71708683 102.28291317],0
d2,1,0.283152,1.151898,[146 104] ; [57 52],[141.36490251 108.63509749] ; [61.63509749 47.36490251],0
u1,1,0.332254,0.940091,[ 69 181] ; [25 85],[ 65.27777778 184.72222222] ; [28.72222222 81.27777778],0
n1,1,0.357514,0.846606,[27 22] ; [10 13],[25.18055556 23.81944444] ; [11.81944444 11.18055556],0
p3,1,0.38104,0.767344,[150 100] ; [60 49],[146.23955432 103.76044568] ; [63.76044568 45.23955432],0
b4,1,0.381716,0.765169,[133 117] ; [64 46],[136.80555556 113.19444444] ; [60.19444444 49.80555556],0
r2,1,0.397089,0.717125,[238   7] ; [103   5],[236.6713881   8.3286119] ; [104.3286119   3.6713881],0
n2,1,0.499343,0.456332,[37 12] ; [19  4],[38.11111111 10.88888889] ; [17.88888889  5.11111111],0
n3,1,0.593712,0.284585,[35 14] ; [15  8],[34.02777778 14.97222222] ; [15.97222222  7.02777778],0
p2,1,0.662415,0.190603,[213  36] ; [96 14],[214.32033426  34.67966574] ; [94.67966574 15.32033426],0
b1,1,0.70734,0.140948,[103 147] ; [43 67],[101.38888889 148.61111111] ; [44.61111111 65.38888889],0
a6,1,0.707722,0.140563,[165  84] ; [70 39],[163.44972067  85.55027933] ; [71.55027933 37.44972067],0
a4,1,0.726535,0.122317,[130 120] ; [55 55],[128.47222222 121.52777778] ; [56.52777778 53.47222222],0
s4,1,0.831405,0.045326,[ 45 203] ; [21 89],[ 45.72067039 202.27932961] ; [20.27932961 89.72067039],0
a8,1,0.836021,0.042843,[ 41 184] ; [19 80],[ 41.66666667 183.33333333] ; [18.33333333 80.66666667],0
d3,1,0.865059,0.028879,[179  71] ; [79 30],[179.66573816  70.33426184] ; [78.33426184 30.66573816],0
a1,1,0.878482,0.023377,[ 17 233] ; [  7 103],[ 16.66666667 233.33333333] ; [  7.33333333 102.66666667],0
