Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.2e-05,16.372186,[37 16] ; [48 82],[24.61748634 28.38251366] ; [60.38251366 69.61748634],1
s6,1,0.000271,13.261254,[42 11] ; [65 65],[30.98907104 22.01092896] ; [76.01092896 53.98907104],1
p12,1,0.00283,8.913659,[ 5 48] ; [  1 129],[ 1.73770492 51.26229508] ; [  4.26229508 125.73770492],0
s8,1,0.004251,8.173185,[29 24] ; [42 89],[20.45108696 32.54891304] ; [50.54891304 80.45108696],0
s3,1,0.006657,7.363135,[34 17] ; [58 73],[25.78021978 25.21978022] ; [66.21978022 64.78021978],0
s7,1,0.007031,7.265087,[32 21] ; [48 77],[23.82022472 29.17977528] ; [56.17977528 68.82022472],0
b5,1,0.036762,4.361392,[26 27] ; [86 45],[32.26086957 20.73913043] ; [79.73913043 51.26086957],0
s4,1,0.052042,3.774412,[12 41] ; [ 15 116],[ 7.77717391 45.22282609] ; [ 19.22282609 111.77717391],0
p7,1,0.053665,3.723104,[34 17] ; [65 63],[28.20670391 22.79329609] ; [70.79329609 57.20670391],0
d3,1,0.067907,3.332901,[28 25] ; [88 43],[33.41304348 19.58695652] ; [82.58695652 48.41304348],0
u1,1,0.071096,3.257526,[11 42] ; [ 14 117],[ 7.20108696 45.79891304] ; [ 17.79891304 113.20108696],0
b3,1,0.098196,2.734593,[16 18] ; [21 48],[12.21359223 21.78640777] ; [24.78640777 44.21359223],0
b2,1,0.098196,2.734593,[16 18] ; [21 48],[12.21359223 21.78640777] ; [24.78640777 44.21359223],0
r1,1,0.11158,2.531695,[47  6] ; [103  28],[43.20652174  9.79347826] ; [106.79347826  24.20652174],0
d2,1,0.118159,2.441552,[26 26] ; [49 82],[21.31147541 30.68852459] ; [53.68852459 77.31147541],0
a5,1,0.119813,2.419765,[41 12] ; [86 45],[36.58152174 16.41847826] ; [90.41847826 40.58152174],0
n1,1,0.123658,2.37037,[5 7] ; [ 7 29],[3. 9.] ; [ 9. 27.],0
p3,1,0.124197,2.363577,[19 34] ; [32 98],[14.7704918 38.2295082] ; [36.2295082 93.7704918],0
a6,1,0.129101,2.303287,[30 22] ; [91 40],[34.38251366 17.61748634] ; [86.61748634 44.38251366],0
p5,1,0.144263,2.131883,[ 2 51] ; [  1 130],[ 0.86413043 52.13586957] ; [  2.13586957 128.86413043],0
a8,1,0.181864,1.782328,[10 35] ; [ 17 107],[ 7.18934911 37.81065089] ; [ 19.81065089 104.18934911],0
p1,1,0.208533,1.581582,[ 5 48] ; [  6 125],[ 3.16847826 49.83152174] ; [  7.83152174 123.16847826],0
b1,1,0.21052,1.567849,[23 30] ; [44 87],[19.29891304 33.70108696] ; [47.70108696 83.29891304],0
v3,1,0.214574,1.540292,[23 30] ; [68 59],[26.79444444 26.20555556] ; [64.20555556 62.79444444],0
p9,1,0.230164,1.439849,[44  8] ; [98 30],[41.02222222 10.97777778] ; [100.97777778  27.02222222],0
u3,1,0.239763,1.381985,[9 6] ; [16 22],[7.0754717 7.9245283] ; [17.9245283 20.0754717],0
p10,1,0.240377,1.378382,[43 10] ; [94 35],[39.8956044 13.1043956] ; [97.1043956 31.8956044],0
a7,1,0.288084,1.128553,[34 18] ; [96 35],[36.93989071 15.06010929] ; [93.06010929 37.93989071],0
n2,1,0.348443,0.879121,[10  2] ; [25 11],[8.75 3.25] ; [26.25  9.75],0
u2,1,0.407431,0.686284,[5 9] ; [18 19],[6.31372549 7.68627451] ; [16.68627451 20.31372549],0
n6,1,0.449027,0.573108,[43  8] ; [104  27],[41.19230769  9.80769231] ; [105.80769231  25.19230769],0
v4,1,0.453436,0.562048,[49  2] ; [122   9],[47.91758242  3.08241758] ; [123.08241758   7.91758242],0
p11,1,0.51059,0.432858,[38 15] ; [100  31],[39.75 13.25] ; [98.25 32.75],0
r3,1,0.523878,0.406252,[50  1] ; [125   5],[49.30939227  1.69060773] ; [125.69060773   4.30939227],0
p8,1,0.543387,0.369299,[18 32] ; [40 88],[16.29213483 33.70786517] ; [41.70786517 86.29213483],0
r4,1,0.545443,0.365544,[46  7] ; [109  22],[44.64673913  8.35326087] ; [110.35326087  20.64673913],0
b4,1,0.561841,0.336527,[34 19] ; [78 53],[32.26086957 20.73913043] ; [79.73913043 51.26086957],0
a4,1,0.575922,0.312874,[23 30] ; [51 80],[21.31521739 31.68478261] ; [52.68478261 78.31521739],0
d4,1,0.577703,0.309963,[45  7] ; [109  22],[43.75956284  8.24043716] ; [110.24043716  20.75956284],0
d5,1,0.623136,0.241485,[43 10] ; [102  29],[41.76630435 11.23369565] ; [103.23369565  27.76630435],0
n4,1,0.623911,0.240409,[35 17] ; [93 38],[36.3715847 15.6284153] ; [91.6284153 39.3715847],0
p6,1,0.637428,0.222122,[11 41] ; [ 23 104],[ 9.87709497 42.12290503] ; [ 24.12290503 102.87709497],0
n3,1,0.713858,0.134454,[9 3] ; [25 11],[8.5 3.5] ; [25.5 10.5],0
p2,1,0.723573,0.125095,[39 14] ; [93 38],[38.02173913 14.97826087] ; [93.97826087 37.02173913],0
a1,1,0.758349,0.094648,[ 3 50] ; [  6 125],[ 2.5923913 50.4076087] ; [  6.4076087 124.5923913],0
a3,1,0.777948,0.07952,[38 14] ; [93 38],[37.22404372 14.77595628] ; [93.77595628 37.22404372],0
a2,1,0.833776,0.044042,[10 43] ; [ 23 108],[ 9.50543478 43.49456522] ; [ 23.49456522 107.50543478],0
n5,1,0.837708,0.041954,[33 18] ; [82 48],[32.40331492 18.59668508] ; [82.59668508 47.40331492],0
d1,1,0.866119,0.028423,[28 25] ; [71 60],[28.51630435 24.48369565] ; [70.48369565 60.51630435],0
v1,1,0.986699,0.000278,[29 23] ; [71 56],[29.05027933 22.94972067] ; [70.94972067 56.05027933],0
