Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.002028,9.52381,[7 3] ; [ 8 32],[3. 7.] ; [12. 28.],0
p6,1,0.00801,7.03125,[5 5] ; [ 5 35],[2. 8.] ; [ 8. 32.],0
r4,1,0.020638,5.357143,[6 4] ; [ 9 31],[3. 7.] ; [12. 28.],0
b5,1,0.047537,3.926282,[8 2] ; [18 22],[5.2 4.8] ; [20.8 19.2],0
s2,1,0.083214,3.000992,[5 5] ; [ 9 31],[2.8 7.2] ; [11.2 28.8],0
a3,1,0.086847,2.931862,[9 1] ; [24 15],[6.73469388 3.26530612] ; [26.26530612 12.73469388],0
p2,1,0.101438,2.682793,[7 3] ; [16 23],[4.69387755 5.30612245] ; [18.30612245 20.69387755],0
n6,1,0.101594,2.680342,[8 2] ; [20 19],[5.71428571 4.28571429] ; [22.28571429 16.71428571],0
d1,1,0.109052,2.567912,[6 4] ; [13 27],[3.8 6.2] ; [15.2 24.8],0
p8,1,0.122576,2.384094,[6 4] ; [13 26],[3.87755102 6.12244898] ; [15.12244898 23.87755102],0
s8,1,0.135963,2.223065,[4 6] ; [ 7 32],[2.24489796 7.75510204] ; [ 8.75510204 30.24489796],0
d5,1,0.148915,2.083333,[8 2] ; [22 18],[6. 4.] ; [24. 16.],0
p7,1,0.166739,1.912021,[5 5] ; [10 27],[3.19148936 6.80851064] ; [11.80851064 25.19148936],0
s5,1,0.185326,1.754386,[4 6] ; [ 8 32],[2.4 7.6] ; [ 9.6 30.4],0
p3,1,0.189791,1.719236,[5 5] ; [11 28],[3.26530612 6.73469388] ; [12.73469388 26.26530612],0
a2,1,0.238593,1.388889,[2 8] ; [ 3 37],[1. 9.] ; [ 4. 36.],0
n5,1,0.24647,1.343202,[9 1] ; [29 11],[7.6 2.4] ; [30.4  9.6],0
s6,1,0.254371,1.299137,[5 5] ; [12 27],[3.46938776 6.53061224] ; [13.53061224 25.46938776],0
d4,1,0.256372,1.288245,[7 3] ; [20 20],[5.4 4.6] ; [21.6 18.4],0
v3,1,0.259132,1.273389,[4 6] ; [ 9 31],[2.6 7.4] ; [10.4 29.6],0
r1,1,0.320645,0.986312,[6 4] ; [17 23],[4.6 5.4] ; [18.4 21.6],0
n1,1,0.363698,0.825084,[4 1] ; [14 10],[3.10344828 1.89655172] ; [14.89655172  9.10344828],0
b4,1,0.390008,0.738916,[7 3] ; [22 18],[5.8 4.2] ; [23.2 16.8],0
b1,1,0.390008,0.738916,[7 3] ; [22 18],[5.8 4.2] ; [23.2 16.8],0
p9,1,0.400319,0.707368,[7 3] ; [21 17],[5.83333333 4.16666667] ; [22.16666667 15.83333333],0
s7,1,0.42608,0.633485,[4 6] ; [10 27],[2.9787234 7.0212766] ; [11.0212766 25.9787234],0
p11,1,0.470486,0.520833,[5 5] ; [15 25],[4. 6.] ; [16. 24.],0
d3,1,0.4795,0.5,[6 4] ; [19 21],[5. 5.] ; [20. 20.],0
p5,1,0.562705,0.335043,[2 8] ; [ 5 34],[1.42857143 8.57142857] ; [ 5.57142857 33.42857143],0
s4,1,0.562834,0.334821,[1 9] ; [ 7 33],[1.6 8.4] ; [ 6.4 33.6],0
a4,1,0.615228,0.252632,[4 6] ; [12 26],[3.33333333 6.66666667] ; [12.66666667 25.33333333],0
a6,1,0.670379,0.181159,[4 6] ; [19 21],[4.6 5.4] ; [18.4 21.6],0
p1,1,0.699676,0.14881,[2 8] ; [ 6 34],[1.6 8.4] ; [ 6.4 33.6],0
d2,1,0.727054,0.121834,[4 6] ; [18 21],[4.48979592 5.51020408] ; [17.51020408 21.48979592],0
a5,1,0.768278,0.086806,[6 4] ; [26 14],[6.4 3.6] ; [25.6 14.4],0
p10,1,0.77572,0.081169,[6 4] ; [22 18],[5.6 4.4] ; [22.4 17.6],0
s3,1,0.776352,0.0807,[4 6] ; [13 24],[3.61702128 6.38297872] ; [13.38297872 23.61702128],0
s1,1,0.827743,0.047348,[1 9] ; [ 5 35],[1.2 8.8] ; [ 4.8 35.2],0
v1,1,0.884175,0.021222,[4 6] ; [15 25],[3.8 6.2] ; [15.2 24.8],0
n3,1,0.886731,0.02029,[3 2] ; [13 10],[2.85714286 2.14285714] ; [13.14285714  9.85714286],0
a7,1,0.887448,0.020032,[5 5] ; [21 19],[5.2 4.8] ; [20.8 19.2],0
b2,1,0.98101,0.000567,[3 5] ; [10 17],[2.97142857 5.02857143] ; [10.02857143 16.97142857],0
b3,1,0.98101,0.000567,[3 5] ; [10 17],[2.97142857 5.02857143] ; [10.02857143 16.97142857],0
n4,1,1.0,0.0,[7 3] ; [28 12],[7. 3.] ; [28. 12.],0
