Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,22.020916,[ 61 100] ; [44 16],[76.49321267 84.50678733] ; [28.50678733 31.49321267],1
p2,1,5e-06,20.846569,[104  58] ; [57  3],[117.48648649  44.51351351] ; [43.51351351 16.48648649],1
p7,1,6e-06,20.585637,[71 90] ; [47 13],[85.9638009 75.0361991] ; [32.0361991 27.9638009],1
p8,1,0.000303,13.053619,[63 97] ; [40 20],[74.90909091 85.09090909] ; [28.09090909 31.90909091],1
p3,1,0.000445,12.334584,[ 57 104] ; [37 23],[68.47963801 92.52036199] ; [25.52036199 34.47963801],1
s7,1,0.001111,10.633353,[ 28 123] ; [23 34],[ 37.02403846 113.97596154] ; [13.97596154 43.02403846],0
s8,1,0.001418,10.182093,[ 27 135] ; [22 38],[ 35.75675676 126.24324324] ; [13.24324324 46.75675676],0
p9,1,0.003733,8.409464,[112  45] ; [54  6],[120.10138249  36.89861751] ; [45.89861751 14.10138249],0
b3,1,0.004122,8.229431,[37 62] ; [24 13],[44.40441176 54.59558824] ; [16.59558824 20.40441176],0
b2,1,0.004122,8.229431,[37 62] ; [24 13],[44.40441176 54.59558824] ; [16.59558824 20.40441176],0
v3,1,0.019747,5.434156,[ 52 107] ; [29 29],[59.35023041 99.64976959] ; [21.64976959 36.35023041],0
v1,1,0.022748,5.18762,[68 91] ; [36 24],[75.50684932 83.49315068] ; [28.49315068 31.50684932],0
p12,1,0.027335,4.869541,[  2 159] ; [ 4 56],[  4.37104072 156.62895928] ; [ 1.62895928 58.37104072],0
u1,1,0.043622,4.07115,[ 16 146] ; [12 48],[ 20.43243243 141.56756757] ; [ 7.56756757 52.43243243],0
v2,1,0.058887,3.568465,[71 84] ; [35 23],[77.13615023 77.86384977] ; [28.86384977 29.13615023],0
a7,1,0.072837,3.217898,[100  61] ; [45 15],[105.63348416  55.36651584] ; [39.36651584 20.63348416],0
a3,1,0.08508,2.965079,[103  58] ; [45 14],[108.30909091  52.69090909] ; [39.69090909 19.30909091],0
n3,1,0.094852,2.79004,[31 19] ; [12  2],[33.59375 16.40625] ; [9.40625 4.59375],0
d1,1,0.10352,2.650454,[80 82] ; [37 23],[85.37837838 76.62162162] ; [31.62162162 28.37837838],0
a1,1,0.105699,2.617372,[ 12 150] ; [ 1 59],[  9.48648649 152.51351351] ; [ 3.51351351 56.48648649],0
r4,1,0.125284,2.349993,[119  43] ; [50 10],[123.32432432  38.67567568] ; [45.67567568 14.32432432],0
p10,1,0.161989,1.955556,[116  44] ; [49 11],[120.  40.] ; [45. 15.],0
d3,1,0.184594,1.760244,[91 71] ; [39 20],[95.29411765 66.70588235] ; [34.70588235 24.29411765],0
n4,1,0.189474,1.721704,[131  31] ; [53  7],[134.27027027  27.72972973] ; [49.72972973 10.27027027],0
s5,1,0.249596,1.325562,[ 18 141] ; [10 48],[ 20.51612903 138.48387097] ; [ 7.48387097 50.51612903],0
n6,1,0.253538,1.303704,[128  32] ; [52  8],[130.90909091  29.09090909] ; [49.09090909 10.90909091],0
r3,1,0.292102,1.10991,[132  28] ; [53  7],[134.54545455  25.45454545] ; [50.45454545  9.54545455],0
r2,1,0.338081,0.917696,[138  21] ; [54  5],[140.03669725  18.96330275] ; [51.96330275  7.03669725],0
p5,1,0.356393,0.850563,[  8 151] ; [ 5 55],[  9.43835616 149.56164384] ; [ 3.56164384 56.43835616],0
p11,1,0.357345,0.847204,[117  45] ; [47 13],[119.67567568  42.32432432] ; [44.32432432 15.67567568],0
s4,1,0.424451,0.63796,[ 11 151] ; [ 6 54],[ 12.40540541 149.59459459] ; [ 4.59459459 55.40540541],0
b1,1,0.42529,0.635651,[69 93] ; [22 38],[66.40540541 95.59459459] ; [24.59459459 35.40540541],0
u3,1,0.451806,0.566116,[26 33] ; [ 5 10],[24.71621622 34.28378378] ; [6.28378378 8.71621622],0
b5,1,0.471569,0.518298,[83 79] ; [34 26],[85.37837838 76.62162162] ; [31.62162162 28.37837838],0
p1,1,0.494048,0.467699,[ 14 148] ; [ 7 53],[ 15.32432432 146.67567568] ; [ 5.67567568 54.32432432],0
r1,1,0.514569,0.424764,[108  53] ; [43 17],[110.00452489  50.99547511] ; [40.99547511 19.00452489],0
s2,1,0.530867,0.392732,[ 31 128] ; [14 46],[ 32.67123288 126.32876712] ; [12.32876712 47.67123288],0
a8,1,0.566138,0.329187,[ 19 129] ; [ 5 46],[ 17.84924623 130.15075377] ; [ 6.15075377 44.84924623],0
s3,1,0.578064,0.309375,[ 42 118] ; [18 42],[ 43.63636364 116.36363636] ; [16.36363636 43.63636364],0
d2,1,0.690186,0.158884,[79 80] ; [28 32],[77.68493151 81.31506849] ; [29.31506849 30.68493151],0
b4,1,0.693791,0.155012,[87 75] ; [34 26],[88.2972973 73.7027027] ; [32.7027027 27.2972973],0
n1,1,0.728809,0.120208,[20 29] ; [6 7],[20.5483871 28.4516129] ; [5.4516129 7.5483871],0
d5,1,0.746222,0.104734,[118  44] ; [45 15],[118.94594595  43.05405405] ; [44.05405405 15.94594595],0
u2,1,0.804203,0.06146,[25 33] ; [7 8],[25.42465753 32.57534247] ; [6.57534247 8.42465753],0
a6,1,0.838509,0.041535,[113  49] ; [41 19],[112.37837838  49.62162162] ; [41.62162162 18.37837838],0
a5,1,0.885802,0.020626,[115  47] ; [42 18],[114.56756757  47.43243243] ; [42.43243243 17.56756757],0
a4,1,0.898329,0.016326,[74 87] ; [27 33],[73.57918552 87.42081448] ; [27.42081448 32.57918552],0
d4,1,0.901629,0.015278,[116  44] ; [44 16],[116.36363636  43.63636364] ; [43.63636364 16.36363636],0
a2,1,0.912424,0.012096,[ 34 128] ; [13 47],[ 34.2972973 127.7027027] ; [12.7027027 47.2972973],0
n2,1,0.951172,0.00375,[36 15] ; [10  4],[36.09230769 14.90769231] ; [9.90769231 4.09230769],0
