Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000123,14.74359,[40 10] ; [29 36],[30. 20.] ; [39. 26.],1
p4,1,0.005051,7.861134,[34 18] ; [26 40],[26.44067797 25.55932203] ; [33.55932203 32.44067797],0
p6,1,0.009223,6.779221,[20 30] ; [12 54],[13.79310345 36.20689655] ; [18.20689655 47.79310345],0
p10,1,0.011717,6.353226,[40 12] ; [36 30],[33.49152542 18.50847458] ; [42.50847458 23.49152542],0
n1,1,0.014378,5.991153,[6 4] ; [ 4 19],[3.03030303 6.96969697] ; [ 6.96969697 16.03030303],0
p11,1,0.0226,5.199009,[41 11] ; [39 27],[35.25423729 16.74576271] ; [44.74576271 21.25423729],0
p3,1,0.025174,5.011885,[28 24] ; [22 44],[22.03389831 29.96610169] ; [27.96610169 38.03389831],0
r3,1,0.043671,4.069219,[50  2] ; [56 10],[46.71186441  5.28813559] ; [59.28813559  6.71186441],0
r1,1,0.064836,3.409138,[43  9] ; [44 21],[38.66666667 13.33333333] ; [48.33333333 16.66666667],0
u1,1,0.069369,3.297895,[ 2 50] ; [ 9 57],[ 4.84745763 47.15254237] ; [ 6.15254237 59.84745763],0
s8,1,0.081956,3.025684,[23 29] ; [19 47],[18.50847458 33.49152542] ; [23.49152542 42.50847458],0
s6,1,0.093961,2.80516,[34 18] ; [33 33],[29.52542373 22.47457627] ; [37.47457627 28.52542373],0
n2,1,0.159969,1.974519,[9 1] ; [16  8],[7.35294118 2.64705882] ; [17.64705882  6.35294118],0
d5,1,0.170265,1.880607,[42 10] ; [46 20],[38.77966102 13.22033898] ; [49.22033898 16.77966102],0
v2,1,0.181136,1.788281,[26 23] ; [25 37],[22.51351351 26.48648649] ; [28.48648649 33.51351351],0
d4,1,0.185249,1.755,[37 15] ; [53 12],[40. 12.] ; [50. 15.],0
b4,1,0.19986,1.643394,[27 25] ; [42 24],[30.40677966 21.59322034] ; [38.59322034 27.40677966],0
a4,1,0.209095,1.577679,[14 38] ; [25 41],[17.18644068 34.81355932] ; [21.81355932 44.18644068],0
p9,1,0.221963,1.491633,[40 12] ; [44 22],[37.01694915 14.98305085] ; [46.98305085 19.01694915],0
a8,1,0.252145,1.311377,[ 2 45] ; [ 6 53],[ 3.54716981 43.45283019] ; [ 4.45283019 54.54716981],0
s7,1,0.272098,1.20614,[20 30] ; [18 42],[17.27272727 32.72727273] ; [20.72727273 39.27272727],0
p1,1,0.286972,1.133773,[ 5 47] ; [ 3 62],[ 3.55555556 48.44444444] ; [ 4.44444444 60.55555556],0
a3,1,0.299514,1.076357,[29 23] ; [43 23],[31.72881356 20.27118644] ; [40.27118644 25.72881356],0
s5,1,0.314954,1.009788,[14 38] ; [12 51],[11.75652174 40.24347826] ; [14.24347826 48.75652174],0
v1,1,0.381354,0.766333,[26 24] ; [28 36],[23.68421053 26.31578947] ; [30.31578947 33.68421053],0
a1,1,0.424503,0.637816,[ 2 50] ; [ 1 65],[ 1.3220339 50.6779661] ; [ 1.6779661 64.3220339],0
