Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,27.691317,[ 8 47] ; [71 54],[24.13888889 30.86111111] ; [54.86111111 70.13888889],1
a3,1,0.0,26.417826,[21 33] ; [98 27],[35.89944134 18.10055866] ; [83.10055866 41.89944134],1
d2,1,1.8e-05,18.409537,[12 43] ; [70 54],[25.19553073 29.80446927] ; [56.80446927 67.19553073],1
d1,1,0.000901,11.02065,[21 34] ; [81 44],[31.16666667 23.83333333] ; [70.83333333 54.16666667],1
p11,1,0.001276,10.376471,[33 22] ; [103  22],[41.55555556 13.44444444] ; [94.44444444 30.55555556],0
s8,1,0.001796,9.747017,[15 40] ; [65 59],[24.58100559 30.41899441] ; [55.41899441 68.58100559],0
d5,1,0.003079,8.760282,[37 18] ; [107  17],[44.24581006 10.75418994] ; [99.75418994 24.24581006],0
p9,1,0.003264,8.653634,[39 16] ; [110  14],[45.78212291  9.21787709] ; [103.21787709  20.78212291],0
u1,1,0.005543,7.693141,[ 3 52] ; [28 97],[ 9.47222222 45.52777778] ; [ 21.52777778 103.47222222],0
p10,1,0.005891,7.583249,[36 19] ; [104  20],[43.01675978 11.98324022] ; [96.98324022 27.01675978],0
d4,1,0.007978,7.038499,[37 18] ; [105  19],[43.63128492 11.36871508] ; [98.36871508 25.63128492],0
b2,1,0.032949,4.548414,[ 6 26] ; [33 50],[10.85217391 21.14782609] ; [28.14782609 54.85217391],0
b3,1,0.032949,4.548414,[ 6 26] ; [33 50],[10.85217391 21.14782609] ; [28.14782609 54.85217391],0
s6,1,0.048079,3.907215,[32 22] ; [89 31],[37.55172414 16.44827586] ; [83.44827586 36.55172414],0
d3,1,0.0511,3.804995,[30 25] ; [87 38],[35.75 19.25] ; [81.25 43.75],0
p12,1,0.081732,3.030129,[ 1 54] ; [ 11 113],[ 3.68715084 51.31284916] ; [  8.31284916 115.68715084],0
a6,1,0.107093,2.596603,[31 24] ; [86 39],[35.75 19.25] ; [81.25 43.75],0
n4,1,0.108762,2.572117,[39 16] ; [102  23],[43.08333333 11.91666667] ; [97.91666667 27.08333333],0
p8,1,0.110182,2.551604,[29 26] ; [81 43],[33.79888268 21.20111732] ; [76.20111732 47.79888268],0
b5,1,0.138662,2.19274,[36 19] ; [67 58],[31.47222222 23.52777778] ; [71.52777778 53.47222222],0
r1,1,0.143136,2.143919,[36 19] ; [95 30],[40.02777778 14.97222222] ; [90.97222222 34.02777778],0
s7,1,0.159271,1.981137,[23 28] ; [66 50],[27.17964072 23.82035928] ; [61.82035928 54.17964072],0
s5,1,0.169585,1.886607,[15 36] ; [49 72],[18.97674419 32.02325581] ; [45.02325581 75.97674419],0
n6,1,0.17435,1.845141,[43 12] ; [107  17],[46.08938547  8.91061453] ; [103.91061453  20.08938547],0
p6,1,0.175265,1.837322,[20 33] ; [61 64],[24.11797753 28.88202247] ; [56.88202247 68.11797753],0
p1,1,0.204325,1.611189,[10 45] ; [ 14 111],[ 7.33333333 47.66666667] ; [ 16.66666667 108.33333333],0
r4,1,0.204325,1.611189,[45 10] ; [111  14],[47.66666667  7.33333333] ; [108.33333333  16.66666667],0
n2,1,0.236289,1.402597,[7 2] ; [15 12],[5.5 3.5] ; [16.5 10.5],0
n1,1,0.236289,1.402597,[2 7] ; [12 15],[3.5 5.5] ; [10.5 16.5],0
v1,1,0.282999,1.152632,[20 35] ; [54 66],[23.25714286 31.74285714] ; [50.74285714 69.25714286],0
r2,1,0.313069,1.017684,[49  6] ; [115   8],[50.6741573  4.3258427] ; [113.3258427   9.6741573],0
a8,1,0.350723,0.870841,[ 6 43] ; [  9 108],[ 4.42771084 44.57228916] ; [ 10.57228916 106.42771084],0
u3,1,0.407126,0.687177,[20 14] ; [18  8],[21.53333333 12.46666667] ; [16.46666667  9.53333333],0
p2,1,0.427768,0.628877,[45 10] ; [108  17],[46.75  8.25] ; [106.25  18.75],0
s2,1,0.449177,0.572727,[27 28] ; [69 56],[29.33333333 25.66666667] ; [66.66666667 58.33333333],0
a1,1,0.455885,0.555979,[ 2 53] ; [  8 117],[ 3.05555556 51.94444444] ; [  6.94444444 118.05555556],0
p5,1,0.468364,0.525834,[ 8 46] ; [ 24 100],[ 9.70786517 44.29213483] ; [ 22.29213483 101.70786517],0
n5,1,0.479946,0.498985,[38 17] ; [92 32],[39.94413408 15.05586592] ; [90.05586592 33.94413408],0
v3,1,0.490132,0.476237,[10 43] ; [29 94],[11.74431818 41.25568182] ; [27.25568182 95.74431818],0
s4,1,0.535515,0.383915,[12 42] ; [33 91],[13.65168539 40.34831461] ; [31.34831461 92.65168539],0
p7,1,0.564652,0.331713,[37 18] ; [88 35],[38.62359551 16.37640449] ; [86.37640449 36.62359551],0
u2,1,0.586094,0.296486,[20 14] ; [14 13],[18.95081967 15.04918033] ; [15.04918033 11.95081967],0
s1,1,0.594109,0.283973,[ 2 52] ; [  7 118],[ 2.7150838 51.2849162] ; [  6.2849162 118.7150838],0
v4,1,0.665414,0.187013,[52  3] ; [116   9],[51.33333333  3.66666667] ; [116.66666667   8.33333333],0
b1,1,0.678934,0.171328,[25 30] ; [61 64],[26.27777778 28.72222222] ; [59.72222222 65.27777778],0
r3,1,0.780185,0.077885,[49  5] ; [115  10],[49.47486034  4.52513966] ; [114.52513966  10.47486034],0
a7,1,0.901754,0.015239,[36 19] ; [83 42],[36.36111111 18.63888889] ; [82.63888889 42.36111111],0
p4,1,0.902624,0.014969,[44 11] ; [99 26],[43.69444444 11.30555556] ; [99.30555556 25.69444444],0
s3,1,0.92609,0.008605,[32 22] ; [75 50],[32.27932961 21.72067039] ; [74.72067039 50.27932961],0
b4,1,0.985599,0.000326,[30 25] ; [68 57],[29.94444444 25.05555556] ; [68.05555556 56.94444444],0
n3,1,1.0,0.0,[6 3] ; [18  9],[6. 3.] ; [18.  9.],0
