Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,91.606687,[ 44 129] ; [206  83],[93.61471861 79.38528139] ; [156.38528139 132.61471861],1
s2,1,0.0,82.225918,[ 30 142] ; [178 115],[76.93763441 95.06236559] ; [131.06236559 161.93763441],1
s7,1,0.0,64.947358,[ 29 132] ; [164 122],[69.51454139 91.48545861] ; [123.48545861 162.51454139],1
s8,1,0.0,56.177672,[ 31 144] ; [155 139],[ 69.40298507 105.59701493] ; [116.59701493 177.40298507],1
s5,1,0.0,36.633564,[ 21 150] ; [112 177],[ 49.44130435 121.55869565] ; [ 83.55869565 205.44130435],1
p9,1,1.5e-05,18.730325,[116  58] ; [246  47],[134.87794433  39.12205567] ; [227.12205567  65.87794433],1
s4,1,7.8e-05,15.617911,[ 10 165] ; [ 55 238],[ 24.30555556 150.69444444] ; [ 40.69444444 252.30555556],1
n6,1,0.000112,14.921477,[122  52] ; [250  44],[138.30769231  35.69230769] ; [233.69230769  60.30769231],1
u1,1,0.000185,13.980327,[ 15 160] ; [ 65 231],[ 29.72399151 145.27600849] ; [ 50.27600849 245.72399151],1
r4,1,0.002049,9.504815,[154  21] ; [283  13],[162.36730361  12.63269639] ; [274.63269639  21.36730361],0
p4,1,0.002928,8.851991,[ 66 107] ; [154 140],[81.49892934 91.50107066] ; [138.50107066 155.49892934],0
p12,1,0.00408,8.248083,[  3 171] ; [ 24 272],[  9.99574468 164.00425532] ; [ 17.00425532 278.99574468],0
n5,1,0.004643,8.013425,[108  65] ; [220  74],[121.50749465  51.49250535] ; [206.49250535  87.50749465],0
r2,1,0.008144,7.001638,[160  13] ; [287   7],[165.59100642   7.40899358] ; [281.40899358  12.59100642],0
p10,1,0.012265,6.272084,[122  52] ; [236  58],[133.1025641  40.8974359] ; [224.8974359  69.1025641],0
v4,1,0.014568,5.968027,[158  15] ; [284  10],[163.73875803   9.26124197] ; [278.26124197  15.73875803],0
p2,1,0.019136,5.48907,[126  49] ; [239  55],[136.19402985  38.80597015] ; [228.80597015  65.19402985],0
b5,1,0.020928,5.33279,[91 84] ; [186 110],[102.91932059  72.08067941] ; [174.08067941 121.91932059],0
r3,1,0.025322,5.001703,[159  15] ; [284  11],[164.35394456   9.64605544] ; [278.64605544  16.35394456],0
a2,1,0.031299,4.636513,[ 32 143] ; [ 80 216],[ 41.61358811 133.38641189] ; [ 70.38641189 225.61358811],0
d5,1,0.034485,4.470507,[134  41] ; [249  46],[142.60638298  32.39361702] ; [240.39361702  54.60638298],0
a5,1,0.039385,4.244184,[121  54] ; [230  66],[130.41401274  44.58598726] ; [220.58598726  75.41401274],0
p3,1,0.059496,3.551372,[ 59 115] ; [126 169],[ 68.63539446 105.36460554] ; [116.36460554 178.63539446],0
n2,1,0.064745,3.411475,[28 18] ; [56 17],[32.47058824 13.52941176] ; [51.52941176 21.47058824],0
v1,1,0.06753,3.342054,[74 99] ; [147 138],[83.47816594 89.52183406] ; [137.52183406 147.47816594],0
a7,1,0.112794,2.514637,[120  54] ; [224  72],[127.35319149  46.64680851] ; [216.64680851  79.35319149],0
v3,1,0.130767,2.283375,[ 59 105] ; [122 160],[66.55605381 97.44394619] ; [114.44394619 167.55605381],0
u4,1,0.145518,2.118613,[  1 174] ; [  7 289],[  2.97239915 172.02760085] ; [  5.02760085 290.97239915],0
n4,1,0.149205,2.080361,[121  54] ; [222  73],[127.71276596  47.28723404] ; [215.28723404  79.71276596],0
a8,1,0.226125,1.465072,[ 18 141] ; [ 41 223],[ 22.17730496 136.82269504] ; [ 36.82269504 227.17730496],0
