Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,5.3e-05,16.326531,[1 3] ; [27  1],[3.5 0.5] ; [24.5  3.5],1
n6,1,0.002883,8.880131,[2 2] ; [27  1],[3.625 0.375] ; [25.375  2.625],0
r2,1,0.086926,2.930403,[2 2] ; [24  4],[3.25 0.75] ; [22.75  5.25],0
a2,1,0.09769,2.742857,[1 3] ; [ 1 27],[0.25 3.75] ; [ 1.75 26.25],0
s7,1,0.09769,2.742857,[1 3] ; [19  9],[2.5 1.5] ; [17.5 10.5],0
s3,1,0.09769,2.742857,[1 3] ; [19  9],[2.5 1.5] ; [17.5 10.5],0
n4,1,0.09769,2.742857,[3 1] ; [27  1],[3.75 0.25] ; [26.25  1.75],0
s6,1,0.107123,2.596154,[2 2] ; [22  4],[3.2 0.8] ; [20.8  5.2],0
v3,1,0.178022,1.814059,[1 3] ; [17 11],[2.25 1.75] ; [15.75 12.25],0
b5,1,0.178022,1.814059,[3 1] ; [11 17],[1.75 2.25] ; [12.25 15.75],0
p3,1,0.217044,1.52381,[2 2] ; [22  6],[3. 1.] ; [21.  7.],0
r1,1,0.217044,1.52381,[2 2] ; [22  6],[3. 1.] ; [21.  7.],0
s8,1,0.228191,1.452101,[1 3] ; [16 12],[2.125 1.875] ; [14.875 13.125],0
s2,1,0.285049,1.142857,[1 3] ; [15 13],[2. 2.] ; [14. 14.],0
p8,1,0.387094,0.748052,[2 2] ; [20  8],[2.75 1.25] ; [19.25  8.75],0
b1,1,0.41902,0.653061,[3 1] ; [15 13],[2.25 1.75] ; [15.75 12.25],0
d2,1,0.496367,0.462695,[3 1] ; [16 12],[2.375 1.625] ; [16.625 11.375],0
b2,1,0.537094,0.380952,[2 1] ; [10 11],[1.5 1.5] ; [10.5 10.5],0
b3,1,0.537094,0.380952,[2 1] ; [10 11],[1.5 1.5] ; [10.5 10.5],0
p12,1,0.580912,0.304762,[1 3] ; [ 4 24],[0.625 3.375] ; [ 4.375 23.625],0
p6,1,0.583013,0.301389,[2 1] ; [14 14],[1.5483871 1.4516129] ; [14.4516129 13.5483871],0
v1,1,0.619372,0.246751,[2 2] ; [17 10],[2.4516129 1.5483871] ; [16.5483871 10.4516129],0
d1,1,0.683178,0.16657,[2 2] ; [17 11],[2.375 1.625] ; [16.625 11.375],0
a4,1,0.683178,0.16657,[2 2] ; [11 17],[1.625 2.375] ; [11.375 16.625],0
s5,1,0.726161,0.122665,[2 2] ; [16 11],[2.32258065 1.67741935] ; [15.67741935 11.32258065],0
p1,1,0.732074,0.117216,[1 3] ; [ 5 23],[0.75 3.25] ; [ 5.25 22.75],0
p7,1,0.732074,0.117216,[3 1] ; [23  5],[3.25 0.75] ; [22.75  5.25],0
a5,1,0.773117,0.083117,[3 1] ; [19  9],[2.75 1.25] ; [19.25  8.75],0
v2,1,0.787642,0.072562,[2 2] ; [12 16],[1.75 2.25] ; [12.25 15.75],0
a3,1,0.881863,0.022084,[3 1] ; [20  8],[2.875 1.125] ; [20.125  7.875],0
a6,1,0.893488,0.017927,[2 2] ; [15 13],[2.125 1.875] ; [14.875 13.125],0
d3,1,1.0,0.0,[2 2] ; [14 14],[2. 2.] ; [14. 14.],0
d4,1,1.0,0.0,[3 1] ; [21  7],[3. 1.] ; [21.  7.],0
