Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,29.65822,[110   4] ; [101  43],[93.23255814 20.76744186] ; [117.76744186  26.23255814],1
p5,1,1.1e-05,19.247861,[25 88] ; [  6 138],[13.63035019 99.36964981] ; [ 17.36964981 126.63035019],1
s7,1,8.4e-05,15.47292,[92 19] ; [84 56],[77.83266932 33.16733068] ; [98.16733068 41.83266932],1
s6,1,0.003116,8.738148,[104   8] ; [114  29],[95.74901961 16.25098039] ; [122.25098039  20.74901961],0
s8,1,0.003427,8.564889,[80 32] ; [77 67],[68.6875 43.3125] ; [88.3125 55.6875],0
p8,1,0.007784,7.082458,[73 37] ; [71 72],[62.60869565 47.39130435] ; [81.39130435 61.60869565],0
a5,1,0.011042,6.458513,[98 16] ; [105  39],[89.69767442 24.30232558] ; [113.30232558  30.69767442],0
s4,1,0.018723,5.527205,[27 87] ; [ 18 126],[19.88372093 94.11627907] ; [ 25.11627907 118.88372093],0
v1,1,0.01979,5.430358,[83 30] ; [82 56],[74.28286853 38.71713147] ; [90.71713147 47.28286853],0
p3,1,0.028347,4.806837,[71 41] ; [71 72],[62.36862745 49.63137255] ; [79.63137255 63.36862745],0
p7,1,0.04079,4.184707,[86 24] ; [93 47],[78.76 31.24] ; [100.24  39.76],0
p1,1,0.054742,3.689925,[15 98] ; [  9 135],[ 10.55252918 102.44747082] ; [ 13.44747082 130.55252918],0
n1,1,0.057948,3.595166,[13 10] ; [ 7 17],[ 9.78723404 13.21276596] ; [10.21276596 13.78723404],0
d4,1,0.066377,3.370409,[103  10] ; [120  24],[98.05058366 14.94941634] ; [124.94941634  19.05058366],0
r2,1,0.068832,3.310665,[111   1] ; [136   7],[108.48627451   3.51372549] ; [138.51372549   4.48627451],0
v3,1,0.073844,3.195431,[74 39] ; [75 63],[67.07968127 45.92031873] ; [81.92031873 56.07968127],0
a4,1,0.078294,3.099966,[56 58] ; [55 89],[49.04651163 64.95348837] ; [61.95348837 82.04651163],0
n2,1,0.086931,2.930301,[21  2] ; [18  7],[18.6875  4.3125] ; [20.3125  4.6875],0
d5,1,0.098527,2.72923,[99 14] ; [115  29],[94.09338521 18.90661479] ; [119.90661479  24.09338521],0
p4,1,0.11173,2.529578,[77 34] ; [86 58],[70.95294118 40.04705882] ; [92.04705882 51.95294118],0
a3,1,0.125686,2.344995,[93 20] ; [107  37],[87.93774319 25.06225681] ; [112.06225681  31.93774319],0
p9,1,0.175492,1.835395,[104   9] ; [124  19],[100.640625  12.359375] ; [127.359375  15.640625],0
p6,1,0.180963,1.789694,[51 60] ; [53 88],[45.80952381 65.19047619] ; [58.19047619 82.80952381],0
p12,1,0.185811,1.75052,[19 94] ; [ 16 128],[15.38910506 97.61089494] ; [ 19.61089494 124.38910506],0
a7,1,0.186818,1.742535,[82 32] ; [113  30],[86.49805447 27.50194553] ; [108.50194553  34.49805447],0
n6,1,0.186976,1.741287,[99 10] ; [122  21],[95.59126984 13.40873016] ; [125.40873016  17.59126984],0
d1,1,0.209834,1.572573,[79 35] ; [89 55],[74.23255814 39.76744186] ; [93.76744186 50.23255814],0
p10,1,0.232979,1.422583,[100  13] ; [119  24],[96.66796875 16.33203125] ; [122.33203125  20.66796875],0
p2,1,0.238651,1.388545,[98 15] ; [117  27],[94.53307393 18.46692607] ; [120.46692607  23.53307393],0
a6,1,0.26536,1.240578,[72 40] ; [102  42],[76.125 35.875] ; [97.875 46.125],0
u1,1,0.266437,1.234999,[27 87] ; [ 26 118],[23.41860465 90.58139535] ; [ 29.58139535 114.41860465],0
u2,1,0.295554,1.094147,[ 9 11] ; [22 15],[10.87719298  9.12280702] ; [20.12280702 16.87719298],0
n3,1,0.382329,0.763201,[19  4] ; [18  7],[17.72916667  5.27083333] ; [19.27083333  5.72916667],0
b2,1,0.40153,0.703741,[29 38] ; [33 57],[26.45859873 40.54140127] ; [35.54140127 54.45859873],0
b3,1,0.40153,0.703741,[29 38] ; [33 57],[26.45859873 40.54140127] ; [35.54140127 54.45859873],0
b5,1,0.404689,0.694349,[63 51] ; [87 57],[66.27906977 47.72093023] ; [83.72093023 60.27906977],0
u4,1,0.504547,0.44536,[  3 111] ; [  6 138],[  3.97674419 110.02325581] ; [  5.02325581 138.97674419],0
d2,1,0.506102,0.442118,[62 51] ; [73 71],[59.35797665 53.64202335] ; [75.64202335 68.35797665],0
n5,1,0.519227,0.415428,[90 21] ; [112  32],[87.92941176 23.07058824] ; [114.07058824  29.92941176],0
a8,1,0.539062,0.377281,[15 88] ; [ 24 113],[16.7375 86.2625] ; [ 22.2625 114.7375],0
p11,1,0.564018,0.332794,[91 23] ; [119  25],[92.79069767 21.20930233] ; [117.20930233  26.79069767],0
u3,1,0.586674,0.295568,[14  7] ; [22 15],[13.03448276  7.96551724] ; [22.96551724 14.03448276],0
d3,1,0.595935,0.28117,[79 34] ; [105  39],[80.90272374 32.09727626] ; [103.09727626  40.90272374],0
a2,1,0.597585,0.278653,[31 83] ; [ 35 109],[29.1627907 84.8372093] ; [ 36.8372093 107.1627907],0
b1,1,0.598968,0.276555,[44 70] ; [51 93],[41.97674419 72.02325581] ; [53.02325581 90.97674419],0
r1,1,0.610764,0.259064,[99 14] ; [123  21],[97.61089494 15.38910506] ; [124.38910506  19.61089494],0
r4,1,0.638918,0.22016,[107   7] ; [133  11],[106.04651163   7.95348837] ; [133.95348837  10.04651163],0
b4,1,0.724068,0.124628,[72 42] ; [94 50],[73.34883721 40.65116279] ; [92.65116279 51.34883721],0
r3,1,0.811984,0.056581,[111   2] ; [141   2],[111.234375   1.765625] ; [140.765625   2.234375],0
v4,1,0.880732,0.022513,[107   6] ; [136   7],[107.26171875   5.73828125] ; [135.73828125   7.26171875],0
s1,1,0.929831,0.007754,[  3 110] ; [  4 137],[  3.11417323 109.88582677] ; [  3.88582677 137.11417323],0
a1,1,0.971072,0.001315,[  7 107] ; [  9 135],[  7.06976744 106.93023256] ; [  8.93023256 135.06976744],0
n4,1,0.996057,2.4e-05,[91 22] ; [116  28],[91.0155642 21.9844358] ; [115.9844358  28.0155642],0
