Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.6e-05,17.071921,[82  8] ; [34 20],[72.5 17.5] ; [43.5 10.5],1
s8,1,4e-05,16.891749,[32 58] ; [ 3 52],[21.72413793 68.27586207] ; [13.27586207 41.72413793],1
s7,1,0.000155,14.306869,[37 47] ; [ 6 43],[27.15789474 56.84210526] ; [15.84210526 33.15789474],1
s6,1,0.000783,11.280799,[52 38] ; [16 39],[42.20689655 47.79310345] ; [25.79310345 29.20689655],1
p10,1,0.002398,9.216972,[48 40] ; [15 38],[39.31914894 48.68085106] ; [23.68085106 29.31914894],0
p9,1,0.003134,8.727883,[53 33] ; [19 34],[44.54676259 41.45323741] ; [27.45323741 25.54676259],0
r4,1,0.004592,8.033536,[68 22] ; [29 26],[60.20689655 29.79310345] ; [36.79310345 18.20689655],0
n5,1,0.005143,7.828601,[59 31] ; [23 32],[50.89655172 39.10344828] ; [31.10344828 23.89655172],0
p2,1,0.007307,7.196011,[55 35] ; [21 34],[47.17241379 42.82758621] ; [28.82758621 26.17241379],0
s2,1,0.008071,7.017576,[41 49] ; [13 42],[33.51724138 56.48275862] ; [20.48275862 34.51724138],0
s5,1,0.009013,6.82027,[26 63] ; [ 5 45],[19.84892086 69.15107914] ; [11.15107914 38.84892086],0
n4,1,0.014464,5.98064,[61 29] ; [26 29],[54. 36.] ; [33. 22.],0
u1,1,0.032861,4.553007,[16 74] ; [ 3 52],[11.79310345 78.20689655] ; [ 7.20689655 47.79310345],0
p6,1,0.045838,3.987542,[26 62] ; [ 8 46],[21.07042254 66.92957746] ; [12.92957746 41.07042254],0
b5,1,0.050203,3.834666,[59 31] ; [27 28],[53.37931034 36.62068966] ; [32.62068966 22.37931034],0
r3,1,0.056022,3.651408,[71 18] ; [36 19],[66.13194444 22.86805556] ; [40.86805556 14.13194444],0
p4,1,0.081107,3.042572,[38 49] ; [16 39],[33.08450704 53.91549296] ; [20.91549296 34.08450704],0
n2,1,0.08481,2.970217,[27 13] ; [12 14],[23.63636364 16.36363636] ; [15.36363636 10.63636364],0
