Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000323,12.930974,[21  2] ; [11 15],[15.02040816  7.97959184] ; [16.97959184  9.02040816],1
d4,1,0.00094,10.942815,[22  1] ; [14 12],[16.89795918  6.10204082] ; [19.10204082  6.89795918],1
d2,1,0.00098,10.864219,[14  9] ; [ 4 22],[ 8.44897959 14.55102041] ; [ 9.55102041 16.44897959],1
d3,1,0.001527,10.045217,[22  1] ; [14 11],[17.25  5.75] ; [18.75  6.25],0
s8,1,0.011494,6.387277,[10 13] ; [ 3 23],[ 6.10204082 16.89795918] ; [ 6.89795918 19.10204082],0
a4,1,0.013931,6.046836,[11 12] ; [ 4 22],[ 7.04081633 15.95918367] ; [ 7.95918367 18.04081633],0
s6,1,0.015317,5.879688,[18  5] ; [11 14],[13.89583333  9.10416667] ; [15.10416667  9.89583333],0
p3,1,0.035395,4.426021,[13 10] ; [ 7 19],[ 9.3877551 13.6122449] ; [10.6122449 15.3877551],0
p6,1,0.035395,4.426021,[13 10] ; [ 7 19],[ 9.3877551 13.6122449] ; [10.6122449 15.3877551],0
r2,1,0.038191,4.296503,[21  1] ; [19  7],[18.33333333  3.66666667] ; [21.66666667  4.33333333],0
v3,1,0.041452,4.157454,[ 8 14] ; [ 3 23],[ 5.04166667 16.95833333] ; [ 5.95833333 20.04166667],0
a3,1,0.048488,3.892988,[17  6] ; [12 14],[13.6122449  9.3877551] ; [15.3877551 10.6122449],0
b2,1,0.055205,3.675897,[6 7] ; [ 2 13],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
b3,1,0.055205,3.675897,[6 7] ; [ 2 13],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
u1,1,0.056537,3.636158,[ 5 18] ; [ 1 25],[ 2.81632653 20.18367347] ; [ 3.18367347 22.81632653],0
s2,1,0.060639,3.519829,[ 8 15] ; [ 3 22],[ 5.27083333 17.72916667] ; [ 5.72916667 19.27083333],0
p4,1,0.061514,3.496098,[15  8] ; [10 16],[11.73469388 11.26530612] ; [13.26530612 12.73469388],0
r4,1,0.079696,3.071082,[20  3] ; [17  9],[17.36734694  5.63265306] ; [19.63265306  6.36734694],0
r1,1,0.098398,2.731327,[16  7] ; [12 14],[13.14285714  9.85714286] ; [14.85714286 11.14285714],0
v4,1,0.112719,2.515679,[22  1] ; [21  5],[20.18367347  2.81632653] ; [22.81632653  3.18367347],0
n5,1,0.129836,2.294461,[12 11] ; [19  7],[14.55102041  8.44897959] ; [16.44897959  9.55102041],0
s5,1,0.156364,2.009043,[11 12] ; [ 7 18],[ 8.625 14.375] ; [ 9.375 15.625],0
n6,1,0.174058,1.847643,[21  2] ; [20  6],[19.24489796  3.75510204] ; [21.75510204  4.24489796],0
p10,1,0.228947,1.447393,[20  3] ; [19  7],[18.30612245  4.69387755] ; [20.69387755  5.30612245],0
n1,1,0.231605,1.430976,[2 7] ; [4 4],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
b5,1,0.259727,1.270211,[16  7] ; [14 12],[14.08163265  8.91836735] ; [15.91836735 10.08163265],0
p8,1,0.265139,1.241723,[12 10] ; [10 16],[10.08333333 11.91666667] ; [11.91666667 14.08333333],0
n4,1,0.282716,1.153986,[15  8] ; [13 13],[13.14285714  9.85714286] ; [14.85714286 11.14285714],0
b4,1,0.302963,1.061107,[14  9] ; [12 14],[12.20408163 10.79591837] ; [13.79591837 12.20408163],0
s7,1,0.305749,1.048951,[ 9 13] ; [ 7 19],[ 7.33333333 14.66666667] ; [ 8.66666667 17.33333333],0
v1,1,0.335501,0.927547,[12 11] ; [10 16],[10.32653061 12.67346939] ; [11.67346939 14.32653061],0
u2,1,0.394305,0.725624,[1 5] ; [5 9],[1.8 4.2] ; [4.2 9.8],0
n2,1,0.402388,0.701178,[5 4] ; [6 2],[5.82352941 3.17647059] ; [5.17647059 2.82352941],0
n3,1,0.402388,0.701178,[5 4] ; [6 2],[5.82352941 3.17647059] ; [5.17647059 2.82352941],0
p9,1,0.424837,0.636896,[19  4] ; [19  7],[17.83673469  5.16326531] ; [20.16326531  5.83673469],0
p5,1,0.479782,0.499358,[ 2 21] ; [ 1 25],[ 1.40816327 21.59183673] ; [ 1.59183673 24.40816327],0
a6,1,0.489795,0.476977,[12 11] ; [11 15],[10.79591837 12.20408163] ; [12.20408163 13.79591837],0
u3,1,0.492353,0.47138,[2 4] ; [7 7],[2.7 3.3] ; [6.3 7.7],0
v2,1,0.508568,0.437012,[11 12] ; [10 16],[ 9.85714286 13.14285714] ; [11.14285714 14.85714286],0
b1,1,0.51799,0.417893,[ 6 17] ; [ 9 17],[ 7.04081633 15.95918367] ; [ 7.95918367 18.04081633],0
p11,1,0.525131,0.403805,[13 10] ; [17  9],[14.08163265  8.91836735] ; [15.91836735 10.08163265],0
p7,1,0.620034,0.245819,[14  9] ; [14 12],[13.14285714  9.85714286] ; [14.85714286 11.14285714],0
a7,1,0.682831,0.166957,[16  7] ; [16  9],[15.33333333  7.66666667] ; [16.66666667  8.33333333],0
p2,1,0.764956,0.089389,[15  8] ; [18  8],[15.48979592  7.51020408] ; [17.51020408  8.48979592],0
r3,1,0.868193,0.027541,[19  4] ; [21  5],[18.7755102  4.2244898] ; [21.2244898  4.7755102],0
s1,1,0.929421,0.007845,[ 1 22] ; [ 1 25],[ 0.93877551 22.06122449] ; [ 1.06122449 24.93877551],0
a1,1,0.929421,0.007845,[ 1 22] ; [ 1 25],[ 0.93877551 22.06122449] ; [ 1.06122449 24.93877551],0
