Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000203,13.799184,[3 2] ; [53  1],[4.74576271 0.25423729] ; [51.25423729  2.74576271],1
a7,1,0.011995,6.311573,[1 4] ; [40 14],[3.47457627 1.52542373] ; [37.52542373 16.47457627],0
s8,1,0.027584,4.853888,[1 4] ; [36 16],[3.24561404 1.75438596] ; [33.75438596 18.24561404],0
r1,1,0.041989,4.135643,[3 2] ; [49  5],[4.40677966 0.59322034] ; [47.59322034  6.40677966],0
s5,1,0.058236,3.586928,[2 3] ; [40 11],[3.75 1.25] ; [38.25 12.75],0
p8,1,0.071054,3.258497,[3 2] ; [48  6],[4.3220339 0.6779661] ; [46.6779661  7.3220339],0
b4,1,0.075118,3.16749,[1 4] ; [33 21],[2.88135593 2.11864407] ; [31.11864407 22.88135593],0
s7,1,0.084822,2.97,[2 3] ; [38 12],[3.63636364 1.36363636] ; [36.36363636 13.63636364],0
r3,1,0.117327,2.452647,[4 1] ; [51  2],[4.74137931 0.25862069] ; [50.25862069  2.74137931],0
d2,1,0.160468,1.969811,[4 1] ; [25 28],[2.5 2.5] ; [26.5 26.5],0
s6,1,0.1669,1.910573,[3 2] ; [44  8],[4.12280702 0.87719298] ; [42.87719298  9.12280702],0
d3,1,0.209193,1.577001,[2 3] ; [36 17],[3.27586207 1.72413793] ; [34.72413793 18.27586207],0
p6,1,0.209193,1.577001,[2 3] ; [36 17],[3.27586207 1.72413793] ; [34.72413793 18.27586207],0
p10,1,0.226426,1.463173,[4 1] ; [50  3],[4.65517241 0.34482759] ; [49.34482759  3.65517241],0
a5,1,0.2536,1.303362,[3 2] ; [44 10],[3.98305085 1.01694915] ; [43.01694915 10.98305085],0
s3,1,0.303346,1.059426,[2 3] ; [33 19],[3.07017544 1.92982456] ; [31.92982456 20.07017544],0
s2,1,0.330629,0.946434,[2 3] ; [33 20],[3.01724138 1.98275862] ; [31.98275862 21.01724138],0
p9,1,0.333416,0.935583,[4 1] ; [50  4],[4.57627119 0.42372881] ; [49.42372881  4.57627119],0
n4,1,0.333416,0.935583,[4 1] ; [50  4],[4.57627119 0.42372881] ; [49.42372881  4.57627119],0
a8,1,0.369178,0.80643,[1 3] ; [ 5 44],[0.45283019 3.54716981] ; [ 5.54716981 43.45283019],0
a6,1,0.37649,0.782131,[2 3] ; [32 21],[2.93103448 2.06896552] ; [31.06896552 21.93103448],0
b1,1,0.504173,0.446142,[3 2] ; [24 30],[2.28813559 2.71186441] ; [24.71186441 29.28813559],0
p11,1,0.556507,0.345788,[4 1] ; [48  6],[4.40677966 0.59322034] ; [47.59322034  6.40677966],0
p1,1,0.593736,0.284548,[1 4] ; [17 37],[1.52542373 3.47457627] ; [16.47457627 37.52542373],0
b3,1,0.598071,0.277915,[3 2] ; [19 21],[2.44444444 2.55555556] ; [19.55555556 20.44444444],0
b2,1,0.598071,0.277915,[3 2] ; [19 21],[2.44444444 2.55555556] ; [19.55555556 20.44444444],0
a4,1,0.66872,0.183103,[2 3] ; [27 27],[2.45762712 2.54237288] ; [26.54237288 27.45762712],0
p12,1,0.696536,0.1521,[2 3] ; [17 37],[1.61016949 3.38983051] ; [17.38983051 36.61016949],0
v2,1,0.708214,0.140068,[4 1] ; [39 15],[3.6440678 1.3559322] ; [39.3559322 14.6440678],0
a2,1,0.757696,0.095177,[1 4] ; [ 8 46],[0.76271186 4.23728814] ; [ 8.23728814 45.76271186],0
d4,1,0.772114,0.083875,[4 1] ; [45  8],[4.22413793 0.77586207] ; [44.77586207  8.22413793],0
d1,1,0.829672,0.046278,[3 2] ; [35 19],[3.22033898 1.77966102] ; [34.77966102 19.22033898],0
b5,1,0.848129,0.036674,[2 3] ; [24 30],[2.20338983 2.79661017] ; [23.79661017 30.20338983],0
p2,1,0.849263,0.036122,[4 1] ; [45  9],[4.15254237 0.84745763] ; [44.84745763  9.15254237],0
d5,1,0.864359,0.029182,[4 1] ; [44  9],[4.13793103 0.86206897] ; [43.86206897  9.13793103],0
u1,1,0.935144,0.006622,[1 4] ; [10 44],[0.93220339 4.06779661] ; [10.06779661 43.93220339],0
p3,1,0.968233,0.001586,[4 1] ; [42 11],[3.96551724 1.03448276] ; [42.03448276 10.96551724],0
v1,1,0.984296,0.000387,[4 1] ; [43 11],[3.98305085 1.01694915] ; [43.01694915 10.98305085],0
a3,1,0.984296,0.000387,[4 1] ; [43 11],[3.98305085 1.01694915] ; [43.01694915 10.98305085],0
