Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,27.683594,[15 68] ; [32 19],[29.1119403 53.8880597] ; [17.8880597 33.1119403],1
p6,1,2.7e-05,17.604438,[18 64] ; [29 21],[29.1969697 52.8030303] ; [17.8030303 32.1969697],1
s6,1,0.000167,14.170501,[26 55] ; [34 18],[36.54135338 44.45864662] ; [23.45864662 28.54135338],1
p3,1,0.002782,8.945429,[33 48] ; [35 17],[41.41353383 39.58646617] ; [26.58646617 25.41353383],0
s2,1,0.015593,5.848243,[ 9 74] ; [14 38],[14.14074074 68.85925926] ; [ 8.85925926 43.14074074],0
p4,1,0.060344,3.527913,[39 41] ; [34 18],[44.24242424 35.75757576] ; [28.75757576 23.24242424],0
r4,1,0.091466,2.848372,[68 15] ; [48  4],[71.31851852 11.68148148] ; [44.68148148  7.31851852],0
u3,1,0.109281,2.56459,[10 14] ; [9 4],[12.32432432 11.67567568] ; [6.67567568 6.32432432],0
d4,1,0.124611,2.358385,[66 16] ; [47  5],[69.14925373 12.85074627] ; [43.85074627  8.14925373],0
b3,1,0.127961,2.317073,[18 36] ; [20 21],[21.6 32.4] ; [16.4 24.6],0
b2,1,0.127961,2.317073,[18 36] ; [20 21],[21.6 32.4] ; [16.4 24.6],0
p10,1,0.12932,2.300654,[63 18] ; [45  6],[66.27272727 14.72727273] ; [41.72727273  9.27272727],0
n6,1,0.131733,2.271958,[67 16] ; [47  5],[70.08888889 12.91111111] ; [43.91111111  8.08888889],0
d5,1,0.132762,2.259905,[63 20] ; [45  7],[66.4 16.6] ; [41.6 10.4],0
a5,1,0.186918,1.741744,[55 28] ; [40 12],[58.40740741 24.59259259] ; [36.59259259 15.40740741],0
v1,1,0.205964,1.599572,[49 33] ; [36 15],[52.40601504 29.59398496] ; [32.59398496 18.40601504],0
r3,1,0.220688,1.499892,[72 10] ; [49  3],[74.04477612  7.95522388] ; [46.95522388  5.04477612],0
d3,1,0.224749,1.473787,[54 29] ; [39 13],[57.17777778 25.82222222] ; [35.82222222 16.17777778],0
u1,1,0.226445,1.463053,[11 72] ; [11 41],[13.52592593 69.47407407] ; [ 8.47407407 43.52592593],0
s5,1,0.227474,1.456586,[15 66] ; [14 37],[17.79545455 63.20454545] ; [11.20454545 39.79545455],0
p2,1,0.23247,1.425686,[58 23] ; [42 10],[60.90225564 20.09774436] ; [39.09774436 12.90225564],0
p9,1,0.250714,1.319319,[65 18] ; [44  7],[67.51492537 15.48507463] ; [41.48507463  9.51492537],0
p12,1,0.271469,1.209311,[ 4 78] ; [ 5 46],[ 5.54887218 76.45112782] ; [ 3.45112782 47.54887218],0
n1,1,0.280077,1.166717,[ 6 10] ; [2 9],[ 4.74074074 11.25925926] ; [3.25925926 7.74074074],0
