Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,71.234783,[107  37] ; [18 78],[75. 69.] ; [50. 46.],1
p2,1,0.0,34.378923,[132  14] ; [56 40],[113.4214876  32.5785124] ; [74.5785124 21.4214876],1
r4,1,0.0,34.189852,[145   4] ; [69 27],[130.14693878  18.85306122] ; [83.85306122 12.14693878],1
p3,1,0.0,33.014104,[90 58] ; [22 73],[68.21399177 79.78600823] ; [43.78600823 51.21399177],1
p4,1,0.0,29.847387,[100  47] ; [31 65],[79.24691358 67.75308642] ; [51.75308642 44.24691358],1
p10,1,1e-06,24.686116,[126  21] ; [55 41],[109.49382716  37.50617284] ; [71.50617284 24.49382716],1
p6,1,1e-06,23.84675,[61 83] ; [12 83],[ 43.9832636 100.0167364] ; [29.0167364 65.9832636],1
p9,1,2e-06,22.326934,[130  17] ; [59 35],[115.28215768  31.71784232] ; [73.71784232 20.28215768],1
v1,1,0.000243,13.464681,[85 62] ; [32 63],[71.07024793 75.92975207] ; [45.92975207 49.07024793],1
p11,1,0.000471,12.227633,[124  25] ; [61 35],[112.51020408  36.48979592] ; [72.48979592 23.51020408],1
v4,1,0.000779,11.291645,[142   6] ; [80 16],[134.6557377  13.3442623] ; [87.3442623  8.6557377],1
r3,1,0.000999,10.828852,[145   4] ; [82 13],[138.61885246  10.38114754] ; [88.38114754  6.61885246],1
n3,1,0.014769,5.943792,[17  3] ; [20 18],[12.75862069  7.24137931] ; [24.24137931 13.75862069],0
r1,1,0.019003,5.50122,[126  22] ; [70 26],[118.8852459  29.1147541] ; [77.1147541 18.8852459],0
a8,1,0.019783,5.430951,[ 20 105] ; [ 5 84],[ 14.60280374 110.39719626] ; [10.39719626 78.60280374],0
r2,1,0.022406,5.213952,[142   4] ; [85  9],[138.09166667   7.90833333] ; [88.90833333  5.09166667],0
s8,1,0.024758,5.040741,[ 47 101] ; [18 78],[ 39.42622951 108.57377049] ; [25.57377049 70.42622951],0
n4,1,0.025131,5.014809,[121  28] ; [66 30],[113.72653061  35.27346939] ; [73.27346939 22.72653061],0
v3,1,0.040595,4.192851,[62 81] ; [28 65],[54.53389831 88.46610169] ; [35.46610169 57.53389831],0
n2,1,0.060315,3.528694,[16  5] ; [20 19],[12.6  8.4] ; [23.4 15.6],0
a3,1,0.062944,3.45807,[120  28] ; [68 28],[114.03278689  33.96721311] ; [73.96721311 22.03278689],0
a5,1,0.069664,3.290922,[127  22] ; [73 23],[121.63265306  27.36734694] ; [78.36734694 17.63265306],0
s5,1,0.097658,2.743385,[ 37 110] ; [15 78],[ 31.85 115.15] ; [20.15 72.85],0
s6,1,0.119422,2.424888,[68 78] ; [35 61],[62.14049587 83.85950413] ; [40.85950413 55.14049587],0
n6,1,0.146697,2.106269,[125  23] ; [74 22],[120.70491803  27.29508197] ; [78.29508197 17.70491803],0
a1,1,0.169575,1.886699,[  3 146] ; [ 5 91],[  4.86530612 144.13469388] ; [ 3.13469388 92.86530612],0
a7,1,0.183674,1.767641,[108  41] ; [76 19],[112.36065574  36.63934426] ; [71.63934426 23.36065574],0
a4,1,0.186279,1.746802,[76 72] ; [57 38],[81.00411523 66.99588477] ; [51.99588477 43.00411523],0
v2,1,0.222994,1.485002,[88 57] ; [49 44],[83.46638655 61.53361345] ; [53.53361345 39.46638655],0
p5,1,0.230306,1.438968,[ 16 133] ; [ 6 90],[ 13.37959184 135.62040816] ; [ 8.62040816 87.37959184],0
b4,1,0.231064,1.434299,[88 61] ; [64 32],[92.44081633 56.55918367] ; [59.55918367 36.44081633],0
n5,1,0.256036,1.290063,[106  43] ; [61 34],[101.9795082  47.0204918] ; [65.0204918 29.9795082],0
n1,1,0.301136,1.069157,[ 5 15] ; [15 24],[ 6.77966102 13.22033898] ; [13.22033898 25.77966102],0
u4,1,0.326517,0.962664,[  1 148] ; [ 2 94],[  1.8244898 147.1755102] ; [ 1.1755102 94.8244898],0
s3,1,0.44797,0.575782,[ 29 117] ; [23 73],[ 31.37190083 114.62809917] ; [20.62809917 75.37190083],0
s7,1,0.471166,0.519241,[ 40 102] ; [22 70],[ 37.62393162 104.37606838] ; [24.37606838 67.62393162],0
d3,1,0.509145,0.435823,[131  18] ; [87  9],[132.57959184  16.42040816] ; [85.42040816 10.57959184],0
b5,1,0.559687,0.340246,[94 55] ; [57 39],[91.83265306 57.16734694] ; [59.16734694 36.83265306],0
a2,1,0.567834,0.32632,[ 43 106] ; [31 65],[ 45.00408163 103.99591837] ; [28.99591837 67.00408163],0
u2,1,0.592034,0.287179,[16 12] ; [14 14],[15. 13.] ; [15. 13.],0
a6,1,0.595024,0.282566,[112  37] ; [75 21],[113.72653061  35.27346939] ; [73.27346939 22.72653061],0
d5,1,0.655013,0.199638,[147   2] ; [94  2],[146.56734694   2.43265306] ; [94.43265306  1.56734694],0
s1,1,0.65725,0.196881,[  2 145] ; [ 2 93],[  2.42975207 144.57024793] ; [ 1.57024793 93.42975207],0
b1,1,0.716066,0.132293,[54 95] ; [37 59],[55.34285714 93.65714286] ; [35.65714286 60.34285714],0
p12,1,0.765382,0.089055,[  5 141] ; [ 4 92],[  5.42975207 140.57024793] ; [ 3.57024793 92.42975207],0
b2,1,0.795729,0.067018,[38 56] ; [23 37],[37.23376623 56.76623377] ; [23.76623377 36.23376623],0
b3,1,0.795729,0.067018,[38 56] ; [23 37],[37.23376623 56.76623377] ; [23.76623377 36.23376623],0
s4,1,0.802398,0.062622,[ 14 134] ; [ 8 86],[ 13.45454545 134.54545455] ; [ 8.54545455 85.45454545],0
p1,1,0.816152,0.054055,[ 12 136] ; [ 7 89],[ 11.52459016 136.47540984] ; [ 7.47540984 88.52459016],0
d2,1,0.826851,0.047848,[105  44] ; [65 29],[104.23868313  44.76131687] ; [65.76131687 28.23868313],0
d4,1,0.836966,0.042344,[146   2] ; [94  1],[146.17283951   1.82716049] ; [93.82716049  1.17283951],0
u3,1,0.903437,0.014719,[16 13] ; [15 13],[15.77192982 13.22807018] ; [15.22807018 12.77192982],0
u1,1,0.904334,0.014445,[ 32 117] ; [20 76],[ 31.6244898 117.3755102] ; [20.3755102 75.6244898],0
