Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,34.866456,[86 17] ; [19 33],[69.77419355 33.22580645] ; [35.22580645 16.77419355],1
n6,1,0.001102,10.648258,[91 13] ; [34 18],[83.33333333 20.66666667] ; [41.66666667 10.33333333],0
a3,1,0.001385,10.226066,[67 37] ; [19 32],[57.70322581 46.29677419] ; [28.29677419 22.70322581],0
a5,1,0.001521,10.052934,[62 42] ; [17 35],[52.66666667 51.33333333] ; [26.33333333 25.66666667],0
v3,1,0.002409,9.208171,[38 65] ; [ 7 45],[29.90322581 73.09677419] ; [15.09677419 36.90322581],0
v2,1,0.003424,8.566417,[51 52] ; [13 39],[42.52903226 60.47096774] ; [21.47096774 30.52903226],0
s4,1,0.006096,7.521697,[16 88] ; [18 34],[22.66666667 81.33333333] ; [11.33333333 40.66666667],0
a4,1,0.018325,5.564822,[37 67] ; [ 9 43],[30.66666667 73.33333333] ; [15.33333333 36.66666667],0
r4,1,0.026545,4.920147,[71 33] ; [26 26],[64.66666667 39.33333333] ; [32.33333333 19.66666667],0
s7,1,0.037387,4.332679,[45 52] ; [15 37],[39.06040268 57.93959732] ; [20.93959732 31.06040268],0
d5,1,0.039524,4.238197,[78 26] ; [30 21],[72.46451613 31.53548387] ; [35.53548387 15.46451613],0
n3,1,0.042784,4.103905,[24  4] ; [14  9],[20.8627451  7.1372549] ; [17.1372549  5.8627451],0
p4,1,0.045178,4.011974,[63 40] ; [23 29],[57.1483871 45.8516129] ; [28.8516129 23.1483871],0
d1,1,0.047183,3.938843,[45 59] ; [14 38],[39.33333333 64.66666667] ; [19.66666667 32.33333333],0
p9,1,0.059709,3.545455,[92 12] ; [40 12],[88. 16.] ; [44.  8.],0
p11,1,0.062409,3.472178,[84 20] ; [35 17],[79.33333333 24.66666667] ; [39.66666667 12.33333333],0
p10,1,0.072286,3.230342,[82 20] ; [35 17],[77.49350649 24.50649351] ; [39.50649351 12.49350649],0
s6,1,0.079484,3.075423,[62 38] ; [24 27],[56.95364238 43.04635762] ; [29.04635762 21.95364238],0
v1,1,0.085166,2.963454,[48 52] ; [17 34],[43.04635762 56.95364238] ; [21.95364238 29.04635762],0
s3,1,0.088389,2.903469,[56 46] ; [21 31],[51. 51.] ; [26. 26.],0
a2,1,0.113049,2.511066,[12 92] ; [ 2 50],[ 9.33333333 94.66666667] ; [ 4.66666667 47.33333333],0
p3,1,0.140214,2.175607,[53 51] ; [20 32],[48.66666667 55.33333333] ; [24.33333333 27.66666667],0
d4,1,0.141032,2.166667,[76 28] ; [32 20],[72. 32.] ; [36. 16.],0
p5,1,0.146094,2.112569,[14 90] ; [ 3 49],[11.33333333 92.66666667] ; [ 5.66666667 46.33333333],0
a8,1,0.1722,1.863688,[13 84] ; [ 3 47],[10.55782313 86.44217687] ; [ 5.44217687 44.55782313],0
p12,1,0.19541,1.67635,[ 7 96] ; [ 1 51],[ 5.31612903 97.68387097] ; [ 2.68387097 49.31612903],0
r3,1,0.245142,1.350778,[92 11] ; [43  9],[89.70967742 13.29032258] ; [45.29032258  6.70967742],0
n1,1,0.275633,1.188498,[11 16] ; [ 6 17],[ 9.18 17.82] ; [ 7.82 15.18],0
n2,1,0.287624,1.130711,[22  6] ; [15  8],[20.31372549  7.68627451] ; [16.68627451  6.31372549],0
u3,1,0.298261,1.081955,[13 23] ; [16 17],[15.13043478 20.86956522] ; [13.86956522 19.13043478],0
a6,1,0.304938,1.052474,[61 43] ; [26 26],[58. 46.] ; [29. 23.],0
d2,1,0.400531,0.706731,[37 67] ; [15 37],[34.66666667 69.33333333] ; [17.33333333 34.66666667],0
s8,1,0.400531,0.706731,[37 67] ; [15 37],[34.66666667 69.33333333] ; [17.33333333 34.66666667],0
a1,1,0.46635,0.530612,[ 7 97] ; [ 2 50],[ 6. 98.] ; [ 3. 49.],0
p1,1,0.46635,0.530612,[ 7 97] ; [ 2 50],[ 6. 98.] ; [ 3. 49.],0
a7,1,0.540967,0.37375,[62 42] ; [33 18],[63.74193548 40.25806452] ; [31.25806452 19.74193548],0
b5,1,0.558063,0.343068,[67 37] ; [31 21],[65.33333333 38.66666667] ; [32.66666667 19.33333333],0
p8,1,0.566546,0.328495,[49 53] ; [22 29],[47.33333333 54.66666667] ; [23.66666667 27.33333333],0
b4,1,0.567421,0.327017,[61 43] ; [28 24],[59.33333333 44.66666667] ; [29.66666667 22.33333333],0
v4,1,0.57764,0.310066,[94  9] ; [46  6],[93.03225806  9.96774194] ; [46.96774194  5.03225806],0
s2,1,0.648885,0.207309,[48 56] ; [22 30],[46.66666667 57.33333333] ; [23.33333333 28.66666667],0
r2,1,0.659549,0.194072,[81 18] ; [41 11],[79.98675497 19.01324503] ; [42.01324503  9.98675497],0
d3,1,0.70873,0.139549,[57 47] ; [29 21],[58.07792208 45.92207792] ; [27.92207792 22.07792208],0
p6,1,0.771624,0.084246,[37 63] ; [18 34],[36.18421053 63.81578947] ; [18.81578947 33.18421053],0
u1,1,0.784494,0.074784,[ 5 99] ; [ 2 50],[ 4.66666667 99.33333333] ; [ 2.33333333 49.66666667],0
u2,1,0.899928,0.015814,[18 18] ; [17 16],[18.26086957 17.73913043] ; [16.73913043 16.26086957],0
b1,1,0.9079,0.013384,[41 63] ; [21 31],[41.33333333 62.66666667] ; [20.66666667 31.33333333],0
s5,1,0.913687,0.011748,[25 70] ; [13 38],[24.7260274 70.2739726] ; [13.2739726 37.7260274],0
p7,1,0.922859,0.009377,[60 42] ; [29 21],[59.72368421 42.27631579] ; [29.27631579 20.72368421],0
b2,1,0.945402,0.00469,[20 44] ; [ 8 17],[20.13483146 43.86516854] ; [ 7.86516854 17.13483146],0
b3,1,0.945402,0.00469,[20 44] ; [ 8 17],[20.13483146 43.86516854] ; [ 7.86516854 17.13483146],0
